name,First-order Sobol indices,Total-order Sobol indices  
phi,0.550055,0.554013  
Q,0.228350,0.232916  
f_single_phase,0.104043,0.107547  
T5_prime,0.040929,0.042680  
T3_prime,0.033522,0.034933  
eta_is,0.013657,0.015103  
h_evaporation,0.000968,0.007085  
h_condensation,0.000017,0.006301  
h_single_phase,0.001210,0.005625  
f_supercritical,0.000438,0.004990  
beta,0.001067,0.004432  
f_condensation,0.000005,0.003431  
f_evaporation,0.000043,0.002311  
h_supercritical,0.000253,0.002255  
gamma,0.000119,0.001703  
