name,First-order Sobol indices,Total-order Sobol indices  
h_supercritical,0.399584,0.423651  
T5_prime,0.226943,0.253578  
Q,0.097350,0.106660  
beta,0.087265,0.104885  
h_single_phase,0.055165,0.066153  
phi,0.030079,0.047963  
f_supercritical,0.004236,0.027233  
eta_is,0.005291,0.022459  
f_condensation,0.000391,0.014393  
f_single_phase,0.000465,0.013400  
f_evaporation,0.000149,0.013345  
T3_prime,0.000193,0.012645  
gamma,0.000421,0.011580  
h_condensation,0.000138,0.010900  
h_evaporation,0.000058,0.009818  
