name,First-order Sobol indices,Total-order Sobol indices  
phi,0.617184,0.617184  
Q,0.200369,0.200369  
f_single_phase,0.098716,0.098716  
T5_prime,0.045649,0.045649  
T3_prime,0.023904,0.023904  
eta_is,0.013187,0.013187  
h_supercritical,0.000332,0.000332  
h_evaporation,0.000160,0.000160  
f_supercritical,0.000155,0.000155  
f_condensation,0.000100,0.000100  
h_condensation,0.000088,0.000088  
h_single_phase,0.000077,0.000077  
gamma,0.000052,0.000052  
f_evaporation,0.000026,0.000026  
beta,0.000001,0.000001  
