name,First-order Sobol indices,Total-order Sobol indices  
h_supercritical,0.442834,0.449025  
T5_prime,0.247501,0.258142  
beta,0.086040,0.094456  
Q,0.075737,0.082502  
h_single_phase,0.046587,0.055551  
phi,0.032533,0.041119  
f_supercritical,0.003030,0.013791  
h_condensation,0.000571,0.013480  
eta_is,0.006151,0.009379  
f_evaporation,0.001335,0.009085  
f_condensation,0.000098,0.006387  
T3_prime,0.001072,0.006212  
h_evaporation,0.000608,0.006199  
gamma,0.000561,0.005751  
f_single_phase,0.000244,0.004020  
