alpha,glide_HT,T_MT,COP,COP_Carnot,COP_Lorenz,eta_2,eta_2_Lorenz,status
0.01,40,40.0,2.3140885487114735,3.7525135581257816,4.288932265660589,0.616676932106079,0.5395488679640068,success
0.05,40,40.0,2.3339782952419794,3.7859242921565563,4.335015711713885,0.6164883698486446,0.5384013462593015,success
0.1,40,40.0,2.35970350037137,3.82884588706928,4.39446844238329,0.616296286131684,0.5369713154867058,success
0.15,40,40.0,2.386440415213431,3.873110727697148,4.456079353008021,0.6161560004333642,0.5355471090528255,success
0.2,40,40.0,2.4142499190056315,3.9187828723920433,4.519968131361472,0.6160713664475016,0.53412985420285,success
0.25,40,40.0,2.443197875477904,3.9659305184920406,4.586263482051983,0.6160465656384916,0.5327207834960171,success
0.3,40,40.0,2.4733556536447745,4.014626342099,4.655103991940998,0.6160861417432961,0.531321246083158,success
0.35,40,40.0,2.504800715287454,4.064947871886483,4.726639097185356,0.6161950396980153,0.5299327204353356,success
0.4,40,40.0,2.537617279306489,4.11697790098189,4.801030166103981,0.6163786496646662,0.52855682874531,success
0.45,40,40.0,2.5718970749412824,4.170804941525284,4.878451714383275,0.6166428569543045,0.5271953532631032,success
0.5,40,40.0,2.607740198041169,4.226523727154484,4.959092771882348,0.6169940987878555,0.52585025487461,success
0.55,40,40.0,2.645256087220674,4.284235769417128,5.043158423571118,0.617439429011761,0.5245236942898848,success
0.6,40,40.0,2.6845646399489307,4.344049974984713,5.13087155104504,0.6179865920990879,0.5232180562778164,success
0.65,40,40.0,2.7257974925492605,4.406083331563936,5.222474805751336,0.6186441080272852,0.5219359774694233,success
0.7,40,40.0,2.7690994928976584,4.470461671594433,5.318232850710308,0.619421369943215,0.5206803783568474,success
0.75,40,40.0,2.814630400536285,4.53732052422289,5.418434914343633,0.6203287569194483,0.5194545002442348,success
0.8,40,40.0,2.8625668562547832,4.606806067691939,5.5233977083097665,0.6213777645927607,0.518261948066522,success
0.85,40,40.0,2.9131046723204896,4.6790761962280305,5.633468771349962,0.6225811570815724,0.5171067401909845,success
0.9,40,40.0,2.9664615059582604,4.754301717816298,5.749030313519675,0.623953144336996,0.5159933665651749,success
0.95,40,40.0,3.022879993048861,4.832667701987018,5.870503650399289,0.62550959003574,0.5149268568878679,success
0.99,40,40.0,3.070400418515817,4.897756021388503,5.97225003028815,0.6268994219204421,0.5141111646271239,success
0.01,60,40.0,2.6367715162543446,3.7525135581257816,4.739362177135066,0.7026680851144741,0.5563557748288119,success
0.05,60,40.0,2.6621036805682015,3.7859242921565563,4.797344793230295,0.7031581920651142,0.5549118929964741,success
0.1,60,40.0,2.694893318284011,3.82884588706928,4.872401704940061,0.7038395897273285,0.5530934191143756,success
0.15,60,40.0,2.729002726545285,3.873110727697148,4.950485539969421,0.7046022999109762,0.5512596096911622,success
0.2,60,40.0,2.76451322223872,3.9187828723920433,5.031783172841731,0.7054520018740533,0.5494102442966444,success
0.25,60,40.0,2.8015129427203416,3.9659305184920406,5.116497184173467,0.7063948623551671,0.547545096161898,success
0.3,60,40.0,2.8400975762163343,4.014626342099,5.204847546135133,0.7074375880101018,0.5456639317563207,success
0.35,60,40.0,2.880371188140129,4.064947871886483,5.297073529717992,0.708587484740214,0.543766510315645,success
0.4,60,40.0,2.922447158349586,4.11697790098189,5.393435868624802,0.7098525249923223,0.5418525833134159,success
0.45,60,40.0,2.9664492471191073,4.170804941525284,5.494219220992333,0.7112414243074773,0.5399218938670826,success
0.5,60,40.0,3.012512810932468,4.226523727154484,5.5997349778934105,0.7127637286353644,0.5379741760681965,success
0.55,60,40.0,3.060786193252218,4.284235769417128,5.710324476980765,0.714429914222167,0.5360091542242019,success
0.6,60,40.0,3.111432320367377,4.344049974984713,5.826362691137003,0.7162515022351524,0.5340265419968537,success
0.65,60,40.0,3.164630538488507,4.406083331563936,5.948262476111552,0.7182411907232866,0.5320260414192857,success
0.7,60,40.0,3.220578735738031,4.470461671594433,6.076479478533972,0.7204130070506524,0.5300073417700468,success
0.75,60,40.0,3.279495801948285,4.53732052422289,6.211517827269384,0.7227824846052652,0.527970118277833,success
0.8,60,40.0,3.3416244907170136,4.606806067691939,6.353936757964668,0.7253668684150198,0.5259140306249166,success
0.85,60,40.0,3.407234762616636,4.6790761962280305,6.504358354314826,0.7281853553407249,0.5238387212101195,success
0.9,60,40.0,3.4766277066482267,4.754301717816298,6.66347663202202,0.7312593758237707,0.521743813123158,success
0.95,60,40.0,3.550140160086391,4.832667701987018,6.832068245234312,0.7346129258228746,0.5196289077707589,success
0.99,60,40.0,3.612168676587204,4.897756021388503,6.974344727463545,0.7375150294977663,0.5179223020570265,success
0.01,40,60.0,2.3169681119071295,3.7582356770622884,4.296803296160175,0.6165042086232977,0.5392306680591314,success
0.05,40,60.0,2.348948957353682,3.815483194039799,4.37587948376305,0.6156360381885567,0.5367947097422566,success
0.1,40,60.0,2.3911776148736723,3.8904733515348187,4.480224066398254,0.6146238256407376,0.5337183094942817,success
0.15,40,60.0,2.436135639215571,3.9695675323907,4.5912247247009095,0.6137030342316385,0.5306069263194845,success
0.2,40,60.0,2.484096478205158,4.0531121193038695,4.709539321351507,0.6128861983299408,0.5274606089268815,success
0.25,40,60.0,2.535371369684692,4.141493603313391,4.8359153669106325,0.6121876821580202,0.5242795163523268,success
0.3,40,60.0,2.5903161032724062,4.2351445621431445,4.971205828957032,0.6116240107661419,0.5210639415056888,success
0.35,40,60.0,2.649339287862575,4.334550740721925,5.116388409005812,0.61121427486654,0.5178143401308697,success
0.4,40,60.0,2.712912531134088,4.440259478462803,5.272589208327375,0.6109806294638631,0.5145313666479825,success
0.45,40,60.0,2.781583067633494,4.552889791941642,5.441111994440185,0.6109489126129825,0.5112159188187562,success
0.5,40,60.0,2.855989551272682,4.673144505187034,5.6234746781167875,0.611149419433238,0.5078691938253925,success
0.55,40,60.0,2.9368819776777837,4.801824929716147,5.8214551622183555,0.6116178787574817,0.5044927592568864,success
0.6,40,60.0,3.025147053790932,4.9398487422893655,6.037149497187967,0.6123966970674759,0.501088643771371,success
0.65,40,60.0,3.1218408353374967,5.088271903641703,6.273046377571026,0.6135365590630444,0.4976594540253182,success
0.7,40,60.0,3.2282311830641603,5.248315725537445,6.532123599675613,0.6150985100526852,0.4942085271051018,success
0.75,40,60.0,3.345853665898067,5.421400554418508,6.8179744236641495,0.6171566982209339,0.4907401315976075,success
0.8,40,60.0,3.4765861567277736,5.609188038804744,7.134975245782253,0.6198020342118172,0.4872597362945179,success
0.85,40,60.0,3.622749843241854,5.813634645651524,7.488511244580829,0.6231471470178461,0.4837743744944644,success
0.9,40,60.0,3.787248251059429,6.037060080516629,7.885284816968617,0.6273332053265454,0.48029314590000843,success
0.95,40,60.0,3.9737620847887554,6.28223568956872,8.333744550585568,0.6325394781649074,0.4768279205905754,success
0.99,40,60.0,4.141962220975127,6.496257067514488,8.736886270729986,0.6375921054121507,0.4740776167421779,success
0.01,60,60.0,2.6401849934539903,3.7582356770622884,4.749253493099859,0.7025065004751783,0.5559157870368233,success
0.05,60,60.0,2.6798543963135457,3.815483194039799,4.848903112889368,0.702363045524554,0.5526722918405915,success
0.1,60,60.0,2.732223702340977,3.8904733515348187,4.981170140012129,0.7022856746372766,0.5485104153327162,success
0.15,60,60.0,2.7879632932701433,3.9695675323907,5.122851361078114,0.702334264506409,0.5442210005256547,success
0.2,60,60.0,2.847409333876705,4.0531121193038695,5.2749889573682545,0.7025241962380634,0.5397943686496941,success
0.25,60,60.0,2.9109442335772115,4.141493603313391,5.438784834549958,0.7028730483244785,0.535219598150932,success
0.3,60,60.0,2.979004881730207,4.2351445621431445,5.615632440929699,0.7034009909269111,0.5304843066326144,success
0.35,60,60.0,3.0520927077946483,4.334550740721925,5.807156507429745,0.7041312676585068,0.5255743846217619,success
0.4,60,60.0,3.1307860562011527,4.440259478462803,6.015263109864367,0.7050907883619937,0.5204736682368905,success
0.45,60,60.0,3.2157555220635246,4.552889791941642,6.2422033230975345,0.7063108638727058,0.5151635337100471,success
0.5,60,60.0,3.3077831085443643,4.673144505187034,6.49065497634597,0.7078281240549774,0.5096223910528271,success
0.55,60,60.0,3.4077863651019507,4.801824929716147,6.76382881366879,0.7096856747135505,0.5038250462837368,success
0.6,60,60.0,3.516849085911031,4.9398487422893655,7.065608004191466,0.7119345691303803,0.4977418905527681,success
0.65,60,60.0,3.6362607471852364,5.088271903641703,7.400733900114474,0.7146356987296111,0.4913378586857434,success
0.7,60,60.0,3.767567730274087,5.248315725537445,7.775056974912237,0.7178622490148067,0.4845710767690695,success
0.75,60,60.0,3.9126406551180457,5.421400554418508,8.195881281832255,0.7217029282090577,0.4773910846892286,success
0.8,60,60.0,4.073764062486664,5.609188038804744,8.672445787938484,0.7262662678277296,0.46973646905379307,success
0.85,60,60.0,4.253757605903533,5.813634645651524,9.216610538551933,0.731686434593074,0.4615316648252191,success
0.9,60,60.0,4.456142472653239,6.037060080516629,9.84385710770191,0.7381312117523102,0.4526825637449287,success
0.95,60,60.0,4.685374032868953,6.28223568956872,10.574785160595882,0.7458131570340061,0.4430703755881255,success
0.99,60,60.0,4.891879797051834,6.496257067514488,11.252676615828246,0.7530305137575937,0.4347303280866363,success
