alpha,glide_HT,COP,COP_Carnot,COP_Lorenz,eta_2,eta_2_Lorenz,status
0.01,40,2.287290850306903,3.7797556690065703,4.3265054713290905,0.6051425146504429,0.5286693534688294,success
0.05,40,2.319737962093,3.83699635546904,4.405760573776165,0.6045713227708895,0.5265238369739096,success
0.1,40,2.362580317071021,3.911949890289998,4.510303256251969,0.6039393098912827,0.5238185068367905,success
0.15,40,2.4081892308795876,3.990971452109059,4.621467235969642,0.6034092851270488,0.5210875914333555,success
0.2,40,2.4568416216961673,4.074401460954165,4.739902133046883,0.6029944877157026,0.5183317192494166,success
0.25,40,2.508852640771698,4.1626194093775855,4.8663454202779715,0.6027100712401746,0.5155516972382099,success
0.3,40,2.5645825067008716,4.2560496338660085,5.0016377939760694,0.602573448931167,0.5127485460441844,success
0.35,40,2.624444860019211,4.355168140387313,5.146741889004501,0.6026047159193753,0.5099235432081944,success
0.4,40,2.6889170478934847,4.4605107157518775,5.302765218784992,0.6028271691844221,0.5070782765127944,success
0.45,40,2.758552879946613,4.572682616544782,5.470988496557068,0.603267952594321,0.5042147103183621,success
0.5,40,2.8339985768189395,4.692370205577646,5.652900870528008,0.6039588635718194,0.5013352686926262,success
0.55,40,2.9160128843702786,4.820355008394117,5.850244125582862,0.6049373706485028,0.4984429404610111,success
0.6,40,3.005492680668026,4.957530798099537,6.06506863155024,0.606247909104302,0.4955414131727341,success
0.65,40,3.1035059091708987,5.104924498020039,6.299804848711505,0.6079435475244743,0.4926352456466421,success
0.7,40,3.2113344059250624,5.263721936029985,6.55735568272317,0.6100881552924737,0.48973009263262113,success
0.75,40,3.330530271394877,5.435299817211195,6.841217143651576,0.612759255864517,0.48683300083311914,success
0.8,40,3.4629910626146065,5.6212657399256685,7.155637973989128,0.6160518329561125,0.48395280409694297,success
0.85,40,3.611061568180204,5.823508719359944,7.505833764338144,0.620083482690671,0.481100658708583,success
0.9,40,3.7821675166608304,6.044263584768711,7.8982785643918,0.6257449668792958,0.4788597269425471,success
0.95,40,3.975005013067353,6.286193908239311,8.34110881251327,0.6323389114448594,0.4765559474663704,success
0.99,40,4.1445876732169005,6.497113652912366,8.7385242037599,0.6379121398559908,0.47428920222405757,success
0.01,60,2.5120832202315984,3.7797556690065703,4.786624268164142,0.6646152397707354,0.5248131207915094,success
0.05,60,2.551264605255134,3.83699635546904,4.88668993523164,0.6649119177866052,0.5220844045907731,success
0.1,60,2.6030948675946735,3.911949890289998,5.0194633000715845,0.6654213220000378,0.5186002391047564,success
0.15,60,2.6583926871122547,3.990971452109059,5.1616288642747,0.6661016544499228,0.5150298010598648,success
0.2,60,2.717518087662332,4.074401460954165,5.314219755095487,0.6669735699107886,0.5113672773988442,success
0.25,60,2.7808827197938015,4.1626194093775855,5.478426390199894,0.6680607680656571,0.507606111997488,success
0.3,60,2.8489594587896647,4.2560496338660085,5.655627595794897,0.6693905625818078,0.503738870803293,success
0.35,60,2.922294226672076,4.355168140387313,5.847429416757219,0.6709945821775302,0.49975707586953294,success
0.4,60,3.001520663524647,4.4605107157518775,6.055713932331807,0.6729096408007847,0.4956509995459585,success
0.45,60,3.0873784828558493,4.572682616544782,6.282701221953001,0.6751788264694258,0.49140940716199233,success
0.5,60,3.180736637405295,4.692370205577646,6.531028808286727,0.677852875637236,0.48701923246296197,success
0.55,60,3.282622833371001,4.820355008394117,6.803854612113897,0.680991924382058,0.48246516430942954,success
0.6,60,3.3942615198933597,4.957530798099537,7.104991958561546,0.6846677626681705,0.4777291149222569,success
0.65,60,3.5171233358818377,5.104924498020039,7.4390889127983675,0.6889667687046037,0.47278952800670304,success
0.7,60,3.6529902589034142,5.263721936029985,7.811869909890472,0.6939937753738146,0.4676204674476756,success
0.75,60,3.8040425985271282,5.435299817211195,8.230466475108681,0.6998772333554452,0.46219040075452067,success
0.8,60,3.9729768851260086,5.6212657399256685,8.703877866775223,0.7067762082314479,0.4564605507956182,success
0.85,60,4.163168434190533,5.823508719359944,9.243625359891892,0.714890049078196,0.450382644482167,success
0.9,60,4.381673257562367,6.044263584768711,9.864702293186506,0.7249308697595517,0.4441769378675284,success
0.95,60,4.635283100236184,6.286193908239311,10.586988568943196,0.7373751379448733,0.4378282898910207,success
0.99,60,4.863762950135338,6.497113652912366,11.255472330324737,0.7486036430892863,0.43212428651539414,success
