alpha,glide_HT,T_MT,COP,COP_Carnot,COP_Lorenz,eta_2,eta_2_Lorenz,status
0.01,40,40.0,2.3131748519394035,3.7739440068889434,4.3184921479972935,0.6129330079399543,0.5356441027714133,success
0.05,40,40.0,2.333216067276456,3.8069864149240358,4.364174656732503,0.6128774345319047,0.5346293974914734,success
0.1,40,40.0,2.3591117847928187,3.8494131326020837,4.42307744998018,0.6128497263161079,0.5333643399808407,success
0.15,40,40.0,2.3859956083016756,3.89314206587325,4.484079640309657,0.6128714462328478,0.5321037536561027,success
0.2,40,40.0,2.41392519269322,3.9382341030928156,4.547295503408246,0.6129460894154288,0.5308485430260597,success
0.25,40,40.0,2.4429627673465757,3.9847539886999837,4.612847761994967,0.6130774382243824,0.5295996948943404,success
0.3,40,40.0,2.4731755987786297,4.03277063338785,4.680868380999828,0.6132695914572668,0.5283582868549622,success
0.35,40,40.0,2.5046365111857076,4.08235745470168,4.75149945429381,0.613526997323838,0.5271254969675585,success
0.4,40,40.0,2.5374244722817885,4.133592751605956,4.824894195507356,0.6138544904540887,0.5259026145370155,success
0.45,40,40.0,2.5716252551632506,4.186560117039451,4.901218047476583,0.6142573337706636,0.5246910523573349,success
0.5,40,40.0,2.6073321857005216,4.241348893030398,4.9806499272247,0.6147412654462412,0.523492360193516,success
0.55,40,40.0,2.644647000517815,4.298054673583742,5.0633836261973455,0.6153125544847231,0.5223082420290506,success
0.6,40,40.0,2.6836808035754056,4.356779861294873,5.149629388818811,0.6159780592581495,0.5211405716695607,success
0.65,40,40.0,2.72455518148242,4.417634284507823,5.239615696437864,0.616745299862677,0.5199914152739674,success
0.7,40,40.0,2.7692951846365226,4.480735882842996,5.333591288531906,0.6180447268138072,0.519217734323018,success
0.75,40,40.0,2.8174720615904394,4.546211470097024,5.431827458817563,0.6197406522161428,0.5186968995152446,success
0.8,40,40.0,2.867149607762685,4.614197584898131,5.534620670901588,0.6213755598907635,0.5180390451755436,success
0.85,40,40.0,2.9184429148269113,4.68484144112402,5.642295546584613,0.6229544695383966,0.5172438931515204,success
0.9,40,40.0,2.971273551245906,4.7583019920042515,5.755208290264973,0.6244398855387426,0.5162755892383362,success
0.95,40,40.0,3.0259585305858487,4.834751124094627,5.873750625543222,0.6258767934311201,0.5151663261676178,success
0.99,40,40.0,3.071179730367998,4.8981867921424795,5.972926481969372,0.6270033913967287,0.5141834140498879,success
0.01,60,40.0,2.6206319971984855,3.7739440068889434,4.7765350509289055,0.6944013987528149,0.5486470776947077,success
0.05,60,40.0,2.6462836912657,3.8069864149240358,4.834121206175484,0.6951124597901944,0.547417737040836,success
0.1,60,40.0,2.679477741477512,3.8494131326020837,4.908621536358269,0.6960743493038037,0.5458717323449284,success
0.15,60,40.0,2.7139968495120845,3.89314206587325,4.986074451059767,0.6971224793727948,0.544315347905653,success
0.2,60,40.0,2.749921972768434,3.9382341030928156,5.066659023272681,0.6982626986569529,0.5427485765545341,success
0.25,60,40.0,2.787340800784047,3.9847539886999837,5.150569105718722,0.6995013515736288,0.541171420783237,success
0.3,60,40.0,2.8263484698683117,4.03277063338785,5.2380148877736055,0.7008453311151874,0.5395838939796596,success
0.35,60,40.0,2.8670483692781406,4.08235745470168,5.329224653439155,0.7023021381863905,0.5379860215552976,success
0.4,60,40.0,2.909553062251954,4.133592751605956,5.424446771316971,0.7038799507091147,0.5363778436608311,success
0.45,60,40.0,2.9539853164803476,4.186560117039451,5.52395195310747,0.7055876982292744,0.5347594152803228,success
0.5,60,40.0,3.0004792946558365,4.241348893030398,5.628035823880563,0.7074351510167857,0.5331308094956277,success
0.55,60,40.0,3.0491819075497033,4.298054673583742,5.737021855511536,0.7094330200800536,0.5314921198392099,success
0.6,60,40.0,3.1002543566242835,4.356779861294873,5.851264724591406,0.711593069956686,0.529843461635685,success
0.65,60,40.0,3.15387393168382,4.417634284507823,5.971154168242077,0.7139282540304711,0.5281849777816621,success
0.7,60,40.0,3.210236053052836,4.480735882842996,6.097119426151981,0.7164528633220762,0.5265168399495961,success
0.75,60,40.0,3.271355476868988,4.546211470097024,6.2296343755162145,0.7195783782577039,0.5251280058627693,success
0.8,60,40.0,3.337040413444095,4.614197584898131,6.369223488345882,0.7232114256151361,0.5239320648035135,success
0.85,60,40.0,3.405338487883866,4.68484144112402,6.5164687690149234,0.7268844699825815,0.5225742052315002,success
0.9,60,40.0,3.404362029019352,4.7583019920042515,6.672017865524267,0.7154573280006122,0.5102447411914788,success
0.95,60,40.0,3.5418580894957947,4.834751124094627,6.836593592874196,0.7325833323342069,0.5180735173709149,success
0.99,60,40.0,3.6124696388802637,4.8981867921424795,6.975293909350734,0.7375116123940549,0.5178949712839435,success
0.01,40,60.0,2.2948784970670957,3.7797556690065703,4.3265054713290905,0.6071499583649692,0.5304231122033264,success
0.05,40,60.0,2.327325264467881,3.83699635546904,4.405760573776165,0.6065487294900975,0.5282459692250451,success
0.1,40,60.0,2.3701538563730535,3.911949890289998,4.510303256251969,0.6058753109941679,0.525497670935465,success
0.15,40,60.0,2.4157314821600466,3.990971452109059,4.621467235969642,0.6052991135487664,0.5227195950580391,success
0.2,40,60.0,2.4643315957880914,4.074401460954165,4.739902133046883,0.6048327881786545,0.5199119151863122,success
0.25,40,60.0,2.516265163316651,4.1626194093775855,4.8663454202779715,0.6044908063533233,0.5170749188562367,success
0.3,40,60.0,2.5718873236679363,4.2560496338660085,5.0016377939760694,0.6042897862851629,0.5142090310428907,success
0.35,40,60.0,2.6316055208925877,4.355168140387313,5.146741889004501,0.6042488914466008,0.5113148429912038,success
0.4,40,60.0,2.695889501704275,4.4605107157518775,5.302765218784992,0.6043903206383953,0.5083931478154292,success
0.45,40,60.0,2.765283697257506,4.572682616544782,5.470988496557068,0.6047399150888401,0.5054449847587358,success
0.5,40,60.0,2.8404226799958336,4.692370205577646,5.652900870528008,0.6053279165014578,0.502471694631101,success
0.55,40,60.0,2.9220506250354443,4.820355008394117,5.850244125582862,0.6061899216856467,0.4994749898140907,success
0.6,40,60.0,3.011046044161098,4.957530798099537,6.06506863155024,0.6073680964958157,0.4964570439479875,success
0.65,40,60.0,3.108453513909219,5.104924498020039,6.299804848711505,0.6089127302695353,0.49342060405966215,success
0.7,40,60.0,3.2155248999345343,5.263721936029985,6.55735568272317,0.6108842638370358,0.4903691450513442,success
0.75,40,60.0,3.333773415317956,5.435299817211195,6.841217143651576,0.6133559375623341,0.48730706032501653,success
0.8,40,60.0,3.4650456024451417,5.6212657399256685,7.155637973989128,0.616417327121589,0.48423992592144044,success
0.85,40,60.0,3.61161845733297,5.823508719359944,7.505833764338144,0.6201791104607326,0.48117485288477324,success
0.9,40,60.0,3.7821508332462814,6.044263584768711,7.8982785643918,0.6257422066729753,0.4788576146576469,success
0.95,40,60.0,3.9573469223321878,6.286193908239311,8.34110881251327,0.6295298840758468,0.474438951856785,success
0.99,40,60.0,4.140732729754116,6.497113652912366,8.7385242037599,0.6373188081599912,0.47384805868850194,success
0.01,60,60.0,2.530636799525022,3.7797556690065703,4.786624268164142,0.66952391136704,0.5286892510774864,success
0.05,60,60.0,2.570104114188977,3.83699635546904,4.88668993523164,0.6698218804731713,0.5259396745554203,success
0.1,60,60.0,2.6222991836975975,3.911949890289998,5.0194633000715845,0.6703304636407812,0.5224262091248282,success
0.15,60,60.0,2.677969359482633,3.990971452109059,5.1616288642747,0.6710068943408352,0.5188225325570622,success
0.2,60,60.0,2.737473647431645,4.074401460954165,5.314219755095487,0.6718713591837777,0.515122402457453,success
0.25,60,60.0,2.8012222679048775,4.1626194093775855,5.478426390199894,0.6729470058190425,0.511318774477988,success
0.3,60,60.0,2.869686126074012,4.2560496338660085,5.655627595794897,0.6742604934020271,0.5074036572365013,success
0.35,60,60.0,2.9434084644161227,4.355168140387313,5.847429416757219,0.6758426700270543,0.5033679339473643,success
0.4,60,60.0,3.023019307404697,4.4605107157518775,6.055713932331807,0.6777294126273895,0.49920114146486044,success
0.45,60,60.0,3.109253511453384,4.572682616544782,6.282701221953001,0.679962676658019,0.4948911943463167,success
0.5,60,60.0,3.202973515486528,4.692370205577646,6.531028808286727,0.6825918193068553,0.49042403723935774,success
0.55,60,60.0,3.3051982851159885,4.820355008394117,6.803854612113897,0.685675283119262,0.4857832028378826,success
0.6,60,60.0,3.4171405110926174,4.957530798099537,7.104991958561546,0.6892827599583595,0.4809492439994881,success
0.65,60,60.0,3.5402549360430835,5.104924498020039,7.4390889127983675,0.6934980012762544,0.47589899482883624,success
0.7,60,60.0,3.676301960614461,5.263721936029985,7.811869909890472,0.6984225240794556,0.4706046059420369,success
0.75,60,60.0,3.827432302143255,5.435299817211195,8.230466475108681,0.7041805292917727,0.4650322449788868,success
0.8,60,60.0,3.996301556987012,5.6212657399256685,8.703877866775223,0.7109255711934829,0.4591403530881158,success
0.85,60,60.0,4.186227604214492,5.823508719359944,9.243625359891892,0.7188497186065167,0.452877246883949,success
0.9,60,60.0,4.406139978501271,6.044263584768711,9.864702293186506,0.7289787939765826,0.4466571668913482,success
0.95,60,60.0,4.659947983084352,6.286193908239311,10.586988568943196,0.7412987971905481,0.4401580253665574,success
0.99,60,60.0,4.886445617838599,6.497113652912366,11.255472330324737,0.752094834549835,0.43413954336446914,success
