name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.557986,0.557986  
phi,0.181217,0.181217  
Q,0.130200,0.130200  
f_single_phase,0.045360,0.045360  
beta,0.023454,0.023454  
f_supercritical,0.017941,0.017941  
T1_prime,0.014720,0.014720  
f_evaporation,0.008541,0.008541  
h_evaporation,0.007822,0.007822  
eta_is,0.003994,0.003994  
f_condensation,0.003494,0.003494  
T5_prime,0.003259,0.003259  
h_supercritical,0.000949,0.000949  
gamma,0.000849,0.000849  
h_condensation,0.000179,0.000179  
h_single_phase,0.000030,0.000030  
T3_prime,0.000006,0.000006  
