log_A_recup_LT,probability density
-3.4572103635577003,5.5285721961746446e-05
-3.4211169509668338,2.764286098087288e-05
-3.3850235383759673,0.0
-3.3489301257851016,8.292858294261966e-05
-3.312836713194235,5.5285721961746446e-05
-3.276743300603369,0.00019350002686611018
-3.240649888012503,0.00019350002686611257
-3.2045564754216365,0.00035935719275135186
-3.1684630628307704,0.0006634286635409492
-3.1323696502399043,0.0006910715245218305
-3.096276237649038,0.0010504287172731824
-3.0601828250581717,0.0016309287978714998
-3.0240894124673057,0.0016585716588523932
-2.987995999876439,0.003123643290838674
-2.951902587285573,0.005003357837537991
-2.915809174694707,0.006800143801294812
-2.8797157621038405,0.0076294296307210085
-2.843622349512975,0.011278287280196274
-2.8075289369221084,0.01478893062476699
-2.771435524331242,0.019958145628190465
-2.7353421117403762,0.023966360470417083
-2.6992486991495097,0.03090471857661626
-2.6631552865586436,0.039142291148916
-2.6270618739677776,0.051332792841481574
-2.590968461376911,0.06064843699203585
-2.554875048786045,0.0731982958773514
-2.518781636195179,0.08654979773111406
-2.4826882236043124,0.1010622997460725
-2.4465948110134463,0.12411644580411922
-2.4105013984225803,0.13813137632142347
-2.3744079858317138,0.1642262370873678
-2.3383145732408477,0.18786088322601208
-2.3022211606499816,0.21080445784013918
-2.266127748059115,0.23728631865981573
-2.230034335468249,0.2724203949665023
-2.193940922877383,0.29774125562498915
-2.157847510286517,0.33146554602164674
-2.1217540976956504,0.36107105013216156
-2.0856606851047843,0.3913123400452461
-2.0495672725139182,0.4181535580576641
-2.013473859923052,0.45779342070424145
-1.9773804473321857,0.4845793529947046
-1.9412870347413196,0.5243021442242192
-1.9051936221504533,0.5534653625590435
-1.869100209559587,0.5821586522571864
-1.833006796968721,0.6224343007063223
-1.7969133843778549,0.6402086603170198
-1.7608199717869886,0.6744858079333066
-1.7247265591961223,0.6904357387192661
-1.6886331466052562,0.7228055289278685
-1.65253973401439,0.7480158181424293
-1.6164463214235236,0.7626112487403257
-1.5803529088326576,0.7904199668870889
-1.5442594962417915,0.8059276118973538
-1.508166083650925,0.8167912562628369
-1.472072671060059,0.8202189710244652
-1.4359792584691926,0.8358648303396444
-1.3998858458783265,0.8372193305277071
-1.3637924332874602,0.8398177594598989
-1.327699020696594,0.8282906864308852
-1.2916056081057279,0.813944041581812
-1.2555121955148618,0.7975241821591733
-1.2194187829239955,0.7829287515612626
-1.1833253703331292,0.7590453196737977
-1.1472319577422632,0.721727457349619
-1.1111385451513969,0.691513810297516
-1.0750451325605306,0.6594480915597116
-1.0389517199696645,0.6108242990943555
-1.0028583073787984,0.5630297924584258
-0.9667648947879321,0.5247720728608908
-0.9306714821970659,0.46973513664797867
-0.8945780696061998,0.423433344505016
-0.8584846570153335,0.3721558373854916
-0.8223912444244672,0.3337322606220824
-0.7862978318336011,0.28320111074904614
-0.7502044192427348,0.24134981922400112
-0.7141110066518686,0.20331324251432253
-0.6780175940610025,0.16837266623449879
-0.6419241814701364,0.13793787629455737
-0.6058307688792701,0.11347394432648318
-0.5697373562884038,0.08574815476266873
-0.5336439436975378,0.0636891516999319
-0.49755053110667147,0.04903843538006849
-0.4614571185158052,0.036737362243580506
-0.4253637059249391,0.026785932290466153
-0.3892702933340728,0.019156502659744903
-0.3531768807432065,0.01365557332455137
-0.31708346815234045,0.00892864409682205
-0.2809900555614744,0.005583857918136391
-0.2448966429706081,0.0040082148422265675
-0.2088032303797418,0.002653714654163829
-0.17270981778887573,0.001382143049043661
-0.13661640519800944,0.0012162858831584068
-0.10052299260714315,0.00033171433177047865
-0.06442958001627708,0.00038700005373222513
-0.028336167425411007,0.0002764286098087322
0.007757245165455284,0.00011057144392349152
0.043850657756321576,5.5285721961746446e-05
0.07994407034718765,0.00011057144392349289
0.11603748293805397,8.292858294261852e-05
