log_A_recup_LT,cumulative probability
-3.4572103635577003,1.9954503731492198e-06
-3.4211169509668338,2.99317555972383e-06
-3.3850235383759673,2.99317555972383e-06
-3.3489301257851016,5.98635111944766e-06
-3.312836713194235,7.981801492596879e-06
-3.276743300603369,1.4965877798619148e-05
-3.240649888012503,2.194995410464142e-05
-3.2045564754216365,3.492038153011135e-05
-3.1684630628307704,5.886578600790199e-05
-3.1323696502399043,8.380891567226724e-05
-3.096276237649038,0.00012172247276210241
-3.0601828250581717,0.0001805882587700044
-3.0240894124673057,0.000240451769964481
-2.987995999876439,0.00035319471604741194
-2.951902587285573,0.0005337829748174164
-2.915809174694707,0.0007792233707147704
-2.8797157621038405,0.0010545955222093627
-2.843622349512975,0.0014616673983318036
-2.8075289369221084,0.00199545037314922
-2.771435524331242,0.0027158079578560885
-2.7353421117403762,0.003580835694616275
-2.6992486991495097,0.004696292453206689
-2.6631552865586436,0.006109071317396336
-2.6270618739677776,0.007961846988865387
-2.590968461376911,0.010150856048210082
-2.554875048786045,0.012792832342259648
-2.518781636195179,0.015916709901424752
-2.4826882236043124,0.019564393183541525
-2.4465948110134463,0.024044179271261523
-2.4105013984225803,0.029029812028574846
-2.3744079858317138,0.034957297362014604
-2.3383145732408477,0.04173783772997565
-2.3022211606499816,0.049346490002793626
-2.266127748059115,0.05791096300435008
-2.230034335468249,0.06774354471804286
-2.193940922877383,0.07849004270263799
-2.157847510286517,0.09045376541485413
-2.1217540976956504,0.10348605180189169
-2.0856606851047843,0.11760984954304186
-2.0495672725139182,0.13270243844035598
-2.013473859923052,0.1492257652552181
-1.9773804473321857,0.166715887775871
-1.9412870347413196,0.18563974138963163
-1.9051936221504533,0.20561619507522846
-1.869100209559587,0.22662828750448974
-1.833006796968721,0.24909406553059024
-1.7969133843778549,0.2722013808516582
-1.7608199717869886,0.2965458754040787
-1.7247265591961223,0.3214660573891527
-1.6886331466052562,0.3475545755677056
-1.65253973401439,0.37455301911641453
-1.6164463214235236,0.40207826156363485
-1.5803529088326576,0.43060721554854925
-1.5442594962417915,0.459695893363132
-1.508166083650925,0.4891766771760386
-1.472072671060059,0.5187811789120804
-1.4359792584691926,0.5489503931037235
-1.3998858458783265,0.5791684958295087
-1.3637924332874602,0.609480384722832
-1.327699020696594,0.6393762222133536
-1.2916056081057279,0.6687542403320429
-1.2555121955148618,0.6975396096899069
-1.2194187829239955,0.7257981801492596
-1.1833253703331292,0.7531947160474117
-1.1472319577422632,0.7792443229436882
-1.1111385451513969,0.8042034162110386
-1.0750451325605306,0.8280051482619626
-1.0389517199696645,0.8500518817097017
-1.0028583073787984,0.8703735483098534
-0.9667648947879321,0.8893143632517857
-0.9306714821970659,0.9062687073472481
-0.8945780696061998,0.921551861755198
-0.8584846570153335,0.9349842359420519
-0.8223912444244672,0.9470297721195672
-0.7862978318336011,0.957251466656024
-0.7502044192427348,0.9659626052600069
-0.7141110066518686,0.9733008740072632
-0.6780175940610025,0.9793780181186891
-0.6419241814701364,0.9843566667996964
-0.6058307688792701,0.9884523286905851
-0.5697373562884038,0.9915472722193395
-0.5336439436975378,0.9938460310492073
-0.49755053110667147,0.9956159955301906
-0.4614571185158052,0.9969419723031483
-0.4253637059249391,0.9979087680089391
-0.3892702933340728,0.9986001915632353
-0.3531768807432065,0.9990930678054032
-0.31708346815234045,0.9994153330406668
-0.2809900555614744,0.9996168735283548
-0.2448966429706081,0.9997615436804081
-0.2088032303797418,0.9998573252983193
-0.17270981778887573,0.9999072115576481
-0.13661640519800944,0.9999511114658574
-0.10052299260714315,0.9999630841680962
-0.06442958001627708,0.9999770523207082
-0.028336167425411007,0.999987029572574
0.007757245165455284,0.9999910204733203
0.043850657756321576,0.9999930159236935
0.07994407034718765,0.9999970068244398
0.11603748293805397,0.9999999999999996
