log_A_recup_MT,cumulative probability
-2.3841845472640095,1.9954503731492198e-06
-2.3506536092577925,1.9954503731492198e-06
-2.3171226712515756,1.9954503731492198e-06
-2.283591733245358,3.9909007462984395e-06
-2.2500607952391416,5.98635111944766e-06
-2.216529857232924,1.097497705232071e-05
-2.1829989192267067,1.197270223889532e-05
-2.14946798122049,2.095222891806681e-05
-2.115937043214273,3.292493115696213e-05
-2.082406105208056,6.0861236381051206e-05
-2.048875167201839,9.179071716486412e-05
-2.0153442291956214,0.00015564512910563915
-1.9818132911894044,0.00024943129664365245
-1.9482823531831874,0.0003661651434728818
-1.9147514151769702,0.0005238057229516701
-1.8812204771707532,0.0007712415692221734
-1.847689539164536,0.0010984954304186455
-1.814158601158319,0.0014995809554216386
-1.7806276631521019,0.0020962206169932553
-1.7470967251458849,0.0028973939418126668
-1.7135657871396677,0.003929041784730814
-1.6800348491334507,0.005272977611046814
-1.6465039111272335,0.006921219619268069
-1.6129729731210163,0.009000478908089556
-1.5794420351147993,0.011672386957736362
-1.545911097108582,0.014897034760745501
-1.5123801591023651,0.01889192640779024
-1.478849221096148,0.023788761623498425
-1.445318283089931,0.029472802011413977
-1.4117873450837137,0.03653070998124277
-1.3782564070774967,0.04467913157999761
-1.3447254690712795,0.05443389072913757
-1.3111945310650626,0.06575607614638625
-1.2776635930588454,0.07887017599872292
-1.2441326550526282,0.09378516981282677
-1.2106017170464112,0.11069361854970668
-1.1770707790401942,0.12989084886458874
-1.143539841033977,0.15125114738396456
-1.1100089030277598,0.17484934349682724
-1.0764779650215428,0.20098375703396257
-1.0429470270153258,0.2293181546074949
-1.0094160890091086,0.2596200662489524
-0.9758851510028915,0.2920451370874406
-0.9423542129966744,0.3260246637666121
-0.9088232749904573,0.3616434529273257
-0.8752923369842402,0.3990082611645448
-0.8417613989780232,0.4375533782974817
-0.808230460971806,0.4767370395498264
-0.7746995229655889,0.5163337590294129
-0.7411685849593718,0.5561489803248593
-0.7076376469531547,0.5958075587660134
-0.6741067089469376,0.6345861435926088
-0.6405757709407205,0.6723021510955022
-0.6070448329345034,0.7085704593526758
-0.5735138949282863,0.7432414095861435
-0.5399829569220692,0.7758949594923573
-0.5064520189158521,0.8064662569341899
-0.472921080909635,0.8344604302191003
-0.43939014290341794,0.8597427864469009
-0.40585920489720084,0.8826515544558405
-0.37232826689098375,0.9031268707347246
-0.33879732888476677,0.9208045655904535
-0.30526639087854957,0.93601588378497
-0.27173545287233236,0.9489314363251784
-0.23820451486611538,0.9597407909965278
-0.20467357685989818,0.9685227680887575
-0.17114263885368097,0.9755327852496307
-0.137611700847464,0.9811908847826953
-0.10408076284124701,0.9856347527636986
-0.0705498248350298,0.9891776749012251
-0.0370188868288126,0.9918435965997524
-0.0034879488225956212,0.9938989104840961
0.03004298918362136,0.9955182184619067
0.06357392718983856,0.9966626092509078
0.09710486519605577,0.9975136688350559
0.13063580320227275,0.998177156084128
0.16416674120848973,0.9986401005706986
0.19769767921470693,0.9990272179430896
0.23122861722092414,0.9992916151175318
0.2647595552271411,0.9995021351318991
0.2982904932333583,0.999640818932833
0.3318214312395755,0.9997346051003709
0.3653523692457925,0.9998154208404835
0.3988833072520095,0.999870295725745
0.4324142452582267,0.9999122001835812
0.4659451832644439,0.999936145588059
0.4994761212706609,0.9999551023666039
0.5330070592768779,0.9999660773436562
0.5665379972830951,0.9999770523207084
0.6000689352893123,0.9999830386718279
0.6335998732955292,0.9999880272977608
0.6671308113017462,0.9999910204733206
0.7006617493079634,0.9999940136488803
0.7341926873141806,0.9999960090992535
0.7677236253203976,0.99999700682444
0.8012545633266148,0.9999980045496266
0.834785501332832,0.9999990022748132
0.868316439339049,0.9999990022748132
0.901847377345266,0.9999990022748132
0.935378315351483,0.9999999999999998
