name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.653290,0.654185  
phi,0.203857,0.204437  
Q,0.078355,0.078672  
f_single_phase,0.037320,0.037601  
T5_prime,0.011842,0.012354  
eta_is,0.007160,0.007378  
T1_prime,0.003538,0.003935  
T3_prime,0.000695,0.001301  
beta,0.000155,0.000692  
h_evaporation,0.000059,0.000690  
gamma,0.000029,0.000625  
h_single_phase,0.000042,0.000406  
h_supercritical,0.000036,0.000278  
f_evaporation,0.000072,0.000277  
f_condensation,0.000035,0.000277  
h_condensation,0.000005,0.000209  
f_supercritical,0.000000,0.000193  
