log_A_evap_LT,probability density
-3.0496129381855988,3.24043034705731e-05
-2.9880331429290425,1.6202151735286663e-05
-2.926453347672486,0.0
-2.8648735524159292,6.480860694114665e-05
-2.803293757159373,9.72129104117193e-05
-2.741713961902817,4.860645520586e-05
-2.68013416664626,0.00024303227602929825
-2.6185543713897035,0.00035644733817630664
-2.5569745761331473,0.00042125594511745033
-2.4953947808765906,0.0008749161937054736
-2.4338149856200344,0.0012313635318817867
-2.3722351903634777,0.001976662511704959
-2.310655395106921,0.00238171630508714
-2.249075599850365,0.004050537933821638
-2.187495804593808,0.005022667037938831
-2.125916009337252,0.007290968280879
-2.0643362140806953,0.010482792172730473
-2.002756418824139,0.013933850492346434
-1.9411766235675825,0.018276027157403296
-1.8795968283110263,0.024773090003253225
-1.8180170330544696,0.031480780821661766
-1.756437237797913,0.0395656545375699
-1.6948574425413567,0.051555246821681985
-1.6332776472848,0.06587794895567534
-1.5716978520282439,0.07909890477166923
-1.5101180567716872,0.09680785661833749
-1.448538261515131,0.11597500212118153
-1.3869584662585743,0.13882003606793517
-1.3253786710020177,0.16728721666683422
-1.2637988757454615,0.1921089131252933
-1.2022190804889048,0.22205048953210296
-1.1406392852323486,0.25722536094941023
-1.079059489975792,0.2927242754014221
-1.0174796947192355,0.3327111858841117
-0.9558998994626791,0.36629824643135833
-0.8943201042061226,0.41547177694795595
-0.8327403089495662,0.4511651172207893
-0.7711605136930098,0.496466333472654
-0.7095807184364533,0.5311065338826931
-0.6480009231798969,0.5687117280602974
-0.5864211279233404,0.6089254686672744
-0.5248413326667838,0.6354321889062031
-0.46326153741022735,0.6605293219441668
-0.4016817421536709,0.6773957619005954
-0.3401019468971145,0.6869712335761547
-0.27852215164055805,0.6878785540733257
-0.2169423563840016,0.6791779985914819
-0.15536256112744518,0.6639155716568369
-0.09378276587088852,0.6431282109804644
-0.03220297061433208,0.6014886810207822
0.029376824642224353,0.5560740497067697
0.09095661989878079,0.5144831262022928
0.15253641515533722,0.4713529982829563
0.21411621041189366,0.4243343539471578
0.2756960056684501,0.3781096150463822
0.33727580092500675,0.3351415086444023
0.3988555961815632,0.29933475330942116
0.4604353914381196,0.2567068920938801
0.5220151866946761,0.22475624887189666
0.5835949819512325,0.19264358413255706
0.6451747772077889,0.17043043410348047
0.7067545724643454,0.14194705135284547
0.7683343677209018,0.1224882671187672
0.8299141629774582,0.1058810615900976
0.8914939582340149,0.08650328811469489
0.9530737534905716,0.07334714090564222
1.0146535487471278,0.06130894216632519
1.076233344003684,0.052057513525475684
1.1378131392602406,0.042028381601333306
1.1993929345167973,0.034721211168719075
1.2609727297733535,0.030541056021015586
1.3225525250299097,0.024108801782106386
1.3841323202864664,0.019474986385814432
1.445712115543023,0.015505459210669228
1.5072919107995797,0.011795166463288608
1.568871706056136,0.00967268458596621
1.6304515013126921,0.007696022074261111
1.6920312965692488,0.0060272004455265964
1.7536110918258054,0.004617613244556667
1.8151908870823616,0.004066740085556983
1.8767706823389179,0.0031756217401161637
1.9383504775954745,0.0019928646634402455
1.9999302728520312,0.002009066815175532
2.061510068108588,0.0012313635318817778
2.123089863365144,0.0011665549249406484
2.1846696586217003,0.0007615011315584678
2.246249453878257,0.0005832774624703158
2.3078292491348136,0.0006156817659408889
2.3694090443913702,0.0003564473381763041
2.4309888396479264,0.0001782236690881546
2.4925686349044827,0.0002754365794998713
2.5541484301610393,0.00021062797255872516
2.615728225417596,0.00011341506214700584
2.677308020674152,9.721291041172069e-05
2.7388878159307084,8.101075867643274e-05
2.800467611187265,4.860645520585965e-05
2.8620474064438217,4.860645520585965e-05
2.9236272017003784,4.860645520585965e-05
2.9852069969569346,0.0
3.046786792213491,1.620215173528655e-05
