log_A_recup_MT,probability density
-2.3841845472640095,5.951072328424701e-05
-2.3506536092577925,0.0
-2.3171226712515756,0.0
-2.283591733245358,5.951072328424701e-05
-2.2500607952391416,5.951072328424701e-05
-2.216529857232924,0.00014877680821061555
-2.1829989192267067,2.9755361642123503e-05
-2.14946798122049,0.00026779825477911157
-2.115937043214273,0.00035706433970548204
-2.082406105208056,0.0008331501259794471
-2.048875167201839,0.0009224162109058286
-2.0153442291956214,0.0019043431450959042
-1.9818132911894044,0.0027970039943595905
-1.9482823531831874,0.0034813773121284267
-1.9147514151769702,0.004701347139455513
-1.8812204771707532,0.007379329687246629
-1.847689539164536,0.009759758618616445
-1.814158601158319,0.011961655380133569
-1.7806276631521019,0.017793706261989856
-1.7470967251458849,0.02389355539862517
-1.7135657871396677,0.0307670439379555
-1.6800348491334507,0.0400804721319401
-1.6465039111272335,0.049155857432788025
-1.6129729731210163,0.062010173662184975
-1.5794420351147993,0.07968485847760622
-1.545911097108582,0.09616932882734316
-1.5123801591023651,0.1191404680150625
-1.478849221096148,0.14603931493954117
-1.445318283089931,0.16951629527517648
-1.4117873450837137,0.21048942825638167
-1.3782564070774967,0.24301203853122263
-1.3447254690712795,0.29091817077503956
-1.3111945310650626,0.3376638439148153
-1.2776635930588454,0.39110447342407134
-1.2441326550526282,0.4448129011881013
-1.2106017170464112,0.504264113749067
-1.1770707790401942,0.5725229133560945
-1.143539841033977,0.6370325373962221
-1.1100089030277598,0.7037738135595004
-1.0764779650215428,0.779411942853783
-1.0429470270153258,0.8450225152746598
-1.0094160890091086,0.9037000884329329
-0.9758851510028915,0.9670194980073653
-0.9423542129966744,1.0133783514458001
-0.9088232749904573,1.062266410623802
-0.8752923369842402,1.114338293497525
-0.8417613989780232,1.1495388863201497
-0.808230460971806,1.1685823177711088
-0.7746995229655889,1.1809010374909554
-0.7411685849593718,1.1874174616905726
-0.7076376469531547,1.182745869912767
-0.6741067089469376,1.1565016409444064
-0.6405757709407205,1.1248121807955527
-0.6070448329345034,1.0816371510528242
-0.5735138949282863,1.0339988170637917
-0.5399829569220692,0.9738334758234115
-0.5064520189158521,0.9117340360763062
-0.472921080909635,0.8348759369546958
-0.43939014290341794,0.7540008640114095
-0.40585920489720084,0.6832128586647932
-0.37232826689098375,0.6106395316196586
-0.33879732888476677,0.5272054975751442
-0.30526639087854957,0.4536502435958089
-0.27173545287233236,0.38518315645728873
-0.23820451486611538,0.32236958803076604
-0.20467357685989818,0.26190669317396764
-0.17114263885368097,0.2090611708975597
-0.137611700847464,0.16874265587248238
-0.10408076284124701,0.13253038075401807
-0.0705498248350298,0.10566128919117916
-0.0370188868288126,0.079506326307754
-0.0034879488225956212,0.06129604498277442
0.03004298918362136,0.048292951945166446
0.06357392718983856,0.034129399803515204
0.09710486519605577,0.025381323480731348
0.13063580320227275,0.01978731549201213
0.16416674120848973,0.013806487801945306
0.19769767921470693,0.011545080317143767
0.23122861722092414,0.007885170835162728
0.2647595552271411,0.006278381306488059
0.2982904932333583,0.0041359952682551125
0.3318214312395755,0.002797003994359609
0.3653523692457925,0.0024101842930120037
0.3988833072520095,0.0016365448903167925
0.4324142452582267,0.0012497251889691705
0.4659451832644439,0.0007141286794109641
0.4994761212706609,0.0005653518712003466
0.5330070592768779,0.00032730897806335855
0.5665379972830951,0.00032730897806335416
0.6000689352893123,0.00017853216985274102
0.6335998732955292,0.00014877680821061753
0.6671308113017462,8.926608492637051e-05
0.7006617493079634,8.926608492636932e-05
0.7341926873141806,5.951072328424701e-05
0.7677236253203976,2.9755361642123503e-05
0.8012545633266148,2.975536164212311e-05
0.834785501332832,2.9755361642123503e-05
0.868316439339049,0.0
0.901847377345266,0.0
0.935378315351483,2.9755361642123503e-05
