h_single_phase,h_evaporation,h_condensation,h_supercritical,f_single_phase,f_evaporation,f_condensation,f_supercritical,beta,phi,gamma,eta_is,Q,alpha,T1_prime,T3_prime,T5_prime,log_A_evap_LT,log_A_evap_MT,log_A_GasCooler,log_A_recup_LT,log_A_recup_MT
0.7097542521470892,0.8642580373445075,1.1138173468493375,1.0788200856381922,1.06559775170181,0.8156250302451643,0.9295697206924513,0.9866577412231904,37.94792175292969,1.1498123168945311,0.5089309692382813,0.7467208862304688,23431.930541992188,0.2944602966308594,282.1336364746094,323.16144409179685,356.7933410644531,1.2045361527089684,-1.0382266348438796,1.207697821265806,-1.1067442044395384,-0.6179849825490965
0.9110079984710036,1.2244848982479926,1.0097860236379732,0.9812913091778372,1.2098162361190592,1.1617145062048262,0.7778953374779696,1.0850140386406064,45.44792175292969,1.1998123168945312,0.5589309692382813,0.6967208862304688,25931.930541992188,0.4194602966308594,297.1336364746094,318.16144409179685,351.7933410644531,0.021692014996005843,-0.30412112436456284,0.5925346261757807,-1.1247370730714326,-0.548143336572329
1.1935191974106318,1.1304435154991053,1.1930979945202689,0.7844624490942002,1.1230883295373049,0.9941723906441112,1.2388479700216453,0.9379509589626105,56.69792175292969,1.174812316894531,0.5839309692382814,0.7217208862304688,29681.930541992188,0.7319602966308594,279.6336364746094,315.66144409179685,354.2933410644531,-0.720694274251581,0.2500353785751947,-0.4428279677642301,-1.7113309736977493,-0.47928147168488017
1.058404736537347,0.7639041037204805,1.0582067387336438,1.140404301582294,1.0166000352871887,1.09397418476741,1.07623004805834,1.0339625561588626,34.19792175292969,1.1248123168945312,0.5339309692382813,0.6717208862304688,22181.930541992188,0.6069602966308594,294.6336364746094,310.66144409179685,349.2933410644531,-0.21254259310112544,-0.3307382438822136,0.5238395048479847,-1.9266870523261603,-1.041362975766315
0.8454948134320952,1.0217888802078718,0.8451824182928129,0.9320901673062338,0.7441897251405571,0.8913862351218488,0.8706998953156955,0.7984809327640043,49.19792175292969,1.224812316894531,0.6339309692382813,0.5717208862304688,27181.930541992188,0.3569602966308594,284.6336364746094,320.66144409179685,359.2933410644531,-0.15825830173175867,-0.7867098623444968,1.0865111492783197,-1.1504556455686714,-0.7494045935412997
0.8811055900042294,0.9982128146790993,1.0335565339615231,0.6654867453739844,0.889942024672035,0.8580590613141466,0.902033911371733,1.0101827696488805,43.57292175292969,1.1373123168945312,0.6464309692382814,0.5842208862304688,27806.930541992188,0.5757102966308594,280.8836364746094,316.91144409179685,355.5433410644531,0.04126994773717884,-0.42957829738070874,0.5475621809355886,-1.6848640366050316,-0.8863212626556294
0.9864446092499608,1.0989410115381677,1.1482520336160316,1.1073351309830177,0.9930641026941275,1.212802889715474,0.6301943058465287,0.9112609967833849,51.07292175292969,1.1873123168945312,0.49643096923828134,0.6342208862304688,20306.930541992188,0.7007102966308594,295.8836364746094,311.91144409179685,350.5433410644531,-0.9968151574352127,-0.20101800210232013,-0.45538886210673085,-2.4575097346922825,-0.9651643241775374
1.1485515329241989,1.045919389954628,1.0845496074628733,1.052915990827471,0.9448495390802015,0.9200447601757884,1.1776379733110243,1.0586337984472813,54.82292175292969,1.162312316894531,0.4714309692382813,0.5592208862304688,24056.930541992188,0.3882102966308594,283.3836364746094,324.41144409179685,358.0433410644531,-0.44142881255383176,-0.9101172065531611,0.7020887908688295,-1.4048334004143177,-1.007685024660897
1.0337448033594316,0.9503200703416208,1.2689407471306184,0.9572690764297783,0.813245003730367,1.017714587841009,1.050511008105041,0.962797774001446,32.32292175292969,1.112312316894531,0.6214309692382813,0.6092208862304688,26556.930541992188,0.2632102966308594,298.3836364746094,319.41144409179685,353.0433410644531,0.20724592105830475,-1.288460324243632,1.5004254999006423,-1.0687720327139736,-0.5488541580197719
0.8239369750666016,0.9377196466339712,0.8235708438069378,1.1597889554715812,1.1822443360989203,0.9061444663730163,1.1558473778964906,1.071546850070533,46.38542175292969,1.1685623168945312,0.4776809692382813,0.5779708862304688,25619.430541992188,0.3725852966308594,296.5086364746094,313.78644409179685,357.4183410644531,-0.14170704542128557,-0.6665907968236506,0.6589163469280903,-1.327924979685868,-0.7198335423700032
1.388993672926334,1.084764894784511,0.8963384639952678,0.9930870760264408,1.0048172214372415,0.8384597815413273,0.990817589888683,1.0220034309932131,35.13542175292969,1.143562316894531,0.6026809692382813,0.5529708862304688,21869.430541992188,0.6850852966308594,294.0086364746094,326.28644409179685,354.9183410644531,-0.9778939050949405,-0.3116353826009533,0.025375251313540625,-2.3835140264376156,-1.1237825899998648
1.0989410115381677,0.9864446092499608,0.9980292093248704,1.0926583419797342,1.1073054882699083,1.1845827465008896,0.886984394559585,0.9249036630606133,57.63542175292969,1.193562316894531,0.4526809692382813,0.6029708862304688,29369.430541992188,0.5600852966308594,279.0086364746094,321.28644409179685,349.9183410644531,-0.2820336378070501,-0.05486989988066405,-0.40222857540611295,-1.1659312846546446,-0.5306686993729752
0.8642580373445075,0.7097542521470892,0.9244546047069981,0.969378516309806,0.9812681808932029,0.9823836235740351,1.1199735765890042,0.9505442598137338,52.01042175292969,1.1560623168945312,0.5651809692382813,0.7404708862304688,21244.430541992188,0.5288352966308594,295.2586364746094,327.53644409179685,353.6683410644531,-0.24489965925257576,-0.4844406888472912,0.18976449365305584,-1.7749834705246517,-1.0398316280431188
1.2244848982479926,0.9110079984710036,1.0216033587293494,0.8563531838816973,1.0787937405896226,0.8754922040724868,0.7340123583472418,0.8243590109804936,59.51042175292969,1.206062316894531,0.6151809692382814,0.5904708862304688,23744.430541992188,0.4038352966308594,290.2586364746094,312.53644409179685,358.6683410644531,-0.2328626544743121,-0.6200124332121059,0.8530807181830149,-1.3181480602501685,-0.7018884251695499
0.9745922410598202,1.1140623339206133,0.763268394352401,1.0656230043003185,0.8739226996771994,1.080067683288478,1.0143447968143047,1.0461419010815898,44.51042175292969,1.1060623168945312,0.5151809692382813,0.6904708862304688,28744.430541992188,0.6538352966308594,280.2586364746094,322.53644409179685,348.6683410644531,-0.588419049450981,-0.2511587324761723,0.5497948651404745,-1.9012028491548267,-0.9808895990580999
1.1304435154991053,1.1935191974106318,0.974405977773277,1.1231204675502464,0.7843979956899232,0.7874635805288414,0.9670608555360366,0.9984251050498979,33.26042175292969,1.131062316894531,0.5401809692382813,0.7154708862304688,27494.430541992188,0.4663352966308594,297.7586364746094,315.03644409179685,356.1683410644531,-0.4055589988310061,-0.6146169854867689,0.9810844168135049,-1.6125076631230308,-0.927270605813044
