name,First-order Sobol indices,Total-order Sobol indices  
beta,0.454329,0.454329  
phi,0.266433,0.266433  
T1_prime,0.061674,0.061674  
T4_prime,0.055107,0.055107  
eta_is,0.039265,0.039265  
f_evaporation,0.036904,0.036904  
h_evaporation,0.032165,0.032165  
h_condensation,0.021701,0.021701  
Q,0.017281,0.017281  
gamma,0.011700,0.011700  
h_single_phase,0.002862,0.002862  
f_condensation,0.000513,0.000513  
f_single_phase,0.000065,0.000065  
