log_A_recup,cumulative probability
-1.5248179151239827,9.95262550260759e-07
-1.4767285211841945,5.971575301564553e-06
-1.4286391272444066,2.289103865599745e-05
-1.3805497333046186,4.9763127513037934e-05
-1.3324603393648307,0.00010947888052868347
-1.2843709454250427,0.00025578247541701497
-1.2362815514852545,0.0006668259086747083
-1.1881921575454666,0.0015038417134440062
-1.1401027636056786,0.003390859508738405
-1.0920133696658905,0.007042477805645129
-1.0439239757261025,0.013292726621282693
-0.9958345817863146,0.023469286197698953
-0.9477451878465265,0.0382698355826267
-0.8996557939067384,0.05870655678968112
-0.8515663999669505,0.08531291054580198
-0.8034770060271625,0.1185148692225009
-0.7553876120873744,0.15893347665114058
-0.7072982181475864,0.20607806839444245
-0.6592088242077985,0.25951769576814365
-0.6111194302680104,0.3190931167642024
-0.5630300363282223,0.3825918627333891
-0.5149406423884344,0.44959293761694336
-0.46685124844864645,0.5178749154026833
-0.4187618545088584,0.5867849038576377
-0.37067246056907033,0.6535710020303357
-0.3225830666292824,0.7174379951431189
-0.2744936726894943,0.7765635574664598
-0.22640427874970626,0.8292647000278675
-0.1783148848099183,0.8748019427524982
-0.13022549087013036,0.912389028225646
-0.0821360969303423,0.9419980890959037
-0.034046702990554234,0.9638102631474185
0.014042690949233716,0.9784734663004102
0.06213208488902178,0.9876099765118039
0.11022147882880984,0.992911740117043
0.1583108727685978,0.9956457263426093
0.20640026670838574,0.9971097575540429
0.2544896606481738,0.9978930291810981
0.30257905458796186,0.9984085751821332
0.3506684485277498,0.9987071539472114
0.39875784246753787,0.9989410406465227
0.44684723640732593,0.9990992873920141
0.4949366303471139,0.9992406146741512
0.5430260242869018,0.9993520840797804
0.5911154182266898,0.9994416577093038
0.6392048121664777,0.9995292408137267
0.6872942061062659,0.999594928142044
0.7353836000460541,0.9996456865321073
0.783472993985842,0.9996964449221706
0.83156238792563,0.9997442175245831
0.8796517818654179,0.9997730801385406
0.9277411758052059,0.99980890959035
0.9758305697449938,0.9998377722043075
1.023919963684782,0.9998656395557147
1.0720093576245702,0.9998745969186671
1.1200987515643581,0.9998865400692702
1.168188145504146,0.999904454795175
1.216277539443934,0.9999154026832279
1.264366933383722,0.9999283410963813
1.31245632732351,0.9999372984593337
1.360545721263298,0.999942274772085
1.4086351152030863,0.9999472510848363
1.4567245091428742,0.9999522273975876
1.5048139030826622,0.99996118476054
1.5529032970224501,0.9999661610732913
1.600992690962238,0.9999681515983918
1.649082084902026,0.9999711373860426
1.6971714788418142,0.9999771089613442
1.7452608727816024,0.9999781042238944
1.7933502667213903,0.9999781042238944
1.8414396606611783,0.9999820852740955
1.8895290546009662,0.9999830805366458
1.9376184485407542,0.9999850710617463
1.985707842480542,0.9999860663242965
2.0337972364203303,0.9999870615868468
2.0818866303601187,0.9999880568493971
2.129976024299906,0.9999890521119473
2.1780654182396946,0.9999900473744976
2.226154812179482,0.9999900473744976
2.2742442061192705,0.9999910426370479
2.322333600059058,0.9999920378995981
2.3704229939988464,0.9999920378995981
2.4185123879386348,0.9999920378995981
2.4666017818784223,0.9999920378995981
2.5146911758182102,0.9999950236872489
2.562780569757998,0.9999960189497992
2.6108699636977866,0.9999960189497992
2.6589593576375745,0.9999960189497992
2.7070487515773625,0.9999960189497992
2.7551381455171504,0.9999960189497992
2.8032275394569384,0.9999980094748997
2.8513169333967263,0.9999980094748997
2.8994063273365143,0.9999980094748997
2.9474957212763027,0.9999980094748997
2.9955851152160906,0.9999980094748997
3.0436745091558786,0.9999980094748997
3.0917639030956665,0.9999980094748997
3.1398532970354545,0.99999900473745
3.1879426909752424,0.99999900473745
3.2360320849150304,1.0000000000000002
