Nb_plates,CDF
5.704272204800253,0.0002
5.707407585453718,0.0004
5.716627770156483,0.0006
5.724825989167864,0.0008
5.734094332604431,0.001
5.741703116513365,0.0012
5.769805040699123,0.0014
5.802521169745262,0.0016
5.8244524454568865,0.0018
5.832627046323817,0.002
5.882980262458785,0.0022
5.893948602078188,0.0024
5.90240017156327,0.0026
5.902465636043715,0.0028
5.904457782847743,0.003
5.904516590567912,0.0032
5.905672535398047,0.0034
5.915078250295414,0.0036
5.915315644449173,0.0038
5.928675319728789,0.004
5.931121182420696,0.0042
5.933066252995672,0.0044
5.934645938802907,0.0046
5.9389396885913746,0.0048
5.941099578736617,0.005
5.941410417875394,0.0052
5.943962027860714,0.0054
5.94627841984299,0.0056
5.9553151432198845,0.0058
5.956308471529924,0.006
5.969894342922358,0.0062
5.970436015145294,0.0064
5.980174564187601,0.0066
5.981100729372279,0.0068
5.985041683988232,0.007
5.986109853656696,0.0072
5.986513842787538,0.0074
5.991161451618678,0.0076
5.995948037602547,0.0078
5.99708707071217,0.008
5.998439747820131,0.0082
6.019726871153436,0.0084
6.0331797248287735,0.0086
6.039854687810813,0.0088
6.047227476533061,0.009
6.068263240377427,0.0092
6.101710985204907,0.0094
6.114754633793435,0.0096
6.154781567679143,0.0098
6.192400091793207,0.01
6.196199894814166,0.0102
6.2107158219175504,0.0104
6.229799664245216,0.0106
6.24042591055301,0.0108
6.252469952299083,0.011
6.260872219200255,0.0112
6.292709860579006,0.0114
6.3092180916339755,0.0116
6.311749120837489,0.0118
6.3139190657889515,0.012
6.356932707962234,0.0122
6.36367174407285,0.0124
6.368284224261216,0.0126
6.412680339797256,0.0128
6.413353575234682,0.013
6.415395564284263,0.0132
6.4170384664656455,0.0134
6.422555999751737,0.0136
6.450290711599974,0.0138
6.470680750966399,0.014
6.476546141514176,0.0142
6.476637773052238,0.0144
6.507879087148628,0.0146
6.5183774000268935,0.0148
6.5359707118574475,0.015
6.554965946435222,0.0152
6.600053444539612,0.0154
6.6326165235239865,0.0156
6.641391300534708,0.0158
6.643956159890481,0.016
6.688869562917179,0.0162
6.695915323844347,0.0164
6.716494727400842,0.0166
6.718199685701179,0.0168
6.726464306819788,0.017
6.741483555531077,0.0172
6.74172840283951,0.0174
6.751837866721622,0.0176
6.759586674884952,0.0178
6.762712517880981,0.018
6.77190798825689,0.0182
6.778593956180763,0.0184
6.77898109251487,0.0186
6.779637889010894,0.0188
6.780193794616524,0.019
6.782651451448883,0.0192
6.7942035221675114,0.0194
6.799085762254793,0.0196
6.803941885531686,0.0198
6.813072943083716,0.02
6.825850009143666,0.0202
6.828222535395054,0.0204
6.829450997098211,0.0206
6.874637128348871,0.0208
6.87643037318033,0.021
6.877926343931086,0.0212
6.878073227880741,0.0214
6.878848830640376,0.0216
6.885898172096414,0.0218
6.89440469742995,0.022
6.896013123558377,0.0222
6.900477312800385,0.0224
6.901239779471558,0.0226
6.916852958641987,0.0228
6.920524691753922,0.023
6.948858594252911,0.0232
6.951624868312881,0.0234
6.953691761611194,0.0236
6.955579575057127,0.0238
6.968954656110881,0.024
6.996642616582848,0.0242
7.000489956986627,0.0244
7.003975876303939,0.0246
7.017650814968854,0.0248
7.0530127708441,0.025
7.060933295515992,0.0252
7.069234632709997,0.0254
7.079990418018934,0.0256
7.088786586979681,0.0258
7.089175433056185,0.026
7.09620731010025,0.0262
7.097891263967562,0.0264
7.118689258948124,0.0266
7.119077070356339,0.0268
7.12203497651365,0.027
7.1305089420086825,0.0272
7.133847578292287,0.0274
7.1534423185701925,0.0276
7.154327876228294,0.0278
7.155704534518474,0.028
7.15964579307926,0.0282
7.17259100523263,0.0284
7.1728257997291545,0.0286
7.17489307441493,0.0288
7.180826330505585,0.029
7.188501253675087,0.0292
7.193497188090601,0.0294
7.198583492661039,0.0296
7.205584297655545,0.0298
7.206120245092611,0.03
7.209542883088513,0.0302
7.211308847400707,0.0304
7.213677760026552,0.0306
7.214723982379508,0.0308
7.219271519217189,0.031
7.221169718217582,0.0312
7.224877352784894,0.0314
7.225879736706356,0.0316
7.227593290186485,0.0318
7.231610778280612,0.032
7.232185476797562,0.0322
7.234026156542606,0.0324
7.243891371139696,0.0326
7.244131737565464,0.0328
7.247155395678236,0.033
7.248230567058793,0.0332
7.256007697735928,0.0334
7.257215862091136,0.0336
7.26479381347586,0.0338
7.267899572635026,0.034
7.26935821681307,0.0342
7.272557068014049,0.0344
7.275994480147709,0.0346
7.2858124520417284,0.0348
7.29296311661474,0.035
7.293700184138166,0.0352
7.295695994626918,0.0354
7.296769899276797,0.0356
7.298063923727482,0.0358
7.299127781343228,0.036
7.306550241810728,0.0362
7.309248411668619,0.0364
7.312899600104972,0.0366
7.3137620161917685,0.0368
7.314422301738424,0.037
7.320181960260269,0.0372
7.321920266768286,0.0374
