Nb_plates,CDF
4.83550426588411,0.0002
4.93084313302654,0.0004
5.0397842402663455,0.0006
5.1909769958064755,0.0008
5.199301465034813,0.001
5.255533384847701,0.0012
5.275594664899655,0.0014
5.34961220807029,0.0016
5.375728374218973,0.0018
5.396640256315074,0.002
5.399125244469893,0.0022
5.4012393040297715,0.0024
5.419906826885575,0.0026
5.443732434070431,0.0028
5.448319535768556,0.003
5.4737235606690415,0.0032
5.500167408256713,0.0034
5.503683821398184,0.0036
5.517545504431347,0.0038
5.5381712031890515,0.004
5.555696621910436,0.0042
5.574738526545492,0.0044
5.58603307214487,0.0046
5.5889550784205335,0.0048
5.589813213666806,0.005
5.606290022400587,0.0052
5.620799508173247,0.0054
5.626338175649153,0.0056
5.630594873832829,0.0058
5.642674257174813,0.006
5.654783855775053,0.0062
5.661730745743157,0.0064
5.670624056499015,0.0066
5.67250474111999,0.0068
5.676983935178586,0.007
5.679976965787481,0.0072
5.696748998536032,0.0074
5.702081680775727,0.0076
5.71340060802137,0.0078
5.724710081998888,0.008
5.730373955746409,0.0082
5.7307975733976875,0.0084
5.740462555627001,0.0086
5.75071941114475,0.0088
5.75243933254913,0.009
5.755529007473237,0.0092
5.761133040677461,0.0094
5.762670332158773,0.0096
5.766229969077502,0.0098
5.770134200859051,0.01
5.782274317214251,0.0102
5.786653499284961,0.0104
5.789626543129362,0.0106
5.793121313366017,0.0108
5.7934137204229215,0.011
5.79762860010152,0.0112
5.801681054947258,0.0114
5.803708454194835,0.0116
5.804138989096852,0.0118
5.804176350419969,0.012
5.804772094789378,0.0122
5.808043904370974,0.0124
5.811801299445844,0.0126
5.8162427189175965,0.0128
5.820771262691002,0.013
5.821772747844619,0.0132
5.823836648391134,0.0134
5.827229116210672,0.0136
5.830020295277961,0.0138
5.831296456085049,0.014
5.831982228167709,0.0142
5.832680607520665,0.0144
5.833174991080542,0.0146
5.8339246275177175,0.0148
5.835406961422504,0.015
5.837345951701942,0.0152
5.83860042726503,0.0154
5.84060618687079,0.0156
5.8409198833394385,0.0158
5.843236757992214,0.016
5.843865297399514,0.0162
5.846632784237324,0.0164
5.848386281310708,0.0166
5.850295832687944,0.0168
5.854718546023282,0.017
5.856478748069197,0.0172
5.858338665082561,0.0174
5.861383702312237,0.0176
5.862058457043676,0.0178
5.865463311226051,0.018
5.867201668454236,0.0182
5.867691201534754,0.0184
5.870008585634594,0.0186
5.870249238430812,0.0188
5.870510341085138,0.019
5.872346797233605,0.0192
5.8745465193258415,0.0194
5.875578506678993,0.0196
5.880970453803546,0.0198
5.881673161509278,0.02
5.882489478371332,0.0202
5.883925996012058,0.0204
5.884682513539158,0.0206
5.886706133507774,0.0208
5.887053772022245,0.021
5.888033062880655,0.0212
5.889858441035779,0.0214
5.891782957739211,0.0216
5.892735804803071,0.0218
5.893220929679319,0.022
5.894193332168166,0.0222
5.8961555146800375,0.0224
5.898762274620024,0.0226
5.901959038743486,0.0228
5.902126022766074,0.023
5.905273866335126,0.0232
5.906962871890237,0.0234
5.907552022229172,0.0236
5.909074305600283,0.0238
5.910916045243569,0.024
5.91358956149138,0.0242
5.9142688948603555,0.0244
5.914284732434633,0.0246
5.917789486291738,0.0248
5.918124715220426,0.025
5.9191647007574035,0.0252
5.921544987041306,0.0254
5.922857758277338,0.0256
5.923079985320763,0.0258
5.923125023321875,0.026
5.924393191305009,0.0262
5.9267240698834165,0.0264
5.928632730085778,0.0266
5.928848614940103,0.0268
5.929616995441183,0.027
5.931691281891335,0.0272
5.932035361938196,0.0274
5.935142700033114,0.0276
5.937269915549748,0.0278
5.943315401007933,0.028
5.943699348598756,0.0282
5.945312835645346,0.0284
5.947303912405017,0.0286
5.94735820689569,0.0288
5.947496171729629,0.029
5.950031010201189,0.0292
5.953708899857953,0.0294
5.954859952300585,0.0296
5.958022342342689,0.0298
5.958026874568535,0.03
5.961491375888473,0.0302
5.962096775030109,0.0304
5.963133455954331,0.0306
5.963160084126882,0.0308
5.963538162175793,0.031
5.96377363578302,0.0312
5.963992890532701,0.0314
5.964182077580827,0.0316
5.964381661781166,0.0318
5.964852556953443,0.032
5.965551783081539,0.0322
5.966011737645555,0.0324
5.967924209050103,0.0326
5.968255428985065,0.0328
5.968592631672893,0.033
5.970830116234248,0.0332
5.972831544006784,0.0334
5.973836909434697,0.0336
5.976844129476912,0.0338
5.9769735244425375,0.034
5.977767424420195,0.0342
5.978342632087749,0.0344
5.978697072388339,0.0346
5.9797016292960326,0.0348
5.979993822605691,0.035
5.981900543553349,0.0352
5.982755019431289,0.0354
5.983604858277236,0.0356
5.98365647101038,0.0358
5.986015085237973,0.036
5.986320573697931,0.0362
5.987408212504656,0.0364
5.989521038545496,0.0366
5.994123054163492,0.0368
5.994356107052576,0.037
5.9969138988796225,0.0372
6.010495968149041,0.0374
6.016043471097915,0.0376
6.035773355702196,0.0378
6.043937122506654,0.038
6.05328541955836,0.0382
6.055418687235394,0.0384
6.069375680802163,0.0386
6.086745583707144,0.0388
6.090966951726014,0.039
6.101401041684212,0.0392
6.1036540691069705,0.0394
6.116547049344718,0.0396
6.121127744585126,0.0398
6.12183958013431,0.04
6.1361161738325745,0.0402
6.140402407476793,0.0404
6.145105958926439,0.0406
6.151680687555207,0.0408
6.156529249699831,0.041
6.160765540221352,0.0412
6.162533267801656,0.0414
6.1682607050856015,0.0416
6.173549382751717,0.0418
6.181014786060259,0.042
6.1852124667762425,0.0422
6.186320247437179,0.0424
6.193505400934227,0.0426
6.193632224790455,0.0428
6.208031100121496,0.043
6.21282240931428,0.0432
6.21545040668942,0.0434
6.219346141247491,0.0436
6.225466945732598,0.0438
6.227458415305369,0.044
6.232637775632871,0.0442
6.23562306038455,0.0444
6.23681162092869,0.0446
6.241338952906614,0.0448
6.241385377473577,0.045
6.2442451214187615,0.0452
6.244375494714861,0.0454
6.253153453993889,0.0456
6.2897911670955695,0.0458
6.29385368173309,0.046
6.2955780047380445,0.0462
6.295866689389136,0.0464
6.298721776049389,0.0466
6.299199935218842,0.0468
6.305741691815268,0.047
6.335545341946918,0.0472
6.337784746795561,0.0474
6.345977272972177,0.0476
6.356387653328319,0.0478
6.356597994795838,0.048
6.3713114538057045,0.0482
6.378652505563362,0.0484
6.388407062306346,0.0486
6.391973555347704,0.0488
6.404728482195168,0.049
6.406946946343226,0.0492
6.4195207786954605,0.0494
6.422422008995649,0.0496
6.426437232448439,0.0498
6.439265765126287,0.05
6.447268421251273,0.0502
6.453334259322979,0.0504
6.458637308443237,0.0506
6.46123152330372,0.0508
6.46307365294533,0.051
6.46790392338381,0.0512
6.468273761865038,0.0514
6.471034536456335,0.0516
6.477483639096125,0.0518
6.4793947880063785,0.052
6.479665532436583,0.0522
6.480692426933946,0.0524
6.485683544046416,0.0526
6.488401109150458,0.0528
6.494500409837134,0.053
6.49567170921317,0.0532
6.4957346134552045,0.0534
6.505397517508772,0.0536
6.5117454029910355,0.0538
6.5127271432792835,0.054
6.512934258407438,0.0542
6.514167693939679,0.0544
6.521973406259749,0.0546
6.523622786568137,0.0548
6.525469725856752,0.055
6.530933950218,0.0552
6.5420795162562655,0.0554
6.544695976336622,0.0556
6.548056279119261,0.0558
6.55142139521541,0.056
6.55251983170479,0.0562
6.567129467255693,0.0564
6.5673749347951045,0.0566
6.572869511533506,0.0568
6.592618659787361,0.057
6.59465091896214,0.0572
6.60065912072178,0.0574
6.608656115968247,0.0576
6.611420103794095,0.0578
6.617387547746361,0.058
6.624935007009963,0.0582
6.631122010276715,0.0584
6.631367998711812,0.0586
6.632253865035828,0.0588
6.63471378047619,0.059
6.635381147986919,0.0592
6.637592894259624,0.0594
6.638176502290153,0.0596
6.644726290588739,0.0598
6.650393781826392,0.06
6.6545923486815886,0.0602
6.654625896251954,0.0604
6.6558076803556245,0.0606
6.657195808470972,0.0608
