h_single_phase,h_evaporation,h_condensation,h_supercritical,f_single_phase,f_evaporation,f_condensation,f_supercritical,beta,phi,gamma,eta_is,Q,alpha,T1_prime,T3_prime,T5_prime,log_A_evap_LT,log_A_evap_MT,log_A_GasCooler
1.074507122951685,0.9304873460781308,1.219847315338233,0.9097440081655904,1.1107699869993115,1.0486125954092191,0.9281238643232064,1.054209340826262,57.22699421778279,1.2266807513020848,0.4955870325083883,0.7385819407825038,22848.40494377468,0.7428252270553004,280.5557954010882,321.05345580818897,348.3088325543031,-0.8712968578461798,0.1643438668605582,1.1419271757610918
0.9792603548243224,0.9301405369644616,0.9661335549270196,1.2778417276763403,1.0257052421784956,0.9422376579375524,0.9721511535004276,1.2307054849698953,37.478766874466245,1.2742921180375435,0.5354215577252514,0.6146405864041511,20368.86947354533,0.3710276357557502,295.4560499117848,311.6373285800998,356.3496809206836,-0.1683884659802159,-0.737479047062524,0.9552606169210244
1.2284544784612037,0.7130079633013303,0.7862877720679815,0.841343360656615,0.9548344456616068,1.0917514433261302,0.8205690063878994,1.2346965483721009,52.66653415629146,1.1373140117772071,0.6221461166512687,0.6906037917790355,25026.79023228861,0.6308098076643588,282.4803702079971,315.8847069260107,354.2540162319892,-0.7628657235476876,-0.4232290326495255,1.6005476797634557
0.964879456457623,0.915656870613854,1.0166383884564798,0.8168734525043466,0.8920233687407937,1.1396920178674297,1.2034360042856234,1.1232853756562835,32.30939729486379,1.20786844838313,0.5521494605155132,0.7443564165441922,22786.464642366114,0.6141081743059298,290.56785886376485,310.90041888291984,347.987045818009,0.2688741643426713,-0.2260629366975294,1.6493777751167944
1.2368819223261087,0.8480753319498364,0.8273509633866546,1.0313295392507134,0.9309041843560318,0.8741173715166042,0.98919848176295,1.0130570602357256,38.69254358741304,1.2614880310328125,0.5334822006297558,0.7424894589884222,29082.65885966654,0.4338915663596266,292.30128723684567,314.97132702100515,345.012055356118,0.3374537565154087,-0.1315979381677743,1.080306596533307
1.0813840065378948,0.7881544447997063,0.9562459375310084,1.0295291853803683,0.7355439766955899,1.146331769068354,0.9032320368092314,0.7018646628098661,54.24361138693251,1.1220103849055352,0.5175230342807257,0.6101756619633539,24894.52760277563,0.5178873420373793,283.2799155039588,325.6967870676196,355.8120291454653,-0.729451924714178,-0.8910761132058075,1.3169663693266038
0.8509553020107322,0.7683535067077046,1.1257509404375623,1.134017419794937,1.157026562351496,1.0233781935989383,0.8798226682430105,0.935487970221226,40.32193956983902,1.2766535668555885,0.54759827026145,0.6932477280145526,22624.537237453245,0.4569124607591598,290.49419327969906,317.9144249878629,362.5533273133127,-0.1583419233787847,-0.3896842054885433,1.3859474414940451
0.9042886126352566,0.9841464381949224,0.9363647068558548,0.8123172933979004,0.9505248736237576,1.0453126030691673,1.2284618444148476,1.1667750033110087,52.75043788869367,1.272132882130116,0.572529648038401,0.6243525692568972,23989.43390460192,0.6141804721582471,295.25875434130586,325.99343851818486,350.52555538885593,-0.3986790948066283,0.0413536338700213,1.449525456294714
1.159238303348645,1.1057121619737864,0.8357905287177334,1.0341822645494414,1.000393034284272,1.144550155615995,1.081215593569538,0.7721534488191144,49.57841039513341,1.204045056353108,0.573002522054661,0.6643204631740449,23015.36159499337,0.6890810161128436,291.1770580626634,324.00215235273095,361.1389173090866,-0.9256377619429776,-0.174828348578651,1.330400393445927
0.976389377292012,0.8345775512010075,0.9061947603071332,1.1093402131227263,0.9980403732829776,1.014159858130163,0.9095075221455596,0.931316934353948,30.20777596032994,1.239968590329172,0.5702369812600345,0.5887935456084735,26681.929051673083,0.6947553391416701,288.1049945139296,324.4458065026626,347.9854208557683,0.470140562303557,0.1892091750740786,1.2858473601677425
