log_A_GasCooler,cumulative probability
-2.5775572650840406,9.983706590843742e-07
-2.513437642600006,2.9951119772531227e-06
-2.44931802011597,2.9951119772531227e-06
-2.3851983976319344,5.9902239545062455e-06
-2.3210787751478996,6.988594613590619e-06
-2.256959152663864,8.985335931759369e-06
-2.1928395301798282,1.0982077249928118e-05
-2.1287199076957934,1.1980447909012493e-05
-2.0646002852117578,1.5973930545349988e-05
-2.0004806627277225,2.1964154499856232e-05
-1.9363610402436873,3.5941343727037474e-05
-1.8722414177596518,5.091690361330309e-05
-1.8081217952756166,7.288105811315933e-05
-1.744002172791581,0.00010582728986294368
-1.6798825503075459,0.00015075396952174053
-1.6157629278235104,0.00020865946774863424
-1.5516433053394751,0.00028353726717996234
-1.4875236828554397,0.0003983498929746654
-1.4234040603714044,0.0005700696463371778
-1.359284437887369,0.0008006932685856682
-1.2951648154033337,0.0010942142423564743
-1.2310451929192983,0.0015025478419219834
-1.166925570435263,0.0021025686080316922
-1.1028059479512275,0.0029142439538672885
-1.0386863254671923,0.003983498929746653
-0.974566702983157,0.005519991374077505
-0.9104470804991215,0.007546683812018785
-0.8463274580150861,0.01031616402031884
-0.7822078355310509,0.013686663365387687
-0.7180882130470155,0.018009608319223026
-0.6539685905629801,0.02350663716814159
-0.5898489680789447,0.030210696143893163
-0.5257293455949095,0.038197661416568156
-0.4616097231108742,0.04769516149643781
-0.39749010062683876,0.05853447174211686
-0.3333704781428033,0.0711309143477844
-0.26925085565876805,0.08517998626241971
-0.20513123317473259,0.10087437302322608
-0.14101161069069712,0.11788860579534198
-0.07689198820666188,0.13618574486438131
-0.012772365722626633,0.15622104725088654
0.05134725676140861,0.17788169707038112
0.11546687924544408,0.20077832976582216
0.17958650172947954,0.22513657710616272
0.24370612421351479,0.25084661831890354
0.30782574669755025,0.2781121210184978
0.3719453691815857,0.30665054630842464
0.43606499166562096,0.33713878949554327
0.5001846141496562,0.3694440672821955
0.5643042366336914,0.4037900146960161
0.6284238591177269,0.44014268713459637
0.6925434816017624,0.47806280150793906
0.7566631040857976,0.5181294127983131
0.8207827265698331,0.5598173780390403
0.8849023490538686,0.602718363630555
0.9490219715379038,0.6458859141880452
1.013141594021939,0.6886151800261974
1.0772612165059743,0.7301104597297212
1.1413808389900097,0.7691457541292611
1.2055004614740452,0.8053746286061149
1.2696200839580805,0.8379454729880835
1.333739706442116,0.8670769304495065
1.3978593289261512,0.8924345468195906
1.4619789514101864,0.9138915290246319
1.526098573894222,0.931842233474969
1.5902181963782573,0.946515287051532
1.6543378188622926,0.9582870754927958
1.7184574413463278,0.9678085364684834
1.782577063830363,0.9753322577553433
1.8466966863143988,0.9814093399571898
1.910816308798434,0.9859419427494329
1.9749359312824692,0.9894272547202965
2.039055553766505,0.9920509728123702
2.10317517625054,0.9940477141305389
2.1672947987345754,0.9954713906903933
2.231414421218611,0.9965486326315453
2.2955340437026464,0.9974132216223123
2.3596536661866816,0.9980591674387399
2.423773288670717,0.9985493674323503
2.487892911154752,0.9989497140666431
2.5520125336387878,0.9991983083607552
2.616132156122823,0.9994059694578448
2.6802517786068583,0.9995527299447302
2.7443714010908935,0.9996665441998658
2.8084910235749287,0.9997464138525926
2.8726106460589644,0.9998023226095013
2.9367302685429997,0.999846250918501
3.000849891027035,0.9998851873742053
3.0649695135110706,0.9999121433820005
3.129089135995106,0.9999271189418868
3.193208758479141,0.9999450896137503
3.257328380963177,0.9999630602856138
3.321448003447212,0.9999750407335228
3.3855676259312473,0.9999800325868182
3.4496872484152825,0.9999860228107728
3.5138068708993178,0.9999880195520909
3.5779264933833534,0.9999910146640681
3.6420461158673887,0.9999960065173635
3.706165738351424,0.9999970048880226
3.770285360835459,0.9999999999999998
