log_A_evap,cumulative probability
-0.426895124392762,2.9951149674880266e-06
-0.4067362018685844,5.990229934976053e-06
-0.3865772793444069,1.5973946493269476e-05
-0.36641835682022933,2.6956034707392238e-05
-0.34625943429605177,4.991858279146711e-05
-0.3261005117718742,8.286484743383541e-05
-0.30594158924769665,0.00014077040347193725
-0.28578266672351915,0.0002176450209707966
-0.26562374419934154,0.00034044473463780574
-0.245464821675164,0.0005471076673944797
-0.22530589915098648,0.0008576012523574051
-0.20514697662680892,0.0012649368879357767
-0.18498805410263136,0.0018729452263358463
-0.16482913157845383,0.0026406930296686104
-0.14467020905427627,0.0038307520434171863
-0.12451128653009871,0.005423154834464987
-0.10435236400592116,0.0075626652929072676
-0.0841934414817436,0.010237302958874076
-0.06403451895756604,0.013676693313206159
-0.04387559643338848,0.018039577449180385
-0.02371667390921095,0.023277035155661114
-0.0035577513850334197,0.029396055034239154
0.01660117113914414,0.036924775690848226
0.0367600936633217,0.045678498369159895
0.056919016187499255,0.05577403255290621
0.07707793871167679,0.06736912096370819
0.09723686123585434,0.08035194597611296
0.1173957837600319,0.09464862808758914
0.13755470628420946,0.11054769670667142
0.15771362880838702,0.12810905413270954
0.17787255133256458,0.14725083388992552
0.19803147385674214,0.1680189610744875
0.21819039638091964,0.1898223996661445
0.2383493189050972,0.213173314324337
0.25850824142927475,0.23834426051110638
0.2786671639534523,0.26453454415847755
0.29882608647762987,0.2917521522396971
0.31898500900180743,0.31999109452483004
0.339143931525985,0.34889595070440116
0.35930285405016255,0.378709325090777
0.3794617765743401,0.4089859439254576
0.3996206990985176,0.4397298006950664
0.41977962162269516,0.4706174229831146
0.4399385441468727,0.5015948987201875
0.4600974666710503,0.5324495747435933
0.48025638919522784,0.5633411905182648
0.5004153117194053,0.5939902019805698
0.520574234243583,0.6241440211015835
0.5407331567677605,0.6536508953896197
0.560892079291938,0.6823890235026674
0.5810510018161156,0.7101607278528722
0.6012099243402931,0.7371566974264976
0.6213688468644706,0.7633050494643239
0.6415277693886482,0.7882064353040193
0.6616866919128258,0.8118518696006815
0.6818456144370033,0.8343042497686275
0.7020045369611808,0.8554837060753911
0.7221634594853584,0.8750987139974702
0.7423223820095359,0.8928218076317527
0.7624813045337134,0.9091102411966084
0.782640227057891,0.9237813126790206
0.8027991495820687,0.937123551487524
0.8229580721062462,0.9487895242858899
0.8431169946304237,0.9592265015759298
0.8632759171546013,0.9679842177408648
0.8834348396787788,0.975407111001956
0.9035937622029563,0.9814981764741708
0.9237526847271339,0.9863083311119566
0.9439116072513115,0.9902199512594959
0.964070529775489,0.9932300418018214
0.9842294522996665,0.9954514187360417
1.004388374823844,0.997046816642057
1.0245472973480216,0.9981619977816183
1.0447062198721992,0.9988339019059914
1.0648651423963766,0.9993300926189386
1.0850240649205545,0.9996016497093242
1.1051829874447319,0.9997733696341269
1.1253419099689093,0.9998742051713656
1.145500832493087,0.9999221270108454
1.1656597550172645,0.9999460879305853
1.185818677541442,0.9999640586203902
1.2059776000656197,0.9999770374519159
1.226136522589797,0.9999830276818509
1.2462954451139747,0.9999860227968184
1.2664543676381523,0.9999880195401301
1.2866132901623297,0.9999900162834418
1.3067722126865076,0.9999920130267534
1.326931135210685,0.9999920130267534
1.3470900577348623,0.9999920130267534
1.3672489802590402,0.9999940097700651
1.3874079027832176,0.9999960065133768
1.407566825307395,0.9999960065133768
1.4277257478315728,0.9999970048850326
1.4478846703557502,0.9999970048850326
1.4680435928799278,0.9999980032566884
1.4882025154041054,0.9999980032566884
1.5083614379282828,0.9999980032566884
1.5285203604524604,0.9999990016283442
1.548679282976638,0.9999990016283442
1.5688382055008157,1.0
