log_A_recup,probability density
-2.2027693981319665,2.284772625672619e-05
-2.1590726797860675,0.0
-2.115375961440168,0.0
-2.0716792430942688,2.284772625672619e-05
-2.02798252474837,0.0
-1.9842858064024702,0.0
-1.940589088056571,0.0
-1.8968923697106717,2.284772625672619e-05
-1.8531956513647723,2.28477262567263e-05
-1.809498933018873,4.569545251345238e-05
-1.7658022146729737,0.0001370863575403571
-1.7221054963270745,0.0002513249888239893
-1.6784087779811752,0.0003427158938508945
-1.634712059635276,0.0007996704189854165
-1.5910153412893766,0.001485102206687202
-1.5473186229434772,0.0028331180558340474
-1.503621904597578,0.006351667899369912
-1.4599251862516787,0.012931813061307088
-1.4162284679057795,0.026411971552775474
-1.37253174955988,0.04583253887099273
-1.3288350312139807,0.08513062803256177
-1.2851383128680816,0.13434463038955066
-1.2414415945221822,0.202682179623418
-1.1977448761762828,0.2876300258459274
-1.1540481578303836,0.3825394807163665
-1.1103514394844844,0.4946304257318677
-1.066654721138585,0.6155634408087169
-1.0229580027926857,0.7502050916396044
-0.9792612844467864,0.8663857796550615
-0.9355645661008871,0.9943558944189803
-0.8918678477549878,1.0967137080491192
-0.8481711294090886,1.202087421545135
-0.8044744110631892,1.2814832702872583
-0.7607776927172899,1.345251274269788
-0.7170809743713906,1.38838778144248
-0.6733842560254913,1.4149368393528032
-0.6296875376795921,1.3997887968445866
-0.5859908193336927,1.3619301144371914
-0.5422941009877934,1.3010409239630225
-0.4985973826418941,1.2081192212769105
-0.45490066429599485,1.0814742746358827
-0.4112039459500956,0.9408236717994709
-0.3675072276041962,0.7920849738681834
-0.3238105092582969,0.6323565196074139
-0.28011379091239763,0.4881873669274684
-0.23641707256649824,0.3492503435603165
-0.19272035422059908,0.2469839208352126
-0.1490236358746999,0.1577635498026943
-0.10532691752880052,0.09879356833408402
-0.061630199182901135,0.05922130645743428
-0.017933480837001747,0.03589377794931684
0.02576323750889742,0.022870573982983144
0.06945995585479658,0.015422215223290176
0.11315667420069597,0.01126392904456601
0.15685339254659536,0.008476506441245415
0.20055011089249475,0.006123190636802617
0.24424682923839391,0.005483454301614341
0.2879435475842931,0.004158286178724166
0.33164026593019247,0.0031301384971714873
0.37533698427609186,0.002673183972036964
0.41903370262199124,0.0020105999105919045
0.4627304209678904,0.0018278181005381136
0.5064271393137896,0.0013023203966333926
0.550123857659689,0.0011423863128363092
0.5938205760055884,0.0009596045027824997
0.6375172943514877,0.0009596045027824997
0.6812140126973869,0.0006397363351883397
0.7249107310432861,0.0005940408826748808
0.7686074493891855,0.00041125907262107135
0.8123041677350848,0.00043410679887779754
0.8560008860809842,0.000365563620107619
0.8996976044268834,0.0002056295363105378
0.9433943227727826,0.00011423863128363093
0.987091041118682,0.00011423863128363093
1.0307877594645813,0.0001827818100538095
1.0744844778104807,6.854317877017855e-05
1.11818119615638,0.0001142386312836321
1.161877914502279,0.00011423863128363093
1.2055746328481785,2.284772625672619e-05
1.2492713511940778,4.569545251345238e-05
1.2929680695399772,2.284772625672619e-05
1.3366647878858764,2.284772625672642e-05
1.3803615062317756,4.569545251345238e-05
1.424058224577675,2.284772625672619e-05
1.4677549429235743,2.284772625672619e-05
1.5114516612694737,0.0
1.5551483796153729,2.284772625672642e-05
1.598845097961272,0.0
1.6425418163071714,0.0
1.6862385346530708,0.0
1.7299352529989702,0.0
1.7736319713448696,2.284772625672619e-05
1.8173286896907688,0.0
1.8610254080366677,2.284772625672642e-05
1.904722126382567,0.0
1.9484188447284665,0.0
1.9921155630743659,0.0
2.0358122814202653,0.0
2.079508999766164,0.0
2.1232057181120636,2.2847726256725955e-05
