log_A_GasCooler,probability density
-2.5775572650840406,1.5570438820549083e-05
-2.513437642600006,3.1140877641098166e-05
-2.44931802011597,0.0
-2.3851983976319344,4.671131646164725e-05
-2.3210787751478996,1.5570438820549083e-05
-2.256959152663864,3.1140877641097956e-05
-2.1928395301798282,3.1140877641098166e-05
-2.1287199076957934,1.5570438820549083e-05
-2.0646002852117578,6.228175528219633e-05
-2.0004806627277225,9.342263292329418e-05
-1.9363610402436873,0.00021798614348768642
-1.8722414177596518,0.0002335565823082363
-1.8081217952756166,0.00034254965405207985
-1.744002172791581,0.0005138244810781181
-1.6798825503075459,0.0007006697469247063
-1.6157629278235104,0.0009030854515918469
-1.5516433053394751,0.0011677829115411813
-1.4875236828554397,0.0017906004643631387
-1.4234040603714044,0.0026781154771344335
-1.359284437887369,0.0035967713675468384
-1.2951648154033337,0.004577709013241431
-1.2310451929192983,0.006368309477604554
-1.166925570435263,0.009357833731149966
-1.1028059479512275,0.012658766761106407
-1.0386863254671923,0.01667593997680807
-0.974566702983157,0.02396290534482496
-0.9104470804991215,0.03160799080571453
-0.8463274580150861,0.04319239728820316
-0.7822078355310509,0.05256580145817371
-0.7180882130470155,0.0674200000929773
-0.6539685905629801,0.08573083614594297
-0.5898489680789447,0.1045554966799871
-0.5257293455949095,0.12456351056439267
-0.4616097231108742,0.14812158449988344
-0.39749010062683876,0.16904825427470024
-0.3333704781428033,0.1964522265988678
-0.26925085565876805,0.21910721508276673
-0.20513123317473259,0.24476729825902993
-0.14101161069069712,0.2653514183797975
-0.07689198820666188,0.2853594322642031
-0.012772365722626633,0.31246756625077904
0.05134725676140861,0.3378162406506329
0.11546687924544408,0.35709244391047024
0.17958650172947954,0.3798875663437566
0.24370612421351479,0.40096994050678003
0.30782574669755025,0.4252286841891926
0.3719453691815857,0.4450809936853956
0.43606499166562096,0.47549006070192795
0.5001846141496562,0.5038282593553273
0.5643042366336914,0.5356542363045296
0.6284238591177269,0.5669508183338293
0.6925434816017624,0.5913964072820954
0.7566631040857976,0.6248728507462759
0.8207827265698331,0.6501592433908431
0.8849023490538686,0.6690773265578147
0.9490219715379038,0.6732346337229014
1.013141594021939,0.6663992110806803
1.0772612165059743,0.6471541486984816
1.1413808389900097,0.6087885874446444
1.2055004614740452,0.5650200839200852
1.2696200839580805,0.5079699960815933
1.333739706442116,0.45432983434479857
1.3978593289261512,0.39547357560312896
1.4619789514101864,0.3346398711312386
1.526098573894222,0.2799564899934706
1.5902181963782573,0.22883873934561147
1.6543378188622926,0.183591044133093
1.7184574413463278,0.14849527503157767
1.782577063830363,0.11733882695165708
1.8466966863143988,0.09477726110068163
1.910816308798434,0.07068979224529333
1.9749359312824692,0.054356401922536476
2.039055553766505,0.04091911322040271
2.10317517625054,0.031140877641098384
2.1672947987345754,0.02220344575810284
2.231414421218611,0.016800503487372345
2.2955340437026464,0.013484000018595602
2.3596536661866816,0.010074073916895188
2.423773288670717,0.007645085460889653
2.487892911154752,0.00624374596704014
2.5520125336387878,0.0038770392663166954
2.616132156122823,0.003238651274674232
2.6802517786068583,0.0022888545066206997
2.7443714010908935,0.0017750300255426079
2.8084910235749287,0.0012456351056439182
2.8726106460589644,0.0008719445739507428
2.9367302685429997,0.0006850993081041645
3.000849891027035,0.0006072471140014101
3.0649695135110706,0.00042040184815482235
3.129089135995106,0.0002335565823082379
3.193208758479141,0.0002802678987698816
3.257328380963177,0.0002802678987698816
3.321448003447212,0.0001868452658465903
3.3855676259312473,7.785219410274489e-05
3.4496872484152825,9.342263292329516e-05
3.5138068708993178,3.1140877641097956e-05
3.5779264933833534,4.6711316461646934e-05
3.6420461158673887,7.785219410274597e-05
3.706165738351424,1.5570438820548978e-05
3.770285360835459,4.671131646164758e-05
