log_A_evap,probability density
-0.426895124392762,0.00014857515146932294
-0.4067362018685844,0.00014857515146932294
-0.3865772793444069,0.0004952505048977432
-0.36641835682022933,0.0005447755553875189
-0.34625943429605177,0.0011390761612648061
-0.3261005117718742,0.001634326666162557
-0.30594158924769665,0.0028724529284069105
-0.28578266672351915,0.0038134288877126224
-0.26562374419934154,0.006091581210242242
-0.245464821675164,0.010251685451383285
-0.22530589915098648,0.015402290702319835
-0.20514697662680892,0.02020622059982792
-0.18498805410263136,0.0301607557482726
-0.16482913157845383,0.03808476382663645
-0.14467020905427627,0.05903386018381099
-0.12451128653009871,0.07899245553119004
-0.10435236400592116,0.10613218319958637
-0.0841934414817436,0.1326776102621054
-0.06403451895756604,0.17061379893727252
-0.04387559643338848,0.21642447064031378
-0.02371667390921095,0.2598084148693568
-0.0035577513850334197,0.3035390344518268
0.01660117113914414,0.37346840574338813
0.0367600936633217,0.43423564269434123
0.056919016187499255,0.5007973105525979
0.07707793871167679,0.5751839363882406
0.09723686123585434,0.6440237565690236
0.1173957837600319,0.7091987230135702
0.13755470628420946,0.7886864290496539
0.15771362880838702,0.8711456381151327
0.17787255133256458,0.9495437930404403
0.19803147385674214,1.0302201002882883
0.21819039638091964,1.0815775776461842
0.2383493189050972,1.1583414059053283
0.25850824142927475,1.2486255729481937
0.2786671639534523,1.2991906494982461
0.29882608647762987,1.350151926452231
0.31898500900180743,1.4008160531032627
0.339143931525985,1.43384926177995
0.35930285405016255,1.4789170577256368
0.3794617765743401,1.5018966811529002
0.3996206990985176,1.5250744047821145
0.41977962162269516,1.5322060120526337
0.4399385441468727,1.5366632665967217
0.4600974666710503,1.5305716853864713
0.48025638919522784,1.5324041122546013
0.5004153117194053,1.5203695249855818
0.520574234243583,1.4958050999426495
0.5407331567677605,1.4637128672252921
0.560892079291938,1.4255785783481498
0.5810510018161156,1.3776383294740484
0.6012099243402931,1.3391573652435087
0.6213688468644706,1.2971105973776758
0.6415277693886482,1.2352538093159477
0.6616866919128258,1.1729512957998116
0.6818456144370033,1.113768860464544
0.7020045369611808,1.0506244210900695
0.7221634594853584,0.9730186669725934
0.7423223820095359,0.879168696294481
0.7624813045337134,0.8080011987406658
0.782640227057891,0.7277706169472317
0.8027991495820687,0.6618527747453422
0.8229580721062462,0.5787002149730177
0.8431169946304237,0.5177348778200993
0.8632759171546013,0.43443374289629916
0.8834348396787788,0.3682187503914751
0.9035937622029563,0.3021523330381123
0.9237526847271339,0.238611693259732
0.9439116072513115,0.19403914781893525
0.964070529775489,0.1493180272266708
0.9842294522996665,0.11019323733974756
1.004388374823844,0.07914103068265914
1.0245472973480216,0.055319481397078374
1.0447062198721992,0.03333035897961802
1.0648651423963766,0.02461395009341777
1.0850240649205545,0.01347081373321858
1.1051829874447319,0.008518308684241254
1.1253419099689093,0.0050020300994671925
1.145500832493087,0.0023772024235091606
1.1656597550172645,0.0011886012117545803
1.185818677541442,0.0008914509088159451
1.2059776000656197,0.0006438256563670644
1.226136522589797,0.0002971503029386451
1.2462954451139747,0.0001485751514693242
1.2664543676381523,9.905010097954837e-05
1.2866132901623297,9.905010097954837e-05
1.3067722126865076,9.905010097954837e-05
1.326931135210685,0.0
1.3470900577348623,0.0
1.3672489802590402,9.905010097954837e-05
1.3874079027832176,9.905010097954947e-05
1.407566825307395,0.0
1.4277257478315728,4.9525050489774184e-05
1.4478846703557502,0.0
1.4680435928799278,4.952505048977473e-05
1.4882025154041054,0.0
1.5083614379282828,0.0
1.5285203604524604,4.952505048977473e-05
1.548679282976638,0.0
1.5688382055008157,4.952505048977364e-05
