log_A_recup,cumulative probability
-2.2027693981319665,9.983706590843745e-07
-2.1590726797860675,9.983706590843745e-07
-2.115375961440168,9.983706590843745e-07
-2.0716792430942688,1.996741318168749e-06
-2.02798252474837,1.996741318168749e-06
-1.9842858064024702,1.996741318168749e-06
-1.940589088056571,1.996741318168749e-06
-1.8968923697106717,2.995111977253123e-06
-1.8531956513647723,3.993482636337497e-06
-1.809498933018873,5.990223954506246e-06
-1.7658022146729737,1.1980447909012491e-05
-1.7221054963270745,2.2962525158940607e-05
-1.6784087779811752,3.793808504520622e-05
-1.634712059635276,7.288105811315931e-05
-1.5910153412893766,0.00013777515095364363
-1.5473186229434772,0.00026157311268010605
-1.503621904597578,0.000539120155905562
-1.4599251862516787,0.001104197948947318
-1.4162284679057795,0.002258314430848855
-1.37253174955988,0.00426104597297211
-1.3288350312139807,0.007980975048720489
-1.2851383128680816,0.01385139452413661
-1.2414415945221822,0.022707940640874093
-1.1977448761762828,0.03527642886808728
-1.1540481578303836,0.05199214881313696
-1.1103514394844844,0.07360587521165458
-1.066654721138585,0.1005039775087058
-1.0229580027926857,0.13328547809974123
-0.9792612844467864,0.1711436934922207
-0.9355645661008871,0.21459378294623174
-0.8918678477549878,0.2625165729529408
-0.8481711294090886,0.31504384843934696
-0.8044744110631892,0.3710404619660713
-0.7607776927172899,0.42982352800230017
-0.7170809743713906,0.49049151784288036
-0.6733842560254913,0.5523196143893165
-0.6296875376795921,0.6134857911887798
-0.5859908193336927,0.6729976678061402
-0.5422941009877934,0.7298488866170408
-0.4985973826418941,0.7826397319574453
-0.45490066429599485,0.8298966087345451
-0.4112039459500956,0.8710075157343214
-0.3675072276041962,0.9056190297434585
-0.3238105092582969,0.9332509344749368
-0.28011379091239763,0.9545831203475926
-0.23641707256649824,0.9698442142423563
-0.19272035422059908,0.9806366010670584
-0.1490236358746999,0.9875303504680361
-0.10532691752880052,0.9918473051979169
-0.061630199182901135,0.9944350819462635
-0.017933480837001747,0.9960035222516851
0.02576323750889742,0.9970028912814286
0.06945995585479658,0.9976767914763106
0.11315667420069597,0.9981689882112392
0.15685339254659536,0.9985393837257596
0.20055011089249475,0.9988069470623941
0.24424682923839391,0.9990465560205744
0.2879435475842931,0.9992282594805277
0.33164026593019247,0.9993650362608223
0.37533698427609186,0.9994818456279352
0.41903370262199124,0.9995697022459346
0.4627304209678904,0.9996495718986613
0.5064271393137896,0.9997064790262291
0.550123857659689,0.9997563975591833
0.5938205760055884,0.9997983291268648
0.6375172943514877,0.9998402606945463
0.6812140126973869,0.9998682150730007
0.7249107310432861,0.9998941727101369
0.7686074493891855,0.9999121433820004
0.8123041677350848,0.999931112424523
0.8560008860809842,0.9999470863550683
0.8996976044268834,0.9999560716910001
0.9433943227727826,0.9999610635442955
0.987091041118682,0.9999660553975909
1.0307877594645813,0.9999740423628636
1.0744844778104807,0.9999770374748408
1.11818119615638,0.9999820293281362
1.161877914502279,0.9999870211814316
1.2055746328481785,0.9999880195520906
1.2492713511940778,0.9999900162934088
1.2929680695399772,0.9999910146640678
1.3366647878858764,0.9999920130347268
1.3803615062317756,0.999994009776045
1.424058224577675,0.9999950081467041
1.4677549429235743,0.9999960065173631
1.5114516612694737,0.9999960065173631
1.5551483796153729,0.9999970048880221
1.598845097961272,0.9999970048880221
1.6425418163071714,0.9999970048880221
1.6862385346530708,0.9999970048880221
1.7299352529989702,0.9999970048880221
1.7736319713448696,0.9999980032586812
1.8173286896907688,0.9999980032586812
1.8610254080366677,0.9999990016293402
1.904722126382567,0.9999990016293402
1.9484188447284665,0.9999990016293402
1.9921155630743659,0.9999990016293402
2.0358122814202653,0.9999990016293402
2.079508999766164,0.9999990016293402
2.1232057181120636,0.9999999999999992
