log_A_evap_LT,cumulative probability
-2.396566034508798,9.983736493252493e-07
-2.3350365804950592,9.983736493252493e-07
-2.273507126481321,9.983736493252493e-07
-2.211977672467582,1.9967472986504986e-06
-2.1504482184538434,2.995120947975748e-06
-2.0889187644401046,2.995120947975748e-06
-2.027389310426366,3.993494597300997e-06
-1.9658598564126275,7.986989194601994e-06
-1.9043304023988887,1.397723109055349e-05
-1.84280094838515,1.9967472986504987e-05
-1.7812714943714112,3.194795677840798e-05
-1.7197420403576729,6.0900792608840204e-05
-1.658212586343934,9.784061763387444e-05
-1.5966831323301953,0.00017771050957989437
-1.5351536783164565,0.00030949583129082726
-1.4736242243027182,0.0005620843645701152
-1.4120947702889795,0.0009324809884697827
-1.3505653162752407,0.0015954010916217481
-1.289035862261502,0.0026506820389585366
-1.2275064082477634,0.004356902605655388
-1.1659769542340248,0.006954670841199686
-1.104447500220286,0.010724529741051828
-1.0429180462065473,0.015958004410814783
-0.9813885921928087,0.022978567912869934
-0.9198591381790701,0.032569943561937605
-0.8583296841653314,0.04483995571214491
-0.7968002301515927,0.06061825286608115
-0.7352707761378541,0.07967720583170015
-0.6737413221241154,0.10269570869054309
-0.6122118681103768,0.12986345243598177
-0.5506824140966381,0.1618134059616884
-0.48915296008289944,0.19828798886613705
-0.4276235060691608,0.23913944184922759
-0.3660940520554221,0.2843627730427134
-0.30456459804168334,0.3336544768571996
-0.24303514402794457,0.38618490479009693
-0.18150569001420602,0.4412761611335135
-0.11997623600046747,0.49793286735907205
-0.0584467819867287,0.5540704192869815
0.0030826720270100694,0.6089889569890649
0.06461212604074862,0.6614225426779776
0.12614158005448717,0.710321885648279
0.18767103406822594,0.7546916073715918
0.2492004880819647,0.7943649794484785
0.31072994209570326,0.8292052246889817
0.3722593961094418,0.8591674162788818
0.4337888501231806,0.884258542833724
0.49531830413691935,0.9051495114458548
0.5568477581506581,0.9225871056049696
0.6183772121643967,0.9368059431186598
0.6799066661781352,0.9484759327056227
0.741436120191874,0.9581941018081547
0.8029655742056128,0.9661571300351729
0.8644950282193513,0.9725467213908545
0.9260244822330899,0.9778840269201473
0.9875539362468286,0.9820991604675985
1.0490833902605674,0.9856413901754044
1.110612844274306,0.9885616330996808
1.1721422982880445,0.9909008225600499
1.2336717523017833,0.9927408251957562
1.295201206315522,0.9942124279548616
1.3567306603292606,0.9953895104874161
1.4182601143429991,0.9963788987738974
1.479789568356738,0.9971546350994231
1.5413190223704767,0.9977456722998237
1.6028484763842152,0.9982019290575653
1.6643779303979538,0.9985882996598542
1.7259073844116926,0.9988768296445092
1.7874368384254313,0.9991194344412953
1.84896629243917,0.9993191091711603
1.9104957464529089,0.9994798473287017
1.9720252004666476,0.9995836781882315
2.033554654480386,0.9996765269376187
2.0950841084941243,0.9997384261038769
2.156613562507863,0.9997943350282391
2.218143016521602,0.9998362667215108
2.2796724705353406,0.9998732065465359
2.3412019245490794,0.999901161008717
2.402731378562818,0.9999251219763008
2.464260832576557,0.9999371024600927
2.5257902865902957,0.9999450894492873
2.587319740604034,0.9999530764384819
2.6488491946177724,0.9999630601749752
2.710378648631511,0.9999750406587671
2.77190810264525,0.9999820292743123
2.8334375566589887,0.9999830276479617
2.8949670106727274,0.9999890178898576
2.956496464686466,0.9999910146371562
3.018025918700205,0.9999920130108055
3.0795553727139433,0.9999930113844548
3.1410848267276816,0.9999930113844548
3.2026142807414204,0.9999950081317535
3.264143734755159,0.9999980032527014
3.325673188768898,0.9999990016263507
3.3872026427826367,0.9999990016263507
3.4487320967963755,0.9999990016263507
3.5102615508101143,0.9999990016263507
3.571791004823853,0.9999990016263507
3.6333204588375914,0.9999990016263507
3.6948499128513297,1.0
