name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.661870,0.664599  
phi,0.189604,0.193438  
Q,0.076054,0.077233  
f_single_phase,0.030117,0.033052  
T5_prime,0.012702,0.015051  
h_evaporation,0.003102,0.006764  
T1_prime,0.003710,0.005488  
eta_is,0.004177,0.005051  
beta,0.001038,0.004140  
h_single_phase,0.000500,0.002939  
T3_prime,0.000650,0.002849  
gamma,0.000170,0.002074  
f_evaporation,0.000243,0.001251  
h_condensation,0.000168,0.000874  
f_condensation,0.000337,0.000755  
