log_A_evap_MT,probability density
-1.0922783831630918,7.472511988754626e-05
-1.0655572307424113,7.472511988754564e-05
-1.0388360783217307,0.0
-1.01211492590105,0.00037362559943772975
-0.9853937734803695,0.00044835071932527575
-0.9586726210596889,0.0009340639985943283
-0.9319514686390082,0.001569227517638465
-0.9052303162183277,0.0020549407969075134
-0.8785091637976471,0.002764829435839212
-0.8517880113769665,0.005118670712296897
-0.825066858956286,0.007210974069148185
-0.7983457065356053,0.010685692143919115
-0.7716245541149247,0.014534035818127627
-0.7449034016942441,0.01883073021166166
-0.7181822492735634,0.02484610236260903
-0.6914610968528829,0.03228125179141985
-0.6647399444322023,0.04337793209472061
-0.6380187920115217,0.05088780664341879
-0.6112976395908412,0.06258228790581974
-0.5845764871701605,0.07876027636147377
-0.5578553347494799,0.09856243313167311
-0.5311341823287994,0.10984592623469254
-0.5044130299081186,0.12628545260995266
-0.47769187748743813,0.14567662122077144
-0.45097072506675756,0.16925239654529156
-0.42424957264607693,0.19062378083312972
-0.39752842022539636,0.21991602782904868
-0.3708072678047158,0.24300608987429942
-0.34408611538403516,0.26392912344281233
-0.31736496296335454,0.2945664225967061
-0.29064381054267396,0.32012241359824817
-0.2639226581219934,0.3538981677874176
-0.23720150570131276,0.37762339335171347
-0.2104803532806322,0.4074013536269022
-0.18375920085995162,0.43561008638444915
-0.157038048439271,0.46228695418430304
-0.13031689601859037,0.48302317495309705
-0.10359574359790974,0.5176956305809184
-0.07687459117722917,0.5407483300662286
-0.05015343875654865,0.5676120106658014
-0.023432286335868024,0.5867042787970647
0.003288866084812603,0.6205921206660717
0.03001001850549312,0.6397591139172273
0.056731170926173746,0.6609436854053412
0.08345232334685437,0.6792139772178517
0.110173475767535,0.6999875605465838
0.13689462818821563,0.725618276668018
0.16361578060889614,0.7332776014564915
0.19033693302957677,0.7596555687767891
0.2170580854502574,0.7780379482691316
0.24377923787093791,0.7952994509631548
0.27050039029161854,0.8069939322255492
0.29722154271229917,0.8334466246657471
0.3239426951329797,0.8402092480155702
0.3506638475536603,0.8450290182483099
0.37738499997434094,0.8665498527759302
0.40410615239502146,0.8787300473176003
0.4308273048157021,0.8808223506744443
0.4575484572363827,0.886688272585624
0.48426960965706334,0.8906860664996002
0.510990762077744,0.8893410143416318
0.5377119144984245,0.8878091493839372
0.5644330669191051,0.8871366233049418
0.5911542193397857,0.8779827961187248
0.6178753717604663,0.8578817388689749
0.6445965241811469,0.8424883641721332
0.6713176766018275,0.8153257830930173
0.698038829022508,0.796270877521693
0.7247599814431887,0.7669412679658247
0.7514811338638693,0.7344358408147484
0.7782022862845499,0.7004732738258528
0.8049234387052305,0.6683414722742138
0.831644591125911,0.6303811113713402
0.8583657435465917,0.589768008712454
0.8850868959672723,0.5488560055740273
0.9118080483879529,0.5110824574708683
0.9385292008086334,0.46912430265401933
0.965250353229314,0.4269793350374358
0.9919715056499947,0.3889442490146751
1.0186926580706752,0.34579049227962316
1.0454138104913557,0.29949828050928295
1.0721349629120365,0.2673664789576383
1.098856115332717,0.23433797596734704
1.1255772677533975,0.1933138851490806
1.1522984201740782,0.16603921639012642
1.1790195725947588,0.13147884844213875
1.2057407250154393,0.11201295471143093
1.23246187743612,0.08473828595247676
1.2591830298568005,0.06523502966182843
1.285904182277481,0.04789880184791676
1.3126253346981618,0.034672455627821175
1.3393464871188425,0.022716436445813875
1.366067639539523,0.015356012136890886
1.3927887919602036,0.00967690302543716
1.4195099443808843,0.004894495352634239
1.4462310968015648,0.002802191995783008
1.4729522492222453,0.0018307654372448684
1.499673401642926,0.0005604383991565923
1.5263945540636066,0.00018681279971886723
1.553115706484287,0.0002241753596626388
