name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.362913,0.387071  
beta,0.146285,0.235511  
phi,0.138553,0.169000  
h_evaporation,0.059565,0.116795  
T1_prime,0.012302,0.074004  
Q,0.054655,0.065718  
f_single_phase,0.009964,0.036907  
T5_prime,0.019102,0.035838  
h_single_phase,0.003232,0.027153  
f_evaporation,0.000688,0.025235  
T3_prime,0.001808,0.023615  
eta_is,0.001123,0.018838  
gamma,0.000523,0.015909  
h_condensation,0.000053,0.013356  
f_condensation,0.000741,0.013130  
