name,First-order Sobol indices,Total-order Sobol indices  
h_condensation,0.293525,0.293525  
Q,0.246117,0.246117  
beta,0.198578,0.198578  
h_single_phase,0.172977,0.172977  
eta_is,0.042826,0.042826  
gamma,0.011375,0.011375  
alpha,0.008338,0.008338  
T1_prime,0.007012,0.007012  
f_condensation,0.006307,0.006307  
f_single_phase,0.005855,0.005855  
h_evaporation,0.003087,0.003087  
phi,0.003041,0.003041  
T5_prime,0.000704,0.000704  
f_evaporation,0.000162,0.000162  
T3_prime,0.000096,0.000096  
