name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.318150,0.318150  
phi,0.214023,0.214023  
beta,0.204381,0.204381  
gamma,0.068706,0.068706  
f_evaporation,0.047075,0.047075  
T1_prime,0.043259,0.043259  
f_condensation,0.034195,0.034195  
h_evaporation,0.033161,0.033161  
Q,0.026928,0.026928  
T3_prime,0.004375,0.004375  
f_single_phase,0.003408,0.003408  
eta_is,0.001482,0.001482  
h_condensation,0.000452,0.000452  
h_single_phase,0.000380,0.000380  
T5_prime,0.000023,0.000023  
