name,First-order Sobol indices,Total-order Sobol indices  
h_condensation,0.424126,0.489179  
beta,0.187613,0.229992  
Q,0.160631,0.162854  
h_single_phase,0.087188,0.115118  
phi,0.012398,0.094061  
f_single_phase,0.005765,0.022451  
T5_prime,0.002170,0.005618  
alpha,0.000412,0.003473  
T3_prime,0.000196,0.002977  
T1_prime,0.000271,0.002886  
f_evaporation,0.000051,0.002751  
gamma,0.000361,0.002710  
eta_is,0.000208,0.002515  
f_condensation,0.000028,0.002185  
h_evaporation,0.000083,0.002079  
