name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.623728,0.623728  
phi,0.175643,0.175643  
Q,0.118915,0.118915  
f_single_phase,0.047468,0.047468  
T5_prime,0.009833,0.009833  
eta_is,0.009155,0.009155  
T1_prime,0.008398,0.008398  
f_condensation,0.002393,0.002393  
beta,0.002269,0.002269  
gamma,0.000884,0.000884  
h_single_phase,0.000591,0.000591  
h_evaporation,0.000331,0.000331  
T3_prime,0.000303,0.000303  
f_evaporation,0.000077,0.000077  
h_condensation,0.000012,0.000012  
