log_A_evap_LT,probability density
-2.396566034508798,1.6225946830315196e-05
-2.3350365804950592,0.0
-2.273507126481321,0.0
-2.211977672467582,1.6225946830315196e-05
-2.1504482184538434,1.6225946830315196e-05
-2.0889187644401046,0.0
-2.027389310426366,1.6225946830315254e-05
-1.9658598564126275,6.490378732126101e-05
-1.9043304023988887,9.735568098189118e-05
-1.84280094838515,9.735568098189118e-05
-1.7812714943714112,0.00019471136196378303
-1.7197420403576729,0.00047055245807914233
-1.658212586343934,0.0006003600327216623
-1.5966831323301953,0.0012980757464252156
-1.5351536783164565,0.0021418249816016134
-1.4736242243027182,0.0041051645480697585
-1.4120947702889795,0.006019826274046938
-1.3505653162752407,0.010774028695329289
-1.289035862261502,0.01715082579964322
-1.2275064082477634,0.02773014313300867
-1.1659769542340248,0.04221991365248029
-1.104447500220286,0.06126917523127017
-1.0429180462065473,0.08505641328451256
-0.9813885921928087,0.11410085811077646
-0.9198591381790701,0.15588267119883864
-0.8583296841653314,0.19941688654457373
-0.7968002301515927,0.25643486370630225
-0.7352707761378541,0.30975332499071706
-0.6737413221241154,0.3741054301197485
-0.6122118681103768,0.4415404651465371
-0.5506824140966381,0.5192627504637487
-0.48915296008289944,0.5927987414987353
-0.4276235060691608,0.6639332924028395
-0.3660940520554221,0.7349867135727874
-0.30456459804168334,0.8011074469063219
-0.24303514402794457,0.8537444184238644
-0.18150569001420602,0.8953639720436292
-0.11997623600046747,0.9208062566735571
-0.0584467819867287,0.9123687643217931
0.0030826720270100694,0.8925568832419782
0.06461212604074862,0.8521705015813299
0.12614158005448717,0.794730649802008
0.18767103406822594,0.7211135290328679
0.2492004880819647,0.6447866751430652
0.31072994209570326,0.5662368665375135
0.3722593961094418,0.48695689032458933
0.4337888501231806,0.4077904957394815
0.49531830413691935,0.33952793742434545
0.5568477581506581,0.2834023873382852
0.6183772121643967,0.23108993475735065
0.6799066661781352,0.18966509249955432
0.741436120191874,0.15794336644628812
0.8029655742056128,0.129418151918594
0.8644950282193513,0.103846059714018
0.9260244822330899,0.08674391175486502
0.9875539362468286,0.06850594751759076
1.0490833902605674,0.05756965935395831
1.110612844274306,0.047460894478672286
1.1721422982880445,0.0380173934234285
1.2336717523017833,0.029904420008270906
1.295201206315522,0.0239170456278846
1.3567306603292606,0.019130391312941752
1.4182601143429991,0.01607991330884236
1.479789568356738,0.012607560687154906
1.5413190223704767,0.009605760523546596
1.6028484763842152,0.007415257701454097
1.6643779303979538,0.006279441423331981
1.7259073844116926,0.004689298633961091
1.7874368384254313,0.003942905079766593
1.84896629243917,0.003245189366063039
1.9104957464529089,0.002612377439680746
1.9720252004666476,0.0016874984703527801
2.033554654480386,0.001509013055219335
2.0950841084941243,0.001006008703479542
2.156613562507863,0.0009086530224976509
2.218143016521602,0.0006814897668732383
2.2796724705353406,0.0006003600327216623
2.3412019245490794,0.00045432651124882546
2.402731378562818,0.0003894227239275647
2.464260832576557,0.00019471136196378235
2.5257902865902957,0.00012980757464252157
2.587319740604034,0.00012980757464252344
2.6488491946177724,0.00016225946830315195
2.710378648631511,0.00019471136196378235
2.77190810264525,0.00011358162781220637
2.8334375566589887,1.6225946830315196e-05
2.8949670106727274,9.735568098189118e-05
2.956496464686466,3.245189366063039e-05
3.018025918700205,1.6225946830315196e-05
3.0795553727139433,1.622594683031543e-05
3.1410848267276816,0.0
3.2026142807414204,3.245189366063039e-05
3.264143734755159,4.867784049094559e-05
3.325673188768898,1.6225946830315196e-05
3.3872026427826367,0.0
3.4487320967963755,0.0
3.5102615508101143,0.0
3.571791004823853,0.0
3.6333204588375914,0.0
3.6948499128513297,1.6225946830315196e-05
