log_A_recup_LT,probability density
-3.180753929493528,6.462748646621391e-05
-3.134409685874849,4.308499097747636e-05
-3.0880654422561697,0.00010771247744368985
-3.0417211986374904,0.00025850994586485815
-2.9953769550188114,0.0004093074142860215
-2.9490327114001325,0.0007109023511283598
-2.902688467781453,0.001637229657144086
-2.8563442241627737,0.0025204719721823666
-2.8099999805440947,0.0030805768548895296
-2.7636557369254158,0.0056872188090268784
-2.7173114933067364,0.008616998195495188
-2.670967249688057,0.012386934906024452
-2.624623006069378,0.015467511760913863
-2.578278762450699,0.022511907785731394
-2.5319345188320197,0.03121507596318132
-2.4855902752133403,0.040198296581985433
-2.4392460315946614,0.051594276695527436
-2.3929017879759824,0.0640458390880186
-2.346557544357303,0.08289552264066372
-2.3002133007386236,0.10245610854443878
-2.2538690571199447,0.12109036714219613
-2.2075248135012653,0.1492679512414654
-2.1611805698825863,0.17397719356704952
-2.114836326263907,0.20911300370918148
-2.068492082645228,0.24065121710469187
-2.0221478390265486,0.27501149740923025
-1.9758035954078697,0.31131060230775387
-1.9294593517891903,0.353576978456658
-1.8831151081705113,0.39041464574240015
-1.836770864551832,0.4347060164672456
-1.790426620933153,0.47988062950712934
-1.7440823773144736,0.5199712136116709
-1.6977381336957946,0.5588338754733544
-1.6513938900771152,0.6031252461981998
-1.6050496464584363,0.636903879124541
-1.558705402839757,0.6879595934328504
-1.512361159221078,0.7168049948922707
-1.4660169156023986,0.7536426621780128
-1.4196726719837196,0.7979555753983469
-1.3733284283650402,0.8133800021682834
-1.3269841847463613,0.8409974813848456
-1.2806399411276819,0.8684641631329867
-1.234295697509003,0.8732681396269754
-1.1879514538903235,0.873440479590881
-1.1416072102716444,0.8770380763375087
-1.0952629666529652,0.8505408068863526
-1.048918723034286,0.8209198755893456
-1.0025744794156068,0.7953058484532284
-0.9562302357969277,0.7509929352329016
-0.9098859921782485,0.6922465500351059
-0.8635417485595693,0.6408030708080058
-0.8171975049408902,0.5659859839756127
-0.770853261322211,0.505020721742489
-0.7245090177035318,0.432939531837167
-0.6781647740848527,0.3686998102897539
-0.6318205304661735,0.30333987897691933
-0.5854762868474943,0.24097435453702523
-0.5391320432288151,0.18401599646479974
-0.49278779961013597,0.13804431109183424
-0.4464435559914568,0.09961249913992437
-0.4000993123727776,0.0668679059970433
-0.35375506875409846,0.0424387161128138
-0.3074108251354193,0.027725191694006036
-0.2610665815167401,0.016415381562418334
-0.21472233789806072,0.009521783006022183
-0.16837809427938155,0.0059888137458692136
-0.12203385066070238,0.003619139242107979
-0.07568960704202321,0.0019819095849639124
-0.02934536342334404,0.001572602170677872
0.01699888019533513,0.0010124972879706944
0.0633431238140143,0.0010771247744368986
0.10968736743269347,0.0009478698015044797
0.15603161105137264,0.0005601048827071873
0.2023758546700518,0.00025850994586485815
0.24872009828873098,0.00036622242330854553
0.29506434190741015,0.00010771247744369088
0.3414085855260893,0.00017233996390990378
0.3877528291447685,0.00015079746842116724
0.43409707276344767,8.616998195495189e-05
0.48044131638212684,8.616998195495272e-05
0.526785560000806,0.0
0.5731298036194852,0.00015079746842116724
0.6194740472381643,2.1542495488737972e-05
0.6658182908568435,6.462748646621454e-05
0.7121625344755227,6.462748646621391e-05
0.7585067780942019,6.462748646621454e-05
0.804851021712881,8.616998195495189e-05
0.8511952653315604,2.1542495488737972e-05
0.8975395089502394,2.1542495488738382e-05
0.9438837525689183,0.0
0.9902279961875977,0.0
1.036572239806277,4.3084990977475944e-05
1.082916483424956,0.0
1.129260727043635,0.0
1.1756049706623144,0.0
1.2219492142809938,0.0
1.2682934578996732,0.0
1.3146377015183521,0.0
1.360981945137031,0.0
1.4073261887557105,2.1542495488737972e-05
