name,First-order Sobol indices,Total-order Sobol indices  
h_condensation,0.446806,0.488598  
beta,0.198446,0.220125  
Q,0.146946,0.149013  
h_single_phase,0.090000,0.101366  
phi,0.012101,0.066756  
f_single_phase,0.005918,0.019028  
T5_prime,0.008017,0.013024  
eta_is,0.001151,0.005484  
gamma,0.001643,0.004936  
T3_prime,0.001267,0.004922  
h_evaporation,0.000363,0.004049  
f_evaporation,0.000006,0.003612  
f_condensation,0.000107,0.002182  
T1_prime,0.000297,0.002098  
alpha,0.000106,0.001634  
