name,First-order Sobol indices,Total-order Sobol indices  
beta,0.242051,0.311513  
alpha,0.204961,0.225091  
h_evaporation,0.121703,0.163026  
phi,0.121531,0.160562  
T1_prime,0.032768,0.083630  
Q,0.051162,0.066332  
f_single_phase,0.003817,0.026859  
T3_prime,0.000228,0.026357  
h_single_phase,0.010520,0.024068  
gamma,0.000167,0.021552  
h_condensation,0.001127,0.021549  
T5_prime,0.007148,0.020683  
f_evaporation,0.000428,0.017106  
f_condensation,0.001035,0.016216  
eta_is,0.004172,0.012635  
