log_A_evap_LT,cumulative probability
-2.943286287097936,9.997280739638818e-07
-2.875178059728126,9.997280739638818e-07
-2.807069832358316,9.997280739638818e-07
-2.7389616049885053,9.997280739638818e-07
-2.6708533776186947,9.997280739638818e-07
-2.602745150248885,9.997280739638818e-07
-2.5346369228790744,9.997280739638818e-07
-2.466528695509264,9.997280739638818e-07
-2.3984204681394536,1.9994561479277636e-06
-2.3303122407696435,1.9994561479277636e-06
-2.262204013399833,2.9991842218916456e-06
-2.1940957860300223,3.998912295855527e-06
-2.1259875586602126,4.998640369819409e-06
-2.057879331290402,7.997824591711054e-06
-1.9897711039205916,1.09970088136027e-05
-1.9216628765507813,1.4995921109458226e-05
-1.8535546491809711,2.0994289553241517e-05
-1.7854464218111605,3.099157029288034e-05
-1.7173381944413504,5.398531599404962e-05
-1.6492299670715402,0.00010397171969224372
-1.5811217397017296,0.00016695458835196827
-1.5130135123319195,0.00026192875537853704
-1.444905284962109,0.00044088008061807184
-1.3767970575922988,0.00071080666058832
-1.3086888302224884,0.0011806788553513445
-1.240580602852678,0.00198046131452245
-1.1724723754828679,0.003276108898379641
-1.1043641481130573,0.005340547371115056
-1.0362559207432471,0.008505686453284707
-0.9681476933734368,0.013288385559127917
-0.9000394660036264,0.02009853319896988
-0.831931238633816,0.029442991506310284
-0.7638230112640059,0.041839619623462415
-0.6957147838941955,0.05799122638642289
-0.6276065565243851,0.07805976774317386
-0.5594983291545748,0.10270106531023562
-0.4913901017847644,0.13178815362221477
-0.42328187441495424,0.16585588719868197
-0.35517364704514387,0.20442639602028248
-0.2870654196753335,0.24759565398211686
-0.21895719230552313,0.2950497464689604
-0.15084896493571276,0.3454980245373258
-0.08274073756590261,0.39841962986067786
-0.014632510196092241,0.453193731305085
0.05347571717371813,0.507998824319785
0.1215839445435285,0.5614602828030776
0.18969217191333887,0.6126253659004751
0.25780039928314924,0.6600724602908009
0.3259086266529596,0.7038375561847178
0.39401685402276976,0.7432358398515604
0.46212508139258013,0.7781163523521603
0.5302333087623905,0.8091849017067358
0.5983415361322009,0.8362205480109411
0.6664497635020112,0.8595262088711871
0.7345579908718214,0.8801136090983254
0.8026662182416318,0.8981067149735273
0.8707744456114421,0.9137794519890591
0.9388826729812525,0.9273257673912697
1.0069909003510626,0.9389566038037656
1.0750991277208728,0.9488998992274104
1.1432073550906834,0.9574545723563193
1.211315582460494,0.9648985475950543
1.2794238098303041,0.9711138570308878
1.3475320372001143,0.9763524321384586
1.4156402645699249,0.9806682582337607
1.483748491939735,0.9844322344322347
1.5518567193095452,0.9874384167506441
1.6199649466793558,0.9899537325847373
1.6880731740491663,0.9919421917238515
1.7561814014189765,0.9937027128621019
1.8242896287887866,0.994972367516036
1.8923978561585972,0.9960630708447306
1.9605060835284074,0.9969668250235939
2.0286143108982175,0.9976336436489278
2.096722538268028,0.9981634995281287
2.1648307656378383,0.9986193755298562
2.2329389930076484,0.9989262920485632
2.301047220377459,0.9991632276020926
2.3691554477472696,0.9993521762080718
2.4372636751170798,0.9995021354191664
2.50537190248689,0.9996141049634504
2.5734801298567005,0.9997100788585509
2.6415883572265106,0.9997760609114326
2.709696584596321,0.9998350448677964
2.7778048119661314,0.9998770334469029
2.8459130393359415,0.9999100244733438
2.9140212667057517,0.9999230209383053
2.9821294940755623,0.9999420157717106
3.050237721445373,0.9999510133243763
3.118345948815183,0.9999650095174119
3.186454176184993,0.9999760065262254
3.2545624035548038,0.9999800054385213
3.322670630924614,0.9999850040788911
3.390778858294424,0.999989002991187
3.4588870856642346,0.999991002447335
3.5269953130340452,0.9999940016315568
3.5951035404038554,0.9999970008157787
3.6632117677736655,0.9999980005438527
3.731319995143476,0.9999990002719267
3.7994282225132867,1.0000000000000007
