log_A_recup_MT,probability density
-1.7607624370642172,1.8590369377257283e-05
-1.7070587887490989,5.577110813177208e-05
-1.6533551404339804,0.00018590369377257282
-1.5996514921188618,0.00020449406314983012
-1.5459478438037433,0.000985289576994636
-1.4922441954886247,0.0031231820553792363
-1.4385405471735064,0.008179762525993204
-1.384836898858388,0.01840446568348471
-1.3311332505432696,0.03918849864725851
-1.277429602228151,0.07469610415781976
-1.2237259539130325,0.1331256351105394
-1.170022305597914,0.20596270233063343
-1.1163186572827954,0.29686960858542155
-1.062615008967677,0.4069245952987864
-1.0089113606525586,0.5323909982258941
-0.9552077123374401,0.670517442698917
-0.9015040640223217,0.8222148568173367
-0.8478004157072032,0.9712724384841841
-0.7940967673920847,1.1088225815065107
-0.7403931190769663,1.2137094455330013
-0.6866894707618478,1.3059176776441925
-0.6329858224467293,1.3568181089991227
-0.5792821741316108,1.3754828398538892
-0.5255785258164923,1.3379860648199666
-0.4718748775013739,1.2630111051214827
-0.4181712291862554,1.1532535643181554
-0.36446758087113695,1.0110930096902733
-0.31076393255601853,0.8474419880622732
-0.2570602842409,0.6814857606314975
-0.20335663592578146,0.5151019547050448
-0.14965298761066304,0.3703387483643439
-0.09594933929554461,0.24888786522272052
-0.042245690980426076,0.17000892795501787
0.011457957334692348,0.11449808499452808
0.06516160564981077,0.07692694848309065
0.11886525396492931,0.0569237110331618
0.17256890228004784,0.041995644423224204
0.22627255059516638,0.03340689377093134
0.2799761989102849,0.02742079483145449
0.3336798472254032,0.020635310008755754
0.38738349554052154,0.018590369377257283
0.4410871438556401,0.014240222942979079
0.4947907921707586,0.011488848275145
0.5484944404858771,0.009685582445551046
0.6021980888009957,0.00821694326474772
0.6559017371161142,0.007287424795884855
0.7096053854312325,0.006097641155740439
0.7633090337463508,0.004610411605559806
0.8170126820614694,0.004145652371128374
0.8707163303765879,0.0030860013166247088
0.9244199786917064,0.0027885554065885925
0.978123627006825,0.0024167480190434468
1.0318272753219435,0.002044940631498301
1.0855309236370618,0.0018218561989712288
1.1392345719521801,0.0012269643788989806
1.1929382202672987,0.0010968317932581798
1.2466418685824172,0.0008923377301083496
1.3003455168975357,0.0007622051444675487
1.3540491652126543,0.0007064340363357768
1.4077528135277728,0.0005577110813177184
1.4614564618428911,0.0004647592344314359
1.5151601101580094,0.0005577110813177184
1.568863758473128,0.000260265171281602
1.6225674067882465,0.00029744591003611653
1.676271055103365,0.00037180738754514565
1.7299747034184836,0.0002416748019043447
1.7836783517336021,7.436147750902913e-05
1.8373820000487204,0.00018590369377257437
1.8910856483638387,0.00016731332439531556
1.9447892966789573,0.0001115422162635437
1.998492944994076,0.00014872295501805764
2.0521965933091946,0.00014872295501805826
2.105900241624313,1.8590369377257283e-05
2.1596038899394316,0.0001115422162635437
2.21330753825455,1.8590369377257283e-05
2.2670111865696687,3.7180738754514566e-05
2.3207148348847872,0.0
2.374418483199906,7.436147750902913e-05
2.428122131515024,1.859036937725759e-05
2.481825779830142,0.0
2.5355294281452605,3.7180738754514566e-05
2.589233076460379,1.8590369377257283e-05
2.6429367247754976,0.0
2.696640373090616,3.7180738754514566e-05
2.7503440214057346,0.0
2.804047669720853,0.0
2.8577513180359717,0.0
2.9114549663510902,1.8590369377257283e-05
2.965158614666209,1.8590369377257283e-05
3.0188622629813273,0.0
3.072565911296446,0.0
3.1262695596115644,0.0
3.1799732079266825,0.0
3.2336768562418006,0.0
3.287380504556919,0.0
3.3410841528720376,0.0
3.394787801187156,0.0
3.4484914495022747,0.0
3.5021950978173932,0.0
3.555898746132512,1.8590369377257283e-05
