name,First-order Sobol indices,Total-order Sobol indices  
phi,0.294908,0.357019  
beta,0.115107,0.268071  
Q,0.194688,0.203205  
h_single_phase,0.054258,0.151752  
f_single_phase,0.051610,0.070286  
T3_prime,0.007042,0.067068  
f_evaporation,0.004649,0.028090  
T5_prime,0.000082,0.026245  
h_condensation,0.003487,0.023695  
f_condensation,0.000517,0.017416  
eta_is,0.001160,0.015407  
T1_prime,0.001986,0.012120  
h_evaporation,0.000335,0.010943  
gamma,0.000420,0.009302  
alpha,0.001136,0.007994  
