name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.629549,0.629549  
phi,0.195945,0.195945  
Q,0.104621,0.104621  
f_single_phase,0.046543,0.046543  
T5_prime,0.005896,0.005896  
eta_is,0.005275,0.005275  
f_condensation,0.004785,0.004785  
T1_prime,0.004411,0.004411  
T3_prime,0.001548,0.001548  
h_single_phase,0.000618,0.000618  
beta,0.000478,0.000478  
gamma,0.000196,0.000196  
f_evaporation,0.000134,0.000134  
h_evaporation,0.000000,0.000000  
h_condensation,0.000000,0.000000  
