name,First-order Sobol indices,Total-order Sobol indices  
beta,0.250155,0.340248  
alpha,0.234125,0.253490  
phi,0.117780,0.180159  
h_evaporation,0.117802,0.167831  
T1_prime,0.023743,0.083587  
Q,0.035873,0.051745  
f_single_phase,0.002455,0.033947  
f_evaporation,0.001624,0.027814  
h_single_phase,0.004488,0.026927  
T3_prime,0.000304,0.024015  
T5_prime,0.006894,0.023281  
eta_is,0.001609,0.017756  
gamma,0.000685,0.017173  
f_condensation,0.000701,0.017169  
h_condensation,0.000025,0.012963  
