log_A_cond,cumulative probability
0.5276783309178323,1.9967413181687485e-06
0.5669230968458359,2.9951119772531227e-06
0.6061678627738394,1.2978818568096866e-05
0.6454126287018429,3.8936455704290595e-05
0.6846573946298464,0.00014476374556723426
0.72390216055785,0.0003644052905657966
0.7631469264858534,0.000912510782403118
0.8023916924138569,0.0019518146385099518
0.8416364583418604,0.004025430497428197
0.8808812242698639,0.007768322098335516
0.9201259901978674,0.013871361937318296
0.959370756125871,0.02312226446439411
0.9986155220538745,0.03640758282482988
1.0378602879818781,0.05409571579182774
1.0771050539098814,0.07716706335260855
1.1163498198378852,0.10583727356953453
1.1555945857658885,0.1404547778026261
1.1948393516938922,0.18111242452317816
1.2340841176218955,0.2280717868438708
1.2733288835498993,0.2804662790326188
1.3125736494779026,0.33747524040765475
1.3518184154059063,0.39750327465576185
1.3910631813339096,0.4601400514360564
1.4303079472619131,0.5234117919555287
1.4695527131899166,0.5870189850164532
1.5087974791179202,0.6489549055940705
1.5480422450459237,0.7074614229577331
1.5872870109739272,0.7615172039231974
1.6265317769019307,0.8103724721254912
1.6657765428299343,0.8535979281812083
1.7050213087579378,0.8904787386984442
1.7442660746859413,0.9212924507204243
1.7835108406139448,0.9458583591578544
1.8227556065419483,0.9645298872240504
1.8620003724699519,0.9775915705568513
1.9012451383979554,0.9862464458004537
1.940489904325959,0.9913031931887161
1.9797346702539624,0.9940896456982206
2.018979436181966,0.9956590843743012
2.0582242021099697,0.9965865707165905
2.097468968037973,0.9971915833359957
2.1367137339659763,0.9976518322098336
2.17595849989398,0.9980431935081946
2.215203265821984,0.9983456998178971
2.254448031749987,0.9986062745599181
2.2936927976779904,0.9988139356570077
2.332937563605994,0.9989806635570748
2.372182329533998,0.9991104517427558
2.4114270954620007,0.9992622040829366
2.4506718613900045,0.9993690297434586
2.4899166273180082,0.9994728602920034
2.529161393246012,0.9995707006165937
2.5684061591740153,0.9996316012267978
2.6076509251020186,0.9996954969489792
2.6468956910300223,0.9997394252579789
2.686140456958026,0.9997733698603878
2.7253852228860294,0.9998053177214785
2.7646299888140327,0.9998432558065237
2.8038747547420364,0.9998602281077281
2.84311952067004,0.9998831906328871
2.8823642865980434,0.9998951710807962
2.9216090525260467,0.9999101466406825
2.9608538184540505,0.9999201303472733
3.0000985843820542,0.9999311124245233
3.039343350310057,0.9999410961311141
3.078588116238061,0.9999520782083641
3.1178328821660646,0.9999580684323186
3.157077648094068,0.9999640586562731
3.196322414022071,0.9999700488802277
3.235567179950075,0.999974042362864
3.2748119458780787,0.9999780358455004
3.314056711806082,0.9999790342161594
3.3533014777340853,0.9999840260694548
3.392546243662089,0.9999850244401138
3.4317910095900928,0.9999890179227502
3.471035775518096,0.9999900162934092
3.5102805414460994,0.9999920130347274
3.549525307374103,0.9999940097760456
3.588770073302107,0.9999940097760456
3.62801483923011,0.9999950081467046
3.6672596051581134,0.9999960065173636
3.706504371086117,0.9999980032586818
3.745749137014121,0.9999980032586818
3.7849939029421242,0.9999980032586818
3.8242386688701275,0.9999980032586818
3.8634834347981313,0.9999980032586818
3.902728200726135,0.9999990016293409
3.9419729666541383,0.9999990016293409
3.9812177325821416,0.9999990016293409
4.020462498510145,0.9999990016293409
4.059707264438149,0.9999990016293409
4.098952030366152,0.9999990016293409
4.138196796294156,0.9999990016293409
4.1774415622221595,0.9999990016293409
4.216686328150162,0.9999990016293409
4.255931094078166,0.9999990016293409
4.29517586000617,0.9999990016293409
4.3344206259341735,0.9999990016293409
4.373665391862176,0.9999990016293409
4.41291015779018,0.9999999999999999
