name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.554332,0.554332  
phi,0.195794,0.195794  
Q,0.139057,0.139057  
f_single_phase,0.064997,0.064997  
T1_prime,0.015983,0.015983  
eta_is,0.006317,0.006317  
h_single_phase,0.005867,0.005867  
T5_prime,0.004948,0.004948  
beta,0.004519,0.004519  
T3_prime,0.003603,0.003603  
f_condensation,0.003129,0.003129  
f_evaporation,0.001244,0.001244  
gamma,0.000098,0.000098  
h_condensation,0.000064,0.000064  
h_evaporation,0.000048,0.000048  
