name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.565183,0.571708  
phi,0.172255,0.198320  
Q,0.096497,0.099227  
beta,0.021967,0.068612  
h_single_phase,0.013046,0.045623  
f_single_phase,0.034889,0.039647  
T1_prime,0.017144,0.024457  
T5_prime,0.004453,0.007744  
T3_prime,0.005394,0.007435  
eta_is,0.003586,0.005229  
f_evaporation,0.000036,0.002945  
h_condensation,0.000021,0.002555  
h_evaporation,0.000074,0.002089  
gamma,0.000121,0.002027  
f_condensation,0.000033,0.002025  
