h_single_phase,h_evaporation,h_condensation,f_single_phase,f_evaporation,f_condensation,beta,phi,gamma,eta_is,Q,alpha,T1_prime,T3_prime,T5_prime,log_A_evap_LT,log_A_evap_MT,log_A_cond,log_A_recup_LT,log_A_recup_MT
0.6877431844718764,1.0070277922674766,0.9000368895574233,1.1359148589941017,0.9287936720261621,0.8625907063710093,46.37718200683594,1.1257247924804685,0.6389236450195314,0.6919998168945313,26618.423461914062,0.5738334655761719,283.2701110839844,319.77216186523435,326.68988647460935,0.2597638382774947,0.5487630762520911,1.5433831485375642,-1.4178654541571176,-0.42384167359017555
0.7097542521470892,0.8642580373445075,1.1138173468493375,1.0788200856381922,1.06559775170181,0.8156250302451643,39.58030700683594,1.1929122924804687,0.5029861450195313,0.5998123168945313,22946.548461914062,0.7418022155761719,285.6138610839844,304.92841186523435,326.53363647460935,0.3650141345426986,0.8152140013602959,1.332595696823542,-1.8740417761430346,-0.5524372525519944
1.0099700131068052,1.071309088353328,0.9107889848003854,0.8739553681367188,0.8563168799201503,1.0417042516472124,54.58030700683594,1.2929122924804686,0.6029861450195313,0.6998123168945313,27946.548461914062,0.4918022155761719,295.6138610839844,314.92841186523435,336.53363647460935,0.8524143661553627,0.8137314828546474,1.748707842040392,-0.9418281983299251,-0.2830155762187701
1.1140623339206133,0.9745922410598202,0.7085513079985974,1.247268919220792,0.9693550838611663,0.9460325464519438,47.08030700683594,1.1429122924804687,0.4529861450195313,0.7498123168945313,20446.548461914062,0.3668022155761719,280.6138610839844,319.92841186523435,331.53363647460935,0.4352652865050132,-0.11386955027315639,1.3586471294483038,-1.114804908402971,-0.9810507331557855
0.9110079984710036,1.2244848982479926,1.0097860236379732,0.9812913091778372,1.2098162361190592,1.1617145062048262,32.08030700683594,1.2429122924804685,0.5529861450195314,0.6498123168945313,25446.548461914062,0.6168022155761719,290.6138610839844,309.92841186523435,341.53363647460935,0.39393854216271473,0.7802355769315701,1.5534909477009735,-1.4787795210294592,-0.4648780428312193
0.9625788271162782,0.924662947601269,0.9623894033485185,1.0285097065884017,0.9187655326460507,1.323579006002263,43.33030700683594,1.2679122924804687,0.5279861450195313,0.7248123168945313,21696.548461914062,0.4293022155761719,288.1138610839844,312.42841186523435,334.03363647460935,0.7052975037165184,0.41527977228969665,1.4952075305222399,-1.0051762028730946,-0.5310508683959705
1.1935191974106318,1.1304435154991053,1.1930979945202689,0.7844624490942002,1.1230883295373049,0.9941723906441112,58.33030700683594,1.1679122924804686,0.6279861450195313,0.6248123168945313,26696.548461914062,0.6793022155761719,298.1138610839844,322.42841186523435,324.03363647460935,0.003908810086055068,0.744616317898152,1.2355164099212368,-2.0131500732968894,-0.895774861436798
1.058404736537347,0.7639041037204805,1.0582067387336438,1.140404301582294,1.0166000352871887,1.09397418476741,50.83030700683594,1.2179122924804686,0.4779861450195313,0.5748123168945313,24196.548461914062,0.5543022155761719,283.1138610839844,317.42841186523435,339.03363647460935,0.3802896595054749,0.5900093761571303,1.498876050239131,-1.2630796906016353,-0.5958015512599933
0.8454948134320952,1.0217888802078718,0.8451824182928129,0.9320901673062338,0.7441897251405571,0.8913862351218488,35.83030700683594,1.1179122924804685,0.5779861450195314,0.6748123168945312,29196.548461914062,0.3043022155761719,293.1138610839844,307.42841186523435,329.03363647460935,0.6607132256120535,-0.16161339249355458,1.8362813297924458,-0.7841240970697837,-0.26652557906428576
0.8811055900042294,0.9982128146790993,1.0335565339615231,0.6654867453739844,0.889942024672035,0.8580590613141466,37.70530700683594,1.2054122924804687,0.5404861450195313,0.5873123168945313,29821.548461914062,0.3355522155761719,294.3638610839844,316.17841186523435,325.28363647460935,0.778715783082031,0.09329089969163656,1.3951796580754579,-1.0146156386974867,-0.44539625349569695
1.084764894784511,1.388993672926334,0.7975005747337177,1.0048401821983628,1.0926305707159838,1.066818327312669,52.70530700683594,1.1054122924804686,0.6404861450195314,0.6873123168945313,24821.548461914062,0.5855522155761719,284.3638610839844,306.17841186523435,335.28363647460935,-0.06048493809834304,0.27755164596964127,1.3074619511645666,-1.8660386110351697,-0.9388597992846041
1.2698618115154705,0.8965714474453891,0.9375194732434105,0.9048220134265976,1.3130626812259132,0.9704848585735177,45.20530700683594,1.2554122924804687,0.4904861450195313,0.7373123168945312,27321.548461914062,0.7105522155761719,289.3638610839844,311.17841186523435,330.28363647460935,0.21940667695345067,1.107868405525738,1.6260444942164938,-1.6230849889764116,-0.3843125720731809
0.9864446092499608,1.0989410115381677,1.1482520336160316,1.1073351309830177,0.9930641026941275,1.212802889715474,30.205307006835938,1.1554122924804686,0.5904861450195313,0.6373123168945313,22321.548461914062,0.4605522155761719,279.3638610839844,321.17841186523435,340.28363647460935,1.056832628257777,0.09379390471761323,1.19567792813399,-1.1949647133730616,-0.20177713265026326
0.9377196466339712,0.8239369750666016,0.8808540742252258,0.8365096817202856,1.1597484873716424,1.1246454937792176,41.45530700683594,1.1304122924804687,0.5154861450195313,0.7123123168945313,26071.548461914062,0.5230522155761719,296.8638610839844,318.67841186523435,337.78363647460935,0.1826316907226161,0.2681619847428895,1.4059119676863014,-1.67183941675745,-0.926407789760888
1.1485515329241989,1.045919389954628,1.0845496074628733,1.052915990827471,0.9448495390802015,0.9200447601757884,56.45530700683594,1.2304122924804686,0.6154861450195314,0.6123123168945312,21071.548461914062,0.2730522155761719,286.8638610839844,308.67841186523435,327.78363647460935,0.7694959446910002,-0.20398910616457738,1.35644752101416,-0.9388803685607475,-0.6876538572468
1.0337448033594316,0.9503200703416208,1.2689407471306184,0.9572690764297783,0.813245003730367,1.017714587841009,48.95530700683594,1.1804122924804685,0.46548614501953134,0.5623123168945313,28571.548461914062,0.3980522155761719,291.8638610839844,303.67841186523435,342.78363647460935,0.5629707543890171,0.14976717456295946,1.4510719855628262,-1.2060338258222223,-0.5684400907256072
0.7979563067705496,1.1691338445339452,0.9862602568382887,1.1822923518771584,1.040554549260115,0.7488074483014895,33.95530700683594,1.2804122924804686,0.5654861450195313,0.6623123168945313,23571.548461914062,0.6480522155761719,281.8638610839844,313.67841186523435,332.78363647460935,0.4249565497592697,1.0246863854955444,1.6938473946441002,-1.2179712278637134,-0.33428804794668293
0.8239369750666016,0.9377196466339712,0.8235708438069378,1.1597889554715812,1.1822443360989203,0.9061444663730163,55.51780700683594,1.2366622924804687,0.5592361450195313,0.6185623168945313,21384.048461914062,0.3199272155761719,289.9888610839844,308.05341186523435,340.90863647460935,0.7175119825800604,-0.03436965360826008,1.4416604995502391,-1.0013511325230298,-0.5830174417249536
1.045919389954628,1.1485515329241989,1.0457270293689693,0.9448740919565501,0.9572451766907375,1.1087405695858608,40.51780700683594,1.1366622924804686,0.4592361450195313,0.7185623168945313,26384.048461914062,0.5699272155761719,279.9888610839844,318.05341186523435,330.90863647460935,0.23178278473661457,0.4458328833491308,1.2115208147769267,-1.4030106611183812,-0.8725691291732489
1.1691338445339452,0.7979563067705496,1.1687876142833649,1.040578352894862,0.8364681108674996,0.6774130647161111,33.01780700683594,1.2866622924804687,0.6092361450195314,0.6685623168945313,23884.048461914062,0.6949272155761719,294.9888610839844,323.05341186523435,335.90863647460935,0.841084695728283,1.1197352717067064,1.6593378644047332,-1.5551555217520387,-0.43681814371313843
0.9503200703416208,1.0337448033594316,0.9501260872278363,0.8132948087543889,1.0528915693161365,1.005925216917107,48.01780700683594,1.1866622924804686,0.5092361450195313,0.5685623168945313,28884.048461914062,0.4449272155761719,284.9888610839844,313.05341186523435,325.90863647460935,0.5637357534317265,0.3352669233607317,1.4004416958952326,-1.132272417990979,-0.6779996371592406
0.9982128146790993,0.8811055900042294,1.0987129194396743,1.3132655665585522,0.6652103118423485,1.0540715204891162,59.26780700683594,1.1116622924804687,0.5842361450195314,0.6935623168945313,22634.048461914062,0.5074272155761719,292.4888610839844,310.55341186523435,328.40863647460935,0.24917983882941042,0.2746222959528546,1.1358746670704263,-1.620492926413062,-0.9047147961427267
1.388993672926334,1.084764894784511,0.8963384639952678,0.9930870760264408,1.0048172214372415,0.8384597815413273,44.26780700683594,1.2116622924804685,0.4842361450195313,0.5935623168945313,27634.048461914062,0.2574272155761719,282.4888610839844,320.55341186523435,338.40863647460935,0.8736550560821059,-0.18812642492223275,1.5420415352635162,-0.666926313692317,-0.5588648906981085
1.0989410115381677,0.9864446092499608,0.9980292093248704,1.0926583419797342,1.1073054882699083,1.1845827465008896,36.76780700683594,1.1616622924804687,0.6342361450195313,0.6435623168945312,20134.048461914062,0.3824272155761719,297.4888610839844,315.55341186523435,323.40863647460935,0.4692798370974897,-0.01064214710627356,1.0957101442622061,-1.440635161030474,-1.0026323282464251
0.8965714474453891,1.2698618115154705,1.383922500696135,0.8899720597968773,0.9047939452702383,0.9583971149452044,51.76780700683594,1.2616622924804686,0.5342361450195313,0.7435623168945313,25134.048461914062,0.6324272155761719,287.4888610839844,305.55341186523435,333.40863647460935,0.33459791111260984,0.8697383821886038,1.5507055337466364,-1.4675719870447275,-0.41499225168956966
0.8642580373445075,0.7097542521470892,0.9244546047069981,0.969378516309806,0.9812681808932029,0.9823836235740351,53.64280700683594,1.1741622924804687,0.5967361450195313,0.6060623168945313,25759.048461914062,0.7261772155761719,281.2388610839844,314.30341186523435,339.65863647460935,-0.051568695673051154,0.7313100619127878,1.329873906448818,-1.941497138844694,-0.7423800337842742
