name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.647025,0.648559  
phi,0.204261,0.208941  
Q,0.081276,0.082730  
f_single_phase,0.033839,0.036107  
T5_prime,0.009776,0.010897  
h_evaporation,0.002963,0.008171  
T1_prime,0.003257,0.004708  
eta_is,0.003270,0.004169  
beta,0.000264,0.004121  
T3_prime,0.000486,0.003958  
h_condensation,0.000110,0.001941  
f_condensation,0.000009,0.001474  
h_single_phase,0.000083,0.001472  
f_evaporation,0.000013,0.001302  
gamma,0.000006,0.000943  
