name,First-order Sobol indices,Total-order Sobol indices  
h_condensation,0.261819,0.261819  
Q,0.253790,0.253790  
beta,0.218013,0.218013  
h_single_phase,0.172460,0.172460  
eta_is,0.038555,0.038555  
alpha,0.014597,0.014597  
T1_prime,0.010862,0.010862  
gamma,0.007481,0.007481  
T5_prime,0.005084,0.005084  
f_condensation,0.004776,0.004776  
f_single_phase,0.004549,0.004549  
h_evaporation,0.003112,0.003112  
phi,0.002957,0.002957  
T3_prime,0.001932,0.001932  
f_evaporation,0.000015,0.000015  
