log_A_evap_MT,probability density
-1.931026591192432,5.7554406891985164e-05
-1.896333482080629,0.0
-1.8616403729688258,0.0
-1.8269472638570228,2.8777203445992582e-05
-1.7922541547452195,0.0
-1.7575610456334165,2.8777203445992582e-05
-1.7228679365216135,5.7554406891985164e-05
-1.6881748274098105,0.0002014404241219468
-1.6534817182980073,5.7554406891985164e-05
-1.618788609186204,0.0002014404241219468
-1.584095500074401,0.0002877720344599258
-1.549402390962598,0.0004604352551358813
-1.514709281850795,0.0008057616964877924
-1.480016172738992,0.0011223109343937035
-1.4453230636271888,0.002158290258449444
-1.4106299545153855,0.0027626115308152705
-1.3759368454035825,0.004892124585818739
-1.3412437362917795,0.008345388999337849
-1.3065506271799765,0.012402974685222804
-1.2718575180681735,0.017899420543407273
-1.2371644089563703,0.025726819880717372
-1.202471299844567,0.03729525566600615
-1.167778190732764,0.049065131875417355
-1.133085081620961,0.06846096699801636
-1.098391972509158,0.0880870197481833
-1.063698863397355,0.11182821259112646
-1.0290057542855515,0.13700826560636983
-0.9943126451737485,0.16368473320080634
-0.9596195360619455,0.1963180819085608
-0.9249264269501425,0.24169973174289172
-0.8902333178383394,0.27208845858185815
-0.8555402087265362,0.31171466772699163
-0.8208470996147332,0.35709631756132193
-0.7861539905029301,0.39289515864813424
-0.751460881391127,0.43283791703117447
-0.716767772279324,0.4708238255798846
-0.6820746631675209,0.518392542876107
-0.6473815540557177,0.5543928243870472
-0.6126884449439147,0.5899326706428479
-0.5779953358321116,0.6162925889993732
-0.5433022267203085,0.6590267361166761
-0.5086091176085055,0.6874010587144248
-0.47391600849670235,0.7149408424122351
-0.4392228993848992,0.7427683981445146
-0.4045297902730962,0.7684088864148939
-0.3698366811612931,0.798883944864195
-0.33514357204948997,0.8284956872101265
-0.30045046293768696,0.8319777288270915
-0.26575735382588384,0.8652153988072074
-0.2310642447140807,0.8782802491716937
-0.1963711356022776,0.9026833176938897
-0.16167802649047447,0.9015322295560556
-0.12698491737867146,0.9188848832339891
-0.09229180826686834,0.91617982611006
-0.057598699155065214,0.9163812665341878
-0.022905590043262203,0.9145970799205362
0.01178751906854092,0.8981652967528687
0.04648062818034404,0.8735607878065508
0.08117373729214705,0.8339345786614191
0.11586684640395006,0.8092437381047575
0.15055995551575307,0.7713153839629392
0.1852530646275563,0.7231998998012303
0.21994617373935954,0.6791995557323169
0.25463928285116255,0.6182206616302587
0.28933239196296556,0.5700764002651131
0.3240255010747686,0.5117450088800861
0.3587186101865718,0.454794923260461
0.39341171929837504,0.3969527443340217
0.42810482841017805,0.3504487835652977
0.46279793752198106,0.29649152710406157
0.4974910466337841,0.24820337972168605
0.5321841557455871,0.20356993717695152
0.5668772648573903,0.1681164225314865
0.6015703739691936,0.1299866279655485
0.6362634830809966,0.10184252299536775
0.6709565921927996,0.07657613836978626
0.7056497013046026,0.055165899005967786
0.7403428104164056,0.03965498634857778
0.7750359195282088,0.025870705897947002
0.8097290286400121,0.01916561749503106
0.8444221377518151,0.01148210417495104
0.8791152468636181,0.007884953744201968
0.9138083559754211,0.005381337044400613
0.9485014650872241,0.0032806011928431544
0.9831945741990273,0.0026187255135852916
1.0178876833108306,0.0014964145791916143
1.0525807924226336,0.0009496477137177552
1.0872739015344366,0.0007194300861498147
1.1219670106462396,0.0005467668654738591
1.1566601197580426,0.0004604352551358813
1.1913532288698458,0.00025899483101392995
1.226046337981649,8.633161033797775e-05
1.260739447093452,0.00011510881378397033
1.295432556205255,5.7554406891985164e-05
1.3301256653170581,8.633161033797775e-05
1.3648187744288611,8.633161033797775e-05
1.3995118835406644,0.0
1.4342049926524676,2.8777203445992582e-05
1.4688981017642706,2.8777203445992582e-05
1.5035912108760736,2.8777203445992582e-05
