h_single_phase,h_evaporation,h_condensation,h_supercritical,f_single_phase,f_evaporation,f_condensation,f_supercritical,beta,phi,gamma,eta_is,Q,T3_prime,T5_prime,log_A_evap,log_A_GasCooler,log_A_recup
1.074507122951685,0.7876943886924379,1.0536681040522424,0.8756507483616891,0.760835851180845,1.1389266321297462,1.1135482924968028,0.921591546922144,39.57301419729767,1.1745377034024629,0.6467955295919656,0.6817415551001752,26391.199378155005,324.21051795665323,345.0835289929344,0.3711770172769715,0.2023836928955391,-0.8948585478038557
0.9792603548243224,0.936903201585196,1.0841176789552351,0.9159728439704544,0.910093746556934,1.2864124960705197,0.8616752013733562,1.1573513838755334,54.86746422452032,1.1519507567520653,0.5318668012630087,0.6496391432906278,28679.18294520022,318.93322553350504,352.15741872516367,0.3992171597935451,1.032053706427565,-0.8008986690079065
1.097153280715104,0.9485928225209844,1.1624576864762917,1.1120940407684892,1.0007865549577275,0.7902148639271288,1.130440888015849,0.8943484464185861,31.110229041464777,1.244684022737717,0.628819840735827,0.6610727101875262,24547.39855633859,314.37615398312005,358.2732665779049,0.5454690628191929,0.9386431942715372,-0.5595099121274344
1.2284544784612037,0.8796584096167572,1.1580703078052357,1.0915555398150196,1.0070470890647114,1.0844453855035856,1.2033456788207426,0.788730805545466,47.8880963544616,1.199175147015754,0.4959909211782173,0.6938403556544528,25155.960285792506,320.35667566621834,350.1014304847796,0.5118427699281284,0.5565136759028642,-0.7071157911706165
0.9648769937914996,0.9758071432500988,0.7933495948064364,0.9968647609053778,0.9324901792781136,0.902403614631726,1.062015235483555,0.7665056239714144,36.90026511863109,1.1162092431815294,0.4926209408050167,0.5956909482662598,24888.4658025692,322.4730134844639,356.4482344897443,0.1270807666825159,1.2905287709537847,-0.9244379354480567
0.964879456457623,1.0606076285221808,0.8593262440127316,1.017599107496317,1.0934274898521248,0.9269311924352956,1.28151937188371,1.090901492701846,33.61700657331836,1.1440366403899622,0.4562268165769023,0.7492667832113484,26668.642575461043,313.6024800146707,359.0589992157946,0.3710086076914685,1.4093479974719034,-0.7092722174517624
1.2368819223261087,1.2829278851815795,1.077255290081299,1.1916497343682635,0.8398569355926109,0.9111409113641696,0.883931620134464,0.8079355971255575,32.308596048876275,1.2366517527319192,0.5803333650751771,0.7449586324293567,21396.51254756313,316.420982030507,361.69355638958905,0.3233991477144131,0.7537957211781859,-0.7982288151291204
1.1151152093729364,1.026186671924776,1.0770678926368311,0.9112642916746256,0.978643077246806,0.8704013845480276,0.8133017945032874,1.2632191272976547,50.88866327634419,1.1152261718980598,0.5237052687447523,0.6800651372693873,20299.73589872678,310.58772186673895,347.8428416371091,-0.0537573876594077,-0.6657446012129112,-1.1990329053008086
0.9295788421097572,1.0386325586084146,1.0772571529459072,1.0820646071755058,1.0180443447567848,1.007278244191724,0.7331919626643582,0.6877105888174417,40.196248913041984,1.2702413828097538,0.6228716499679274,0.589908490185829,23079.299415911908,311.7729869906936,351.13631831618613,0.5527862205978457,0.0694389954889278,-0.5285696097400084
1.0813840065378948,0.9888331126350748,1.577909723598208,0.969671102134916,1.0771658251088123,0.8753574825383443,1.2244066467233774,1.2544684552435057,51.74300314586284,1.1990293054027947,0.5446419813383114,0.6860456484862583,27046.807627366463,321.77235707929964,346.19832026660833,0.6383160322565191,-0.4312174005053155,-0.5745666886484705
0.9304873460781308,0.7121843177051438,1.085633576603975,0.967347819515917,1.1067422317133335,1.0405685238669755,1.0981548484531087,1.0316526200803928,31.96069022396827,1.1961173154653295,0.6436386855829443,0.5644396817958353,22018.534521229485,311.7787669539125,362.9996700431675,0.388191517258427,1.1207634896810013,-0.8178219550925753
0.9301405369644616,0.9960229186826176,1.17033484602709,1.1648165277980784,0.8313036862243196,0.9924642835826296,0.9916622993634318,0.9854930332194412,39.45871013491831,1.2184815569319034,0.4871051031406243,0.5561305004411613,26734.324333249173,318.6532676733412,361.6900193584858,0.4003513145568249,0.9267156330974816,-0.730633256522075
1.036294340734905,1.009034531491154,1.1431002645239805,1.1238124523482045,0.7698828743896566,0.9641577929700386,1.041995293947973,0.9182621369786576,46.18473877126012,1.2649361931850298,0.6237246335911222,0.6015365777022428,29699.120461072704,322.3309252344486,353.94914260561114,0.7095460602037527,0.7780385265198478,-0.5082324057543076
0.7130079633013303,1.3694863168727929,1.0977086876958695,1.122026445400096,1.1916515232847764,0.8638654506937603,0.8311766429052435,1.0598704171528106,53.721694945168906,1.1695618415804383,0.6053193705583484,0.6425245913478633,20939.007157894182,310.2875384618948,359.9906658875284,0.184544019920467,0.7380556732166746,-0.8751572167006022
0.741262325123045,0.9711458552828316,0.9527096133039482,1.1958218210731493,1.0498471017969389,0.91348430041475,1.366862796942524,0.9943547946362729,39.562575087962095,1.2356032305118128,0.6041843689288104,0.7236545010816762,26726.021182251265,319.49624439257803,353.5691595454408,0.7090915528608706,1.0328805228911602,-0.4915260593614883
0.915656870613854,1.045232101350042,1.11384538307399,1.0031505762449138,0.887727019516517,1.1133086838738633,1.019383177296284,1.1654952823024782,48.77674129311028,1.213146392799158,0.6189566456233776,0.6954338139532616,24437.50219304571,313.28125567402725,355.6217137600552,0.4064319162259789,0.9300350206843624,-0.7226177129351847
0.8480753319498364,0.9947932345442136,0.8840762178193642,1.1022929456942443,1.2326727963283783,1.0751375781436572,1.016409219190734,1.0171341472993058,56.57933244708562,1.1534056540338842,0.6022047981885998,0.6985413042399962,28681.422543775054,327.4085375047516,344.9324886423203,0.6519181860860556,0.2635421615620196,-0.6239380029021057
1.047137099889291,0.8246982943570702,0.9644772089889988,0.9534599865109816,1.017351195143929,0.8533667132802174,1.1088649935848038,1.0225452642192816,48.47589564546914,1.2757259972710315,0.5752440643262831,0.6350986668896151,21771.497894473858,317.82091293439845,358.25540840993614,0.5417496921035065,0.8274259268398552,-0.6110791716487279
0.8637963886718184,1.171423422177253,0.9271954678256344,1.0486249528732663,1.176894577609574,1.014899845814384,1.0721513847605069,0.9454581681679216,36.988784242609015,1.2594852043213856,0.4762489755364776,0.6191869985093926,26926.259522261644,324.26985099550313,345.7042696727047,0.8585072554530007,0.7837285253567257,-0.3552015329981628
0.7881544447997063,1.112789954903016,1.0122811209079483,0.9804785418448472,1.0101277722115165,1.1127080685057684,1.0335826036418696,0.99145815644184,30.73202344669614,1.231690366931685,0.4565052358982504,0.6242077525969205,28381.1528964811,319.1545308431252,359.6713526050505,0.6571168096456477,1.6157430878286425,-0.2863161236909166
