log_A_cond,probability density
0.61638909781167,0.000904219321618231
0.6219173365895077,0.003616877286472997
0.6274455753673452,0.012478226638331587
0.632973814145183,0.02513729714098682
0.6385020529230206,0.04918953109603177
0.6440302917008583,0.08698589873967383
0.6495585304786959,0.13237770868491167
0.6550867692565336,0.19097112072577038
0.6606150080343713,0.2562557557466067
0.666143246812209,0.3334760858128103
0.6716714855900466,0.40454772449199655
0.6771997243678843,0.4721833297490402
0.682727963145722,0.5557331950665647
0.6882562019235597,0.6398255919770602
0.6937844407013973,0.7014933497114376
0.699312679479235,0.7919152818732467
0.7048409182570727,0.8897518124723394
0.7103691570349104,0.9680572057244976
0.715897395812748,1.0740317102181347
0.7214256345905857,1.1476351629978587
0.7269538733684234,1.2601200466071667
0.7324821121462611,1.3782110900105078
0.7380103509240987,1.4993764791073807
0.7435385897019364,1.6040850765507417
0.7490668284797741,1.7570789857685463
0.7545950672576118,1.9169449618306882
0.7601233060354494,2.027259719068074
0.7656515448132871,2.1495101713508586
0.7711797835911248,2.153850424094626
0.7767080223689625,2.179168565099937
0.7822362611468001,2.16180755412491
0.7877644999246378,2.1887532899090902
0.7932927387024755,2.199423077904185
0.7988209774803132,2.19399776197452
0.8043492162581508,2.2433681369348313
0.8098774550359885,2.239751259648358
0.8154056938138262,2.239751259648358
0.8209339325916639,2.2493359844575114
0.8264621713695015,2.26090999177427
0.8319904101473392,2.295993701453012
0.8375186489251769,2.306844333312431
0.8430468877030146,2.3026849244330334
0.8485751264808522,2.3061209578551365
0.8541033652586899,2.349161797564164
0.8596316040365276,2.3545871134938734
0.8651598428143653,2.35440626962955
0.8706880815922029,2.3674270278608995
0.8762163203700406,2.399436391846138
0.8817445591478783,2.397808797067225
0.887272797925716,2.40956364824831
0.8928010367035536,2.433615882203307
0.8983292754813913,2.445732421112991
0.903857514259229,2.435605164710867
0.9093857530370667,2.4762950341836873
0.9149139918149043,2.4923901381085423
0.920442230592742,2.4914859187868736
0.9259704693705797,2.5046875208825
0.9314987081484174,2.5292822864305666
0.937026946926255,2.543930639440731
0.9425551857040927,2.5397712305612874
0.9480834244819304,2.567621185667129
0.9536116632597681,2.583897133456257
0.9591399020376057,2.6117470885621508
0.9646681408154434,2.601258144431327
0.9701963795932811,2.634895103195525
0.9757246183711188,2.623140252014541
0.9812528571489564,2.6567772107786864
0.9867810959267941,2.683180414969939
0.9923093347046318,2.666000247859192
0.9978375734824695,2.698371299573125
1.003365812260307,2.72097678261369
1.0088940510381448,2.717179061462675
1.0144222898159825,2.761124120493541
1.01995052859382,2.7528053027345427
1.0254787673716579,2.7459332358902437
1.0310070061494954,2.7774000682825584
1.0365352449273333,2.7600390573074884
1.0420634837051708,2.7197108755633153
1.0475917224830087,2.6828187272412913
1.0531199612608462,2.616629872898942
1.0586482000386839,2.5556854906216655
1.0641764388165216,2.4348817892536703
1.069704677594359,2.3679695594538233
1.075232916372197,2.2795369097995604
1.0807611551500345,2.177179282592377
1.0862893939278724,2.0957995436467356
1.0918176327057099,1.973187403635383
1.0973458714835476,1.8827654714734048
1.1028741102613853,1.780588688130692
1.1084023490392227,1.6610508938126904
1.1139305878170607,1.536992002886669
1.1194588265948981,1.4192626472119754
1.124987065372736,1.2832680612405933
1.1305153041505736,1.145465036626021
1.1360435429284113,0.9969922240162215
1.141571781706249,0.8494236307282003
1.1471000204840867,0.6685797664044931
1.1526282592619244,0.4785128650003871
1.1581564980397618,0.27361676672167673
1.1636847368175998,0.07107163867919296
