log_A_cond,cumulative probability
0.61638909781167,4.998740317440005e-06
0.6219173365895077,2.4993701587200028e-05
0.6274455753673452,9.39763179678721e-05
0.632973814145183,0.00023294129879270422
0.6385020529230206,0.0005048727720614405
0.6440302917008583,0.000985751590599169
0.6495585304786959,0.0017175671730723856
0.6550867692565336,0.002773301128115715
0.6606150080343713,0.004189944134078212
0.666143246812209,0.006033479563150086
0.6716714855900466,0.008269915981172745
0.6771997243678843,0.010880258174939915
0.682727963145722,0.013952483974038542
0.6882562019235597,0.01748959262265909
0.6937844407013973,0.021367615360929043
0.699312679479235,0.025745512130942998
0.7048409182570727,0.03066427260330396
0.7103691570349104,0.03601592398715523
0.715897395812748,0.04195342773621047
0.7214256345905857,0.048297828947105326
0.7269538733684234,0.055264073453489715
0.7324821121462611,0.06288315344533177
0.7380103509240987,0.07117206463971079
0.7435385897019364,0.08003982996284936
0.7490668284797741,0.08975338214769878
0.7545950672576118,0.10035071162067159
0.7601233060354494,0.11155788741237209
0.7656515448132871,0.12344089289499047
0.7711797835911248,0.13534789233113256
0.7767080223689625,0.14739485649616296
0.7822362611468001,0.15934584484709852
0.7877644999246378,0.1714457956594938
0.7932927387024755,0.18360473160763488
0.7988209774803132,0.1957336751138713
0.8043492162581508,0.20813554984143995
0.8098774550359885,0.22051742960773885
0.8154056938138262,0.23289930937403774
0.8209339325916639,0.2453341757877015
0.8264621713695015,0.2578330260774285
0.8319904101473392,0.27052582749147214
0.8375186489251769,0.28327861378932506
0.8430468877030146,0.2960084058817178
0.8485751264808522,0.30875719318731676
0.8541033652586899,0.3217439205320259
0.8596316040365276,0.33476064031863967
0.8651598428143653,0.34777636035718995
0.8706880815922029,0.36086406225631135
0.8762163203700406,0.37412871956267013
0.8817445591478783,0.3873843791364575
0.887272797925716,0.40070502233437166
0.8928010367035536,0.4141586320247297
0.8983292754813913,0.42767922483534143
0.903857514259229,0.4411438317543978
0.9093857530370667,0.454833381987739
0.9149139918149043,0.46861190979873063
0.920442230592742,0.4823854388694048
0.9259704693705797,0.49623194954871364
0.9314987081484174,0.5102144259646568
0.937026946926255,0.5242778819737426
0.9425551857040927,0.5383183437773681
0.9480834244819304,0.5525127667827707
0.9536116632597681,0.5667971671138873
0.9591399020376057,0.581235528646781
0.9646681408154434,0.5956159047919923
0.9701963795932811,0.6101822340770126
0.9757246183711188,0.624683579737906
0.9812528571489564,0.6393708785386082
0.9867810959267941,0.6542041405565797
0.9923093347046318,0.6689424265085199
0.9978375734824695,0.6838596673638243
1.003365812260307,0.6989018767270647
1.0088940510381448,0.713923091380972
1.0144222898159825,0.7291872448143067
1.01995052859382,0.7444054098367211
1.0254787673716579,0.759585584432723
1.0310070061494954,0.7749397151917716
1.0365352449273333,0.7901978701367255
1.0420634837051708,0.8052330812635216
1.0475917224830087,0.8200643437853661
1.0531199612608462,0.8345296985159739
1.0586482000386839,0.8486581381491863
1.0641764388165216,0.8621187460759888
1.069704677594359,0.8752094472193007
1.075232916372197,0.887811271559567
1.0807611551500345,0.899847238495899
1.0862893939278724,0.9114333188036614
1.0918176327057099,0.922341569924379
1.0973458714835476,0.9327499470133526
1.1028741102613853,0.9425934664464555
1.1084023490392227,0.9517761524095928
1.1139305878170607,0.9602730112011774
1.1194588265948981,0.9681190340034312
1.124987065372736,0.9752132462619421
1.1305153041505736,0.981545650496075
1.1360435429284113,0.9870572615700843
1.141571781706249,0.9917530782242875
1.1471000204840867,0.9954491468150026
1.1526282592619244,0.9980944801909919
1.1581564980397618,0.9996070990110493
1.1636847368175998,1.0
