eta_is,Q,T1_prime,T4_prime,log_A_evap,log_A_cond
0.5537368774414063,25186.843872070312,283.8014221191406,319.50116577148435,0.5279142900237913,0.9800029815146553
0.5552993774414063,21827.468872070312,294.2701721191406,317.15741577148435,0.4382139322808299,0.8286192737941311
0.6552993774414063,26827.468872070312,284.2701721191406,307.15741577148435,0.8513326765428085,0.9687735078312403
0.7052993774414062,24327.468872070312,279.2701721191406,322.15741577148435,0.48561174092695614,0.9546047672489711
0.6052993774414063,29327.468872070312,289.2701721191406,312.15741577148435,0.8920440561102556,1.0930837220885576
0.6302993774414063,23077.468872070312,286.7701721191406,314.65741577148435,0.5994153741051705,0.8698146431399023
0.7302993774414063,28077.468872070312,296.7701721191406,304.65741577148435,0.8313888096250168,0.9646748714192601
0.6802993774414063,20577.468872070312,291.7701721191406,319.65741577148435,0.4748369005888972,0.7748993894944267
0.5802993774414062,25577.468872070312,281.7701721191406,309.65741577148435,0.7099049651118012,0.945817403060536
0.5927993774414063,24952.468872070312,290.5201721191406,303.40741577148435,0.8953161515164659,0.865024164047687
0.6927993774414063,29952.468872070312,280.5201721191406,313.40741577148435,0.8229424868860912,1.120849855265718
0.7427993774414063,22452.468872070312,285.5201721191406,308.40741577148435,0.6973783280754896,0.7909086909007526
0.6427993774414062,27452.468872070312,295.5201721191406,318.40741577148435,0.6992204726237181,1.0553561062631593
0.6177993774414063,21202.468872070312,283.0201721191406,305.90741577148435,0.6228014156662226,0.7302592841192539
0.7177993774414063,26202.468872070312,293.0201721191406,315.90741577148435,0.6726423250898707,0.990012674588557
0.6677993774414063,23702.468872070312,298.0201721191406,310.90741577148435,0.6228515227031663,0.8566117553941185
0.5677993774414063,28702.468872070312,288.0201721191406,320.90741577148435,0.6820638399886993,1.1159731263170622
0.5740493774414063,23389.968872070312,281.1451721191406,320.28241577148435,0.4270891435637565,0.9095067464632324
0.6740493774414062,28389.968872070312,291.1451721191406,310.28241577148435,0.932538698947634,1.039300199643386
0.7240493774414063,20889.968872070312,296.1451721191406,315.28241577148435,0.4727235381515719,0.7572691432216223
0.6240493774414063,25889.968872070312,286.1451721191406,305.28241577148435,0.8594364501853098,0.9196027702200001
0.6490493774414063,22139.968872070312,293.6451721191406,322.78241577148435,0.44164717674579607,0.8598827079659555
0.7490493774414063,27139.968872070312,283.6451721191406,312.78241577148435,0.7891322995061987,1.011436887490981
0.6990493774414063,24639.968872070312,288.6451721191406,317.78241577148435,0.6505270627641304,0.9453331370841992
0.5990493774414063,29639.968872070312,298.6451721191406,307.78241577148435,0.8537960259488228,1.0609538528802414
0.5865493774414063,20264.968872070312,284.8951721191406,311.53241577148435,0.4953707531937977,0.7259871536446688
0.6865493774414063,25264.968872070312,294.8951721191406,321.53241577148435,0.6028017683176765,0.9826344281457455
0.7365493774414062,22764.968872070312,289.8951721191406,306.53241577148435,0.7828160350769046,0.7845465081093144
0.6365493774414063,27764.968872070312,279.8951721191406,316.53241577148435,0.6670276845745317,1.0655610393979222
0.6115493774414062,24014.968872070312,297.3951721191406,309.03241577148435,0.6313091010097002,0.8626881832132054
0.7115493774414063,29014.968872070312,287.3951721191406,319.03241577148435,0.7747942937134845,1.1132663993853373
0.6615493774414063,21514.968872070312,282.3951721191406,304.03241577148435,0.6718492277334445,0.7262822235190656
0.5615493774414063,26514.968872070312,292.3951721191406,314.03241577148435,0.646129977400725,1.0055158027523128
0.5584243774414063,24171.218872070312,285.8326721191406,306.21991577148435,0.7540259109811318,0.8643029696886657
0.6584243774414062,29171.218872070312,295.8326721191406,316.21991577148435,0.7811480111112107,1.102193534719314
0.7084243774414063,21671.218872070312,290.8326721191406,311.21991577148435,0.66378491632136,0.774986403742581
0.6084243774414063,26671.218872070312,280.8326721191406,321.21991577148435,0.5411565781385091,1.0438110301825996
0.6334243774414063,20421.218872070312,298.3326721191406,303.71991577148435,0.511161483313451,0.6511685062811171
0.7334243774414063,25421.218872070312,288.3326721191406,313.71991577148435,0.7556363965229889,0.9498031466548441
0.6834243774414063,22921.218872070312,283.3326721191406,308.71991577148435,0.672624852888585,0.8228034302412061
0.5834243774414063,27921.218872070312,293.3326721191406,318.71991577148435,0.6763247018526359,1.0788141582751372
0.5959243774414062,22296.218872070312,279.5826721191406,314.96991577148435,0.46780589675606365,0.8406667819524242
0.6959243774414063,27296.218872070312,289.5826721191406,304.96991577148435,0.9696705924221661,0.9568522681627887
0.7459243774414063,24796.218872070312,294.5826721191406,319.96991577148435,0.609500706147043,0.9518658651935291
0.6459243774414063,29796.218872070312,284.5826721191406,309.96991577148435,0.9057309046076335,1.094345153113596
0.6209243774414063,23546.218872070312,292.0826721191406,317.46991577148435,0.5198492722322826,0.9027100806119249
0.7209243774414062,28546.218872070312,282.0826721191406,307.46991577148435,0.9005115357874932,1.0278325346076087
0.6709243774414063,21046.218872070312,287.0826721191406,322.46991577148435,0.39456931497181036,0.8102467949326176
0.5709243774414063,26046.218872070312,297.0826721191406,312.46991577148435,0.674485919760603,0.9733802765049107
0.5646743774414062,20733.718872070312,288.9576721191406,309.34491577148435,0.5922455245826861,0.7331162586006365
0.6646743774414063,25733.718872070312,278.9576721191406,319.34491577148435,0.5459309949693399,1.001961505354457
0.7146743774414063,23233.718872070312,283.9576721191406,304.34491577148435,0.7712925125022629,0.7968791845043358
0.6146743774414063,28233.718872070312,293.9576721191406,314.34491577148435,0.734998423659772,1.0646497599462679
0.6396743774414063,24483.718872070312,281.4576721191406,311.84491577148435,0.649520796122871,0.9141269280244113
0.7396743774414063,29483.718872070312,291.4576721191406,321.84491577148435,0.7900993209445134,1.1349152185510962
0.6896743774414062,21983.718872070312,296.4576721191406,306.84491577148435,0.5672493725908403,0.7481707553501614
0.5896743774414063,26983.718872070312,286.4576721191406,316.84491577148435,0.6910929093811443,1.038448036937139
0.5771743774414063,22608.718872070312,295.2076721191406,323.09491577148435,0.4438381550782535,0.8846464652778736
0.6771743774414063,27608.718872070312,285.2076721191406,313.09491577148435,0.7959722242843117,1.0360915672773514
0.7271743774414063,20108.718872070312,280.2076721191406,318.09491577148435,0.37344736871456136,0.7480795379453656
0.6271743774414062,25108.718872070312,290.2076721191406,308.09491577148435,0.8294095942005826,0.9073358686767333
0.6021743774414063,21358.718872070312,287.7076721191406,320.59491577148435,0.4200433720787769,0.8214396902498029
0.7021743774414063,26358.718872070312,297.7076721191406,310.59491577148435,0.7351179716500852,0.9556629019213254
0.6521743774414063,23858.718872070312,292.7076721191406,315.59491577148435,0.5629303735744383,0.9027286924057489
0.5521743774414063,28858.718872070312,282.7076721191406,305.59491577148435,0.8951760674690907,1.0372334091349165
0.5529556274414062,21163.406372070312,288.5670471191406,314.11054077148435,0.5184774587203291,0.7842097360876186
0.6529556274414063,26163.406372070312,298.5670471191406,304.11054077148435,0.7615093248078479,0.8968520040764262
0.7029556274414063,23663.406372070312,293.5670471191406,319.11054077148435,0.5517106686965569,0.9071694745437126
0.6029556274414063,28663.406372070312,283.5670471191406,309.11054077148435,0.8569845798887691,1.0535402673121699
0.6279556274414063,24913.406372070312,296.0670471191406,316.61054077148435,0.6131044194921274,0.950601727720858
0.7279556274414063,29913.406372070312,286.0670471191406,306.61054077148435,1.0027140452738237,1.0621865244307211
0.6779556274414062,22413.406372070312,281.0670471191406,321.61054077148435,0.4183670317968019,0.8716694011337489
0.5779556274414063,27413.406372070312,291.0670471191406,311.61054077148435,0.8476887973031083,1.0230982309197738
0.5904556274414063,23038.406372070312,282.3170471191406,307.86054077148435,0.6513940428993977,0.8293385302765476
0.6904556274414063,28038.406372070312,292.3170471191406,317.86054077148435,0.717376150732308,1.0716211356771304
0.7404556274414062,20538.406372070312,297.3170471191406,312.86054077148435,0.4799816371365565,0.720820234728835
0.6404556274414063,25538.406372070312,287.3170471191406,322.86054077148435,0.5639206556633578,1.0050339969422468
0.6154556274414062,21788.406372070312,289.8170471191406,305.36054077148435,0.731336715176794,0.7459753076428984
0.7154556274414063,26788.406372070312,279.8170471191406,315.36054077148435,0.6825986650221426,1.020065330712753
0.6654556274414063,24288.406372070312,284.8170471191406,310.36054077148435,0.712616547250819,0.8925405388425145
0.5654556274414063,29288.406372070312,294.8170471191406,320.36054077148435,0.7168093046445868,1.1333656490220951
0.5717056274414063,23975.906372070312,291.6920471191406,320.98554077148435,0.5548579570876556,0.9373806018957802
0.6717056274414063,28975.906372070312,281.6920471191406,310.98554077148435,0.8383581960977194,1.0733920632192784
0.7217056274414063,21475.906372070312,286.6920471191406,315.98554077148435,0.5376554251553299,0.7986993281376988
0.6217056274414063,26475.906372070312,296.6920471191406,305.98554077148435,0.7440645150129527,0.9336315616040755
0.6467056274414062,20225.906372070312,279.1920471191406,318.48554077148435,0.332262456144691,0.7598451297804601
0.7467056274414063,25225.906372070312,289.1920471191406,308.48554077148435,0.8450887649090247,0.9018011134833028
0.6967056274414063,22725.906372070312,294.1920471191406,313.48554077148435,0.5492102102818572,0.8350860770231797
0.5967056274414063,27725.906372070312,284.1920471191406,303.48554077148435,0.9243300954253759,0.9768937481117985
0.5842056274414062,22100.906372070312,297.9420471191406,309.73554077148435,0.5401517835280658,0.7886903121223824
0.6842056274414063,27100.906372070312,287.9420471191406,319.73554077148435,0.6943395547497277,1.050507350130667
0.7342056274414063,24600.906372070312,282.9420471191406,304.73554077148435,0.8134140065610188,0.8556793871714865
