log_A_evap,cumulative probability
-0.263828255410668,1.9997200391945127e-06
-0.24703279572000972,3.999440078389025e-06
-0.23023733602935145,4.999300097986282e-06
-0.2134418763386932,4.999300097986282e-06
-0.19664641664803492,6.999020137180795e-06
-0.17985095695737668,6.999020137180795e-06
-0.16305549726671842,1.1998320235167078e-05
-0.14626003757606015,1.4997900293958846e-05
-0.1294645778854019,1.7997480352750615e-05
-0.11266911819474362,2.5996360509528666e-05
-0.09587365850408536,3.599496070550123e-05
-0.0790781988134271,4.499370088187654e-05
-0.062282739122768854,6.39910412542244e-05
-0.04548727943211059,8.298838162657227e-05
-0.028691819741452324,9.798628192053112e-05
-0.011896360050794058,0.00012398264243005977
0.004899099639864207,0.00014997900293958844
0.021694559330522473,0.00018897354370388145
0.03849001902118074,0.00024696542484052233
0.055285478711839,0.00030595716599676043
0.07208093840249727,0.00038094666746655464
0.08887639809315553,0.00045893574899514064
0.1056718577838138,0.0005739196512488252
0.12246731747447204,0.0006809046733457316
0.13926277716513027,0.0008488811566380707
0.15605823685578854,0.0010468534405183275
0.1728536965464468,0.0012858199852020717
0.18964915623710507,0.0015787789709440679
0.20644461592776334,0.0019557261983322335
0.2232400756184216,0.002436658867758514
0.2400355353090799,0.0030005799188113666
0.25683099499973816,0.0037644729737836705
0.27362645469039637,0.004722338872557842
0.29042191438105464,0.005987161797348372
0.3072173740717129,0.007551942728018078
0.32401283376237117,0.00957365968764373
0.34080829345302943,0.012184294198812166
0.3576037531436877,0.015569820225168476
0.37439921283434596,0.020450136980822684
0.39119467252500423,0.028497010418541403
0.4079901322156625,0.04134621153038574
0.42478559190632076,0.05750094986701861
0.441581051596979,0.07709420681104645
0.4583765112876373,0.09948507208990741
0.47517197097829555,0.12474653548503209
0.49196743066895376,0.1510818485412042
0.5087628903596121,0.1786709860619513
0.5255583500502703,0.20781890535325054
0.5423538097409285,0.23860159577659126
0.5591492694315868,0.27133001379806826
0.5759447291222451,0.3062311276421301
0.5927401888129034,0.3427200191973124
0.6095356485035616,0.38028176055352253
0.6263311081942199,0.41890035395044695
0.6431265678848782,0.4584118223448717
0.6599220275755364,0.49822024916511687
0.6767174872661946,0.5385186073949647
0.693512946956853,0.5798538204651349
0.7103084066475113,0.622812806207131
0.7271038663381695,0.665918771372008
0.7438993260288277,0.7089367488551603
0.760694785719486,0.7496910432539445
0.7774902454101442,0.787194792729018
0.7942857051008024,0.821249025136481
0.8110811647914608,0.8514657947887297
0.827876624482119,0.8775211470394146
0.8446720841727772,0.8999520067190595
0.8614675438634355,0.919146319515268
0.8782630035540938,0.9350410942468056
0.895058463244752,0.948277241186234
0.9118539229354102,0.959215709800628
0.9286493826260686,0.9683024376587278
0.9454448423167269,0.9756304117423561
0.9622403020073851,0.9815835782990382
0.9790357616980433,0.986238926550283
0.9958312213887016,0.9898664187013818
1.01262668107936,0.9926990221369009
1.0294221407700181,0.9949197112404263
1.0462176004606762,0.9965734797128402
1.0630130601513348,0.9977373167756514
1.0798085198419929,0.9986151938728578
1.096603979532651,0.9991961125442438
1.1133994392233095,0.9995840582318475
1.1301948989139676,0.9997810306557081
1.146990358604626,0.9999060131581577
1.1637858182952843,0.9999490071390005
1.1805812779859424,0.9999660047593336
1.197376737676601,0.99997500349951
1.214172197367259,0.9999790029395883
1.230967657057917,0.9999830023796666
1.2477631167485757,0.9999850020997059
1.2645585764392338,0.9999900013998039
1.281354036129892,0.9999940008398822
1.2981494958205504,0.999997000419941
1.3149449555112085,0.9999980002799606
1.3317404152018668,0.9999980002799606
1.3485358748925251,0.9999990001399801
1.3653313345831832,0.9999990001399801
1.3821267942738418,0.9999990001399801
1.3989222539644999,0.9999999999999997
