log_A_evap,probability density
-1.3190599002766679,3.27427365603027e-05
-1.257990475474656,1.6371368280151292e-05
-1.1969210506726444,1.637136828015135e-05
-1.1358516258706328,0.0
-1.074782201068621,4.911410484045405e-05
-1.0137127762666092,6.548547312060517e-05
-0.9526433514645976,9.82282096809081e-05
-0.8915739266625858,9.822820968090774e-05
-0.8305045018605741,0.0002619418924824216
-0.7694350770585625,0.00021282778764196715
-0.7083656522565507,0.00044202694356408563
-0.6472962274545391,0.0005729978898052962
-0.5862268026525272,0.001129624411330441
-0.5251573778505156,0.0010968816747701383
-0.46408795304850387,0.0018827073522174017
-0.40301852824649215,0.0036508151264737446
-0.34194910344448043,0.00595917805397508
-0.28087967864246877,0.00887328160784203
-0.21981025384045705,0.01591296996830705
-0.15874082903844533,0.025768533672958224
-0.09767140423643361,0.04161601816814458
-0.036601979434421894,0.06622218469321221
0.024467445367589824,0.10757626096887413
0.08553687016960154,0.16828129455167573
0.14660629497161326,0.24737137471308598
0.20767571977362498,0.35556974767660715
0.2687451445756367,0.4781258106218184
0.3298145693776484,0.6064118524650862
0.39088399417966013,0.7392000205853911
0.45195341898167185,0.8562061896836355
0.5130228437836836,0.9484915926788451
0.5740922685856953,1.0168256838802003
0.635161693387707,1.051271042741635
0.6962311181897187,1.0506980448518335
0.7573005429917303,1.0210494968964794
0.8183699677937419,0.9655014443219259
0.8794393925957538,0.8898657228676201
0.9405088173977656,0.8022952739370971
1.0015782421997772,0.7076196511729818
1.0626476670017888,0.6157271610164923
1.1237170918038006,0.5313655002688684
1.1847865166058125,0.4557788929194136
1.245855941407824,0.3904080193767692
1.3069253662098357,0.3384125537190086
1.3679947910118475,0.2907391292872057
1.4290642158138593,0.24805897218085327
1.490133640615871,0.21477598046730556
1.5512030654178826,0.1844070923076248
1.6122724902198942,0.1581637889545422
1.673341915021906,0.13550581525481173
1.7344113398239178,0.11091602009802538
1.7954807646259294,0.09510127833939919
1.856550189427941,0.08048164646522404
1.9176196142299529,0.06578015774964766
1.9786890390319647,0.05268306312552704
2.0397584638339765,0.042598300264953814
2.1008278886359877,0.03606612432117342
2.1618973134379997,0.029222892380069948
2.222966738240012,0.02280531601425083
2.284036163042023,0.018499646156571025
2.345105587844035,0.014374061349972886
2.4061750126460466,0.012147555263872213
2.467244437448058,0.010019277387452627
2.5283138622500703,0.007448972567468864
2.5893832870520814,0.00618837720989721
2.6504527118540935,0.004322041225959925
2.711522136656105,0.0031924168146295366
2.7725915614581167,0.0027995039759058605
2.8336609862601287,0.0024557052420226847
2.8947304110621404,0.0019481928253380248
2.955799835864152,0.0012442239892914936
3.0168692606661636,0.0009659107285289367
3.077938685468175,0.0005402551532449906
3.1390081102701872,0.0006057406263655956
3.200077535072199,0.0006221119946457558
3.2611469598742104,0.0004747696801243857
3.3222163846762225,0.00039291283872362954
3.383285809478234,0.0002946846290427264
3.4443552342802457,0.00021282778764196599
3.5054246590822573,0.00011459957796106027
3.566494083884269,0.0001637136828015123
3.627563508686281,8.185684140075615e-05
3.6886329334882926,6.548547312060587e-05
3.749702358290304,4.911410484045369e-05
3.810771783092316,4.9114104840454404e-05
3.8718412078943274,3.274273656030246e-05
3.9329106326963394,4.911410484045369e-05
3.993980057498351,3.2742736560302936e-05
4.055049482300363,0.0
4.116118907102375,1.637136828015123e-05
4.177188331904386,1.6371368280151468e-05
4.238257756706398,1.637136828015123e-05
4.29932718150841,0.0
4.360396606310421,1.637136828015123e-05
4.421466031112433,0.0
4.482535455914444,0.0
4.543604880716456,0.0
4.6046743055184685,0.0
4.66574373032048,0.0
4.726813155122492,1.637136828015123e-05
