h_single_phase,h_evaporation,h_condensation,f_single_phase,f_evaporation,f_condensation,beta,phi,gamma,log_A_evap,log_A_cond
0.6877431844718764,1.0070277922674766,0.9000368895574233,1.1359148589941017,0.9287936720261621,0.8625907063710093,46.37718200683594,1.1257247924804685,0.6389236450195314,0.5296693646797882,1.4314668853783368
0.7097542521470892,0.8642580373445075,1.1138173468493375,1.0788200856381922,1.06559775170181,0.8156250302451643,39.58030700683594,1.1929122924804687,0.5029861450195313,1.6026071361820604,1.1947051877205375
1.0099700131068052,1.071309088353328,0.9107889848003854,0.8739553681367188,0.8563168799201503,1.0417042516472124,54.58030700683594,1.2929122924804686,0.6029861450195313,0.8232439497904522,0.9985639591181741
1.1140623339206133,0.9745922410598202,0.7085513079985974,1.247268919220792,0.9693550838611663,0.9460325464519438,47.08030700683594,1.1429122924804687,0.4529861450195313,0.5194173789576236,1.5115988321538698
0.9110079984710036,1.2244848982479926,1.0097860236379732,0.9812913091778372,1.2098162361190592,1.1617145062048262,32.08030700683594,1.2429122924804685,0.5529861450195314,1.2729158845451338,1.2788269642759418
0.9625788271162782,0.924662947601269,0.9623894033485185,1.0285097065884017,0.9187655326460507,1.323579006002263,43.33030700683594,1.2679122924804687,0.5279861450195313,0.8884199240391139,1.0136816764881498
1.1935191974106318,1.1304435154991053,1.1930979945202689,0.7844624490942002,1.1230883295373049,0.9941723906441112,58.33030700683594,1.1679122924804686,0.6279861450195313,0.36907522372839463,0.5349563510744206
1.058404736537347,0.7639041037204805,1.0582067387336438,1.140404301582294,1.0166000352871887,1.09397418476741,50.83030700683594,1.2179122924804686,0.4779861450195313,0.9218330299423124,0.8967087452847595
0.8454948134320952,1.0217888802078718,0.8451824182928129,0.9320901673062338,0.7441897251405571,0.8913862351218488,35.83030700683594,1.1179122924804685,0.5779861450195314,0.6844405362884699,1.6252076963378097
0.8811055900042294,0.9982128146790993,1.0335565339615231,0.6654867453739844,0.889942024672035,0.8580590613141466,37.70530700683594,1.2054122924804687,0.5404861450195313,1.3001761457993593,1.134393478160338
1.084764894784511,1.388993672926334,0.7975005747337177,1.0048401821983628,1.0926305707159838,1.066818327312669,52.70530700683594,1.1054122924804686,0.6404861450195314,0.2777444808589873,1.3142724594671433
1.2698618115154705,0.8965714474453891,0.9375194732434105,0.9048220134265976,1.3130626812259132,0.9704848585735177,45.20530700683594,1.2554122924804687,0.4904861450195313,0.7509856713532056,0.8968801726473014
0.9864446092499608,1.0989410115381677,1.1482520336160316,1.1073351309830177,0.9930641026941275,1.212802889715474,30.205307006835938,1.1554122924804686,0.5904861450195313,0.6664485120292065,1.2350146355607075
0.9377196466339712,0.8239369750666016,0.8808540742252258,0.8365096817202856,1.1597484873716424,1.1246454937792176,41.45530700683594,1.1304122924804687,0.5154861450195313,0.7801959160601564,1.339287142676762
1.1485515329241989,1.045919389954628,1.0845496074628733,1.052915990827471,0.9448495390802015,0.9200447601757884,56.45530700683594,1.2304122924804686,0.6154861450195314,0.7234660807407914,0.8949885768304822
1.0337448033594316,0.9503200703416208,1.2689407471306184,0.9572690764297783,0.813245003730367,1.017714587841009,48.95530700683594,1.1804122924804685,0.46548614501953134,0.5101381451441809,0.6737167111160148
0.7979563067705496,1.1691338445339452,0.9862602568382887,1.1822923518771584,1.040554549260115,0.7488074483014895,33.95530700683594,1.2804122924804686,0.5654861450195313,1.2032690495203966,1.306212699067791
0.8239369750666016,0.9377196466339712,0.8235708438069378,1.1597889554715812,1.1822443360989203,0.9061444663730163,55.51780700683594,1.2366622924804687,0.5592361450195313,0.7925178395717934,1.2199537803305072
1.045919389954628,1.1485515329241989,1.0457270293689693,0.9448740919565501,0.9572451766907375,1.1087405695858608,40.51780700683594,1.1366622924804686,0.4592361450195313,0.35631800357654797,1.0200648329917619
1.1691338445339452,0.7979563067705496,1.1687876142833649,1.040578352894862,0.8364681108674996,0.6774130647161111,33.01780700683594,1.2866622924804687,0.6092361450195314,1.8869117048222837,1.0732892490475716
0.9503200703416208,1.0337448033594316,0.9501260872278363,0.8132948087543889,1.0528915693161365,1.005925216917107,48.01780700683594,1.1866622924804686,0.5092361450195313,0.5367028796861901,1.0315636071162706
0.9982128146790993,0.8811055900042294,1.0987129194396743,1.3132655665585522,0.6652103118423485,1.0540715204891162,59.26780700683594,1.1116622924804687,0.5842361450195314,0.4351980715567371,0.7880411330944369
1.388993672926334,1.084764894784511,0.8963384639952678,0.9930870760264408,1.0048172214372415,0.8384597815413273,44.26780700683594,1.2116622924804685,0.4842361450195313,0.6330888622163718,0.9433533190397171
1.0989410115381677,0.9864446092499608,0.9980292093248704,1.0926583419797342,1.1073054882699083,1.1845827465008896,36.76780700683594,1.1616622924804687,0.6342361450195313,0.5386185945978382,1.0872399713481882
0.8965714474453891,1.2698618115154705,1.383922500696135,0.8899720597968773,0.9047939452702383,0.9583971149452044,51.76780700683594,1.2616622924804686,0.5342361450195313,0.7361728272118524,0.9081120331500754
0.8642580373445075,0.7097542521470892,0.9244546047069981,0.969378516309806,0.9812681808932029,0.9823836235740351,53.64280700683594,1.1741622924804687,0.5967361450195313,0.8121245362595176,1.090187577279276
1.071309088353328,1.0099700131068052,1.130175764652728,1.2098772950149996,1.2471796651120282,1.251589805936029,38.64280700683594,1.2741622924804688,0.49673614501953134,0.9730157275299213,1.113971538383495
1.2244848982479926,0.9110079984710036,1.0216033587293494,0.8563531838816973,1.0787937405896226,0.8754922040724868,31.142807006835938,1.1241622924804686,0.6467361450195314,0.7835710282492222,1.1946555338390117
0.9745922410598202,1.1140623339206133,0.763268394352401,1.0656230043003185,0.8739226996771994,1.080067683288478,46.14280700683594,1.2241622924804687,0.5467361450195314,0.7090425372758946,1.3473388567286442
