log_A_evap,probability density
-3.972288527402121,8.73226823428692e-06
-3.8578211099228783,0.0
-3.743353692443635,0.0
-3.628886274964392,0.0
-3.5144188574851487,0.0
-3.399951440005906,0.0
-3.2854840225266626,8.73226823428692e-06
-3.17101660504742,0.0
-3.0565491875681765,0.0
-2.9420817700889335,8.732268234286954e-06
-2.8276143526096904,8.732268234286886e-06
-2.7131469351304474,0.0
-2.5986795176512043,0.0
-2.4842121001719613,8.732268234286954e-06
-2.369744682692718,0.0
-2.255277265213475,2.6196804702860862e-05
-2.140809847734232,1.746453646857377e-05
-2.0263424302549886,5.239360940572152e-05
-1.9118750127757458,1.746453646857384e-05
-1.7974075952965027,5.239360940572152e-05
-1.6829401778172597,5.239360940572152e-05
-1.5684727603380166,0.0001222517552800169
-1.4540053428587736,0.0001222517552800169
-1.3395379253795305,0.00013098402351430382
-1.2250705079002875,0.00026196804702860763
-1.1106030904210444,0.0002968971199657553
-0.9961356729418014,0.0004890070211200676
-0.8816682554625583,0.0006025265081657976
-0.7672008379833153,0.0009867463104744221
-0.6527334205040722,0.0015892728186402195
-0.5382660030248292,0.0023926414961946162
-0.42379858554558614,0.003929520705429114
-0.3093311680663431,0.0066015947851209116
-0.19486375058710004,0.01165757809277304
-0.08039633310785699,0.02373430506079185
0.034071084371386284,0.0520705154810527
0.14853850185062933,0.1350794573161849
0.2630059193298724,0.3756796439754904
0.37747333680911543,0.7198008705522736
0.4919407542883585,0.9365008390543313
0.6064081717676015,1.1446519169550367
0.7208755892468446,1.2727280951473137
0.8353430067260876,1.0198940006917792
0.9498104242053307,0.7237653203306343
1.0642778416845737,0.532205552075087
1.1787452591638168,0.39742299187886476
1.2932126766430598,0.31223098298516433
1.4076800941223029,0.2496468165500278
1.522147511601546,0.20431761214584615
1.636614929080789,0.16116274253199878
1.751082346560032,0.12480157760442914
1.865549764039275,0.09666620935355583
1.9800171815185181,0.07192769344582164
2.094484598997761,0.0508130688553154
2.2089520164770042,0.03498146654655354
2.3234194339562473,0.024101060326631805
2.4378868514354903,0.015185414459425015
2.5523542689147334,0.009570565984778427
2.6668216863939764,0.00587681652167512
2.7812891038732195,0.003833465754851943
2.8957565213524625,0.0027506644938003907
3.0102239388317056,0.001772650451560238
3.1246913563109486,0.0011439271386915909
3.2391587737901917,0.000698581458742951
3.353626191269435,0.0005588651669943607
3.4680936087486782,0.00030562938820004337
3.5825610262279213,0.0001921099011543115
3.6970284437071643,0.0001659130964514521
3.8114958611864074,0.00013971629174859017
3.9259632786656504,6.112587764000868e-05
4.0404306961448935,2.619680470286066e-05
4.154898113624137,4.3661341171434434e-05
4.26936553110338,6.985814587429617e-05
4.383832948582622,1.746453646857377e-05
4.498300366061866,1.746453646857377e-05
4.612767783541109,8.732268234286886e-06
4.727235201020352,0.0
4.841702618499594,0.0
4.956170035978838,8.732268234286886e-06
5.070637453458081,0.0
5.185104870937324,1.7464536468574043e-05
5.299572288416567,8.732268234286886e-06
5.41403970589581,0.0
5.528507123375054,0.0
5.642974540854296,0.0
5.757441958333539,0.0
5.871909375812782,0.0
5.986376793292026,0.0
6.100844210771268,0.0
6.215311628250511,0.0
6.3297790457297545,0.0
6.444246463208998,0.0
6.558713880688241,0.0
6.673181298167483,0.0
6.787648715646727,0.0
6.90211613312597,0.0
7.016583550605214,0.0
7.131050968084456,0.0
7.245518385563699,0.0
7.359985803042942,8.732268234286954e-06
