log_A_cond,probability density
-0.006579913541883316,2.5707788314098166e-05
0.03226325840972137,2.5707788314098162e-05
0.07110643036132605,2.5707788314098172e-05
0.10994960231293074,5.1415576628196324e-05
0.14879277426453544,2.5707788314098162e-05
0.1876359462161401,0.00010283115325639272
0.2264791181677448,0.0001285389415704908
0.2653222901193495,0.0002827856714550798
0.3041654620709542,0.000642694707852454
0.3430086340225589,0.0011311426858203193
0.38185180597416357,0.0026479021963521105
0.42069497792576827,0.005938499100556684
0.4595381498773729,0.014859101645548739
0.49838132182897754,0.031851949721167665
0.5372244937805822,0.05971919225365003
0.5760676657321869,0.11026070407916702
0.6149108376837916,0.17794931071018746
0.6537540096353963,0.282322931265426
0.692597181587001,0.415360735790884
0.7314403535386057,0.5767285230384782
0.7702835254902104,0.7609505340973056
0.8091266974418151,0.9675383209893984
0.8479698693934198,1.1857203204111497
0.8868130413450244,1.4094294943204357
0.9256562132966291,1.5962479919989832
0.9644993852482338,1.7698269786957739
1.0033425571998384,1.8490583822798192
1.0421857291514431,1.8492640445863373
1.081028901103048,1.737075256383613
1.1198720730546525,1.5402564290508771
1.1587152450062574,1.3310978633273747
1.197558416957862,1.1476727937062843
1.2364015889094668,0.9990046538858546
1.2752447608610713,0.8864302488584187
1.3140879328126762,0.7696397665474708
1.3529311047642807,0.6688909441445201
1.3917742767158856,0.5910734689177449
1.43061744866749,0.5117135263921239
1.469460620619095,0.437366602587752
1.5083037925706995,0.37150324892703257
1.5471469645223044,0.3230697757432716
1.5859901364739089,0.26491875857678154
1.6248333084255138,0.22319501814300025
1.6636764803771182,0.18111136867282154
1.7025196523287232,0.14758841271123754
1.7413628242803276,0.12008107921515251
1.7802059962319325,0.09699548530909237
1.819049168183537,0.07375564467314805
1.8578923401351415,0.05701987448066972
1.8967355120867464,0.045142876279556376
1.9355786840383509,0.035219669990314485
1.9744218559899558,0.02588774283229685
2.0132650279415603,0.020334860556451645
2.0521081998931647,0.015578919718343576
2.0909513718447696,0.011979829354369675
2.1297945437963746,0.009049141486562605
2.168637715747979,0.007429550822774326
2.2074808876995835,0.005527174487531136
2.2463240596511884,0.005090142086191407
2.2851672316027933,0.0032134735392622886
2.324010403554398,0.0026221944080379975
2.3628535755060023,0.0016710062404163902
2.401696747457607,0.001722421817044567
2.440539919409212,0.0010540193208780305
2.479383091360816,0.0006684024961665561
2.518226263312421,0.0007198180727947444
2.557069435264026,0.0007969414377370476
2.5959126072156304,0.0007712336494229404
2.634755779167235,0.00043703240133967125
2.67359895111884,0.0003342012480832742
2.7124421230704447,0.0002313700948268848
2.751285295022049,0.00046274018965376427
2.7901284669736537,0.00012853894157049156
2.8289716389252586,0.00010283115325639207
2.8678148108768635,0.00017995451819868816
2.906657982828468,5.141557662819603e-05
2.9455011547800725,7.712336494229492e-05
2.9843443267316774,0.0001542467298845881
3.0231874986832823,0.00012853894157049156
3.0620306706348868,5.141557662819603e-05
3.1008738425864912,5.1415576628196616e-05
3.139717014538096,2.5707788314098016e-05
3.178560186489701,2.5707788314098308e-05
3.2174033584413055,0.0
3.25624653039291,0.0
3.295089702344515,0.0
3.33393287429612,0.0
3.3727760462477243,0.0
3.411619218199329,2.5707788314098308e-05
3.4504623901509337,0.0
3.4893055621025386,0.0
3.528148734054143,0.0
3.5669919060057476,0.0
3.6058350779573525,0.0
3.6446782499089574,0.0
3.6835214218605614,0.0
3.7223645938121663,0.0
3.7612077657637712,0.0
3.8000509377153757,0.0
3.8388941096669806,2.5707788314098016e-05
