Nb_plates,CDF
5.731630966956496,0.0002
5.764661640235941,0.0004
5.858995809226163,0.0006
5.8595297436291816,0.0008
5.8983736901833606,0.001
5.923372652098431,0.0012
5.927505889815546,0.0014
5.934809142769613,0.0016
5.9612517334540325,0.0018
5.983327387744874,0.002
5.984158159125972,0.0022
5.985706073541559,0.0024
5.989240059154449,0.0026
5.98992654634678,0.0028
5.992534167505253,0.003
5.998848401289019,0.0032
6.075496759012659,0.0034
6.127235567684449,0.0036
6.142697271099365,0.0038
6.166088796843934,0.004
6.1720233416315935,0.0042
6.193092570262571,0.0044
6.194391136779443,0.0046
6.276999967949249,0.0048
6.281610756221445,0.005
6.336345804170399,0.0052
6.365115588182909,0.0054
6.439078803720615,0.0056
6.445120881206284,0.0058
6.495636713984951,0.006
6.505698274573333,0.0062
6.51997688603223,0.0064
6.544365312345806,0.0066
6.557474415148817,0.0068
6.566929836353096,0.007
6.633433146337472,0.0072
6.635041509753382,0.0074
6.655514071120583,0.0076
6.741801034229164,0.0078
6.766675840709256,0.008
6.801350482967252,0.0082
6.822192169577657,0.0084
6.838413571928238,0.0086
6.849594644930905,0.0088
6.893485155401953,0.009
6.929678600175395,0.0092
6.938917887154218,0.0094
6.963435741009536,0.0096
6.963729728197011,0.0098
6.98206806300677,0.01
7.012141250828276,0.0102
7.017880670258677,0.0104
7.025574921744566,0.0106
7.0411791570181,0.0108
7.042482222169736,0.011
7.04313713677973,0.0112
7.0542279216738475,0.0114
7.054349530824078,0.0116
7.064080220301012,0.0118
7.067170856390949,0.012
7.084190574214886,0.0122
7.115274756304762,0.0124
7.129181878870519,0.0126
7.141332086591649,0.0128
7.148845497962919,0.013
7.1563187080473245,0.0132
7.157758699156543,0.0134
7.164481683023544,0.0136
7.165606480175289,0.0138
7.173932768770026,0.014
7.186777640565434,0.0142
7.197795835449424,0.0144
7.211100482693395,0.0146
7.214215069647626,0.0148
7.215085078264475,0.015
7.220196384909066,0.0152
7.2272702348412805,0.0154
7.2332277969678636,0.0156
7.233532377150045,0.0158
7.234312726155935,0.016
7.235357867667705,0.0162
7.2509929701859654,0.0164
7.251617310408637,0.0166
7.252783078090466,0.0168
7.2603726061293266,0.017
7.260934237380968,0.0172
7.2697140961850915,0.0174
7.273826558111781,0.0176
7.2786673049249195,0.0178
7.279389829802463,0.018
7.284681001284097,0.0182
7.28620402664388,0.0184
7.29643534072454,0.0186
7.298636227006374,0.0188
7.298769687435301,0.019
7.30823447256013,0.0192
7.309027816884365,0.0194
7.310766979451705,0.0196
7.322138193928954,0.0198
7.331984988393015,0.02
7.336776319651888,0.0202
7.347787779478324,0.0204
7.3605803718034535,0.0206
7.364832908968684,0.0208
7.372758735254596,0.021
7.377422299656252,0.0212
7.3784884144753065,0.0214
7.379986360152148,0.0216
7.381795144118592,0.0218
7.385394567432151,0.022
7.387038718357104,0.0222
7.3873015668651,0.0224
7.39118743453247,0.0226
7.394226687903405,0.0228
7.397222859495989,0.023
7.403773910954135,0.0232
7.404398372600683,0.0234
7.411029594625768,0.0236
7.413515641745441,0.0238
7.415707720413546,0.024
7.415983707420471,0.0242
7.425483986186574,0.0244
7.428426358735712,0.0246
7.464322029951142,0.0248
7.476174540808801,0.025
7.478446074549754,0.0252
7.480673959322418,0.0254
7.48099224178682,0.0256
7.483058344985811,0.0258
7.491200016573605,0.026
7.495962197276078,0.0262
7.497922969674617,0.0264
7.503856069353263,0.0266
7.5068928231542404,0.0268
7.515753632711591,0.027
7.5162375602040035,0.0272
7.517707305143443,0.0274
7.523565895355172,0.0276
7.523964022711798,0.0278
7.526118214031625,0.028
7.533037831890057,0.0282
7.536207166478134,0.0284
7.544727553077761,0.0286
7.545911573404038,0.0288
7.5462284642030575,0.029
7.552162812471891,0.0292
7.556744821489531,0.0294
7.558349896725043,0.0296
7.558450291435993,0.0298
7.565805591555777,0.03
7.565809991392729,0.0302
7.566437007224528,0.0304
7.569491459460429,0.0306
7.5754723320669655,0.0308
7.583304655996527,0.031
7.587568417649992,0.0312
7.589840866698845,0.0314
7.5951620633133246,0.0316
7.602448184712726,0.0318
7.603233983605241,0.032
7.613810870727024,0.0322
7.615380469716269,0.0324
7.615390931287014,0.0326
7.619739264927425,0.0328
7.624539282547563,0.033
7.625521770878238,0.0332
7.6294595777759735,0.0334
7.632426416972905,0.0336
7.633487367887588,0.0338
7.642871815270936,0.034
7.6436269553106255,0.0342
7.644283345441067,0.0344
7.6551234319717345,0.0346
7.672967279579585,0.0348
7.682515812127496,0.035
7.6826415359253835,0.0352
7.6846428610283555,0.0354
7.6869137801506096,0.0356
7.689528449900398,0.0358
7.691709611498945,0.036
7.692870821204718,0.0362
7.694228198697243,0.0364
7.6953442248552255,0.0366
7.696571074080364,0.0368
7.698341180319408,0.037
7.703648983927499,0.0372
7.703917534502594,0.0374
7.70482085016013,0.0376
7.705891157616707,0.0378
7.707968687516393,0.038
7.708909175689179,0.0382
7.714292671780016,0.0384
7.714350038958623,0.0386
7.71820301224986,0.0388
7.72215400187725,0.039
7.725416517889255,0.0392
7.725718114029313,0.0394
7.731431852684324,0.0396
7.73585822959965,0.0398
7.736188345766398,0.04
7.7464389641794895,0.0402
7.747028017833312,0.0404
7.747998437787611,0.0406
7.750058127235264,0.0408
7.751249883272006,0.041
7.751533932655518,0.0412
7.752431024336784,0.0414
7.754875417628013,0.0416
7.755515396560466,0.0418
7.760243436825515,0.042
7.7644830375233855,0.0422
7.7702976323688056,0.0424
7.773388075549339,0.0426
7.7734685347164865,0.0428
7.777542661212246,0.043
7.783552286623022,0.0432
7.7953206828436405,0.0434
7.798123026896165,0.0436
7.799408348335433,0.0438
7.802452662363889,0.044
7.803153120049836,0.0442
7.820249903288789,0.0444
7.8217013686589425,0.0446
7.824915578907704,0.0448
7.827831725747504,0.045
7.83101281235991,0.0452
7.834464996573787,0.0454
7.835515936316412,0.0456
7.838040579681532,0.0458
7.839055075682727,0.046
7.839295654821532,0.0462
7.839320745107451,0.0464
7.841683020813988,0.0466
7.842601736961229,0.0468
7.843356675433045,0.047
7.843730439144074,0.0472
7.844154060271215,0.0474
7.844891832792254,0.0476
7.84511055529476,0.0478
7.845615514184493,0.048
7.8461845875586,0.0482
7.846487526089257,0.0484
7.846852941797626,0.0486
7.849051863345827,0.0488
7.849955013608813,0.049
7.852634024718896,0.0492
7.855029684752407,0.0494
7.855717061962301,0.0496
7.858197025232494,0.0498
7.859885651438572,0.05
7.860623931458941,0.0502
7.8651872956450175,0.0504
7.867235557532858,0.0506
7.867875727226519,0.0508
7.87319529450096,0.051
7.874191298533739,0.0512
7.875251882148604,0.0514
7.875460393450328,0.0516
7.875866638085366,0.0518
7.880501316938802,0.052
7.882610714981678,0.0522
7.884988724455257,0.0524
7.888028413807314,0.0526
7.890625712662052,0.0528
7.891816766702254,0.053
7.902846472398732,0.0532
7.9046367520923955,0.0534
7.906520154476619,0.0536
7.907733847443107,0.0538
7.909554861867188,0.054
7.911059928490503,0.0542
7.914404395439333,0.0544
7.915456931239108,0.0546
7.917111599897727,0.0548
7.9182388955450485,0.055
7.918563211479278,0.0552
7.91918223113215,0.0554
7.926292905180225,0.0556
7.927265485513524,0.0558
7.931375115947582,0.056
7.931709306481337,0.0562
7.934736746800121,0.0564
7.934889797693775,0.0566
7.93554712038627,0.0568
7.9360270778434625,0.057
7.9377853497012465,0.0572
7.939555999724454,0.0574
7.942807657324278,0.0576
7.943528087960519,0.0578
7.94377109751407,0.058
7.94720369886499,0.0582
7.947517333974911,0.0584
7.951112831837583,0.0586
7.952536908361651,0.0588
7.952994272205187,0.059
7.954760279641503,0.0592
7.9564761650127185,0.0594
7.956922272264059,0.0596
7.958927972639195,0.0598
7.9617058837797074,0.06
7.961733955395045,0.0602
7.965211892465555,0.0604
7.966202961411294,0.0606
7.968385235470755,0.0608
7.968693349979755,0.061
7.968951871574493,0.0612
7.971374722559199,0.0614
7.971956682564365,0.0616
7.97640451621905,0.0618
7.976680183654471,0.062
7.977191813849548,0.0622
7.97810502347117,0.0624
7.97871352183562,0.0626
7.980039906806182,0.0628
7.981151330421803,0.063
7.981691331824236,0.0632
7.984237765193573,0.0634
7.989311312372339,0.0636
7.990157830698776,0.0638
7.990570525058208,0.064
7.991480804322649,0.0642
7.993120903073219,0.0644
7.997872493361883,0.0646
8.008863081657527,0.0648
8.014056614824254,0.065
8.023735709465083,0.0652
8.040209275169666,0.0654
8.041811540160293,0.0656
8.04337154626651,0.0658
8.049319361359206,0.066
8.051620662661968,0.0662
8.05178481080404,0.0664
8.06207076746131,0.0666
8.073740712097656,0.0668
8.07872152758359,0.067
8.09682717639512,0.0672
8.104407917764302,0.0674
8.10709462175919,0.0676
8.109436366412016,0.0678
8.109523542968578,0.068
8.112862218203762,0.0682
8.115396622851348,0.0684
8.118795954635857,0.0686
8.120456236601187,0.0688
8.122011109030892,0.069
8.140108713998227,0.0692
8.158864053893994,0.0694
8.16007713127085,0.0696
8.165787006860874,0.0698
8.179510349361962,0.07
8.18243575447251,0.0702
8.182568912698475,0.0704
8.191637995228238,0.0706
8.209872527554365,0.0708
8.20997500095472,0.071
8.211677432561757,0.0712
8.216529967420703,0.0714
8.219247802968262,0.0716
8.232701393590267,0.0718
8.237495376320755,0.072
8.255125490384495,0.0722
8.255588510467003,0.0724
8.261827455716947,0.0726
8.266598107099739,0.0728
8.2666270567431,0.073
8.270137122460202,0.0732
8.272712793770609,0.0734
8.273520098633337,0.0736
8.274541170394142,0.0738
8.277747538220751,0.074
8.28875613555161,0.0742
8.289773472758883,0.0744
8.29040608659724,0.0746
8.293030294591842,0.0748
8.309384481786243,0.075
8.311254203022166,0.0752
8.317555937783123,0.0754
8.321631240443992,0.0756
8.32227586460646,0.0758
8.324341568934889,0.076
8.326298964727727,0.0762
8.336716279682062,0.0764
8.340054150319904,0.0766
8.346219546092298,0.0768
8.348393831343301,0.077
8.349258556150048,0.0772
8.351633619899452,0.0774
8.353890866726845,0.0776
8.356063343271181,0.0778
8.360113019870461,0.078
8.360511391552865,0.0782
8.361462333429305,0.0784
8.365497941295793,0.0786
8.366574501812849,0.0788
8.39284255201298,0.079
8.401185341152143,0.0792
8.401245129032292,0.0794
8.401591689154086,0.0796
8.411017511190312,0.0798
8.411105887711681,0.08
8.41463968645359,0.0802
8.419981493671887,0.0804
8.426144886818387,0.0806
8.426495459465885,0.0808
8.436911379065155,0.081
8.437715260350199,0.0812
8.44014283051279,0.0814
8.452215414396365,0.0816
8.453547056728647,0.0818
8.461448968765566,0.082
8.462149347051852,0.0822
8.46248819678229,0.0824
8.464725621182088,0.0826
8.464758175844242,0.0828
8.470434093369136,0.083
8.474444841755986,0.0832
8.477782353268129,0.0834
8.47831837350697,0.0836
8.480343918858356,0.0838
8.489661975971389,0.084
8.494345571998352,0.0842
8.496367697782095,0.0844
8.506983520336512,0.0846
8.511590634862888,0.0848
8.515391869592811,0.085
8.516195702632867,0.0852
8.524104046415864,0.0854
8.524987391564235,0.0856
8.526038745216269,0.0858
8.526542809144772,0.086
8.530239728083293,0.0862
8.534689197996418,0.0864
8.538797352322941,0.0866
8.538898229722056,0.0868
8.54484445204454,0.087
8.553583067686096,0.0872
