log_A_evap_LT,probability density
-2.198369128119335,4.0274306125169994e-05
-2.1488225919764012,0.0
-2.099276055833468,4.0274306125169994e-05
-2.0497295196905347,2.013715306258518e-05
-2.0001829835476013,8.054861225033999e-05
-1.950636447404668,6.041145918775499e-05
-1.9010899112617345,4.0274306125169994e-05
-1.851543375118801,0.00032219444900135995
-1.8019968389758678,0.0005437031326897973
-1.7524503028329343,0.0007853489694408149
-1.7029037666900009,0.0015304236327564667
-1.6533572305470676,0.0025775555920108796
-1.6038106944041342,0.004671819510519719
-1.5542641582612007,0.0066251233575904634
-1.5047176221182672,0.011780234541612224
-1.455171085975334,0.018868512419642228
-1.4056245498324005,0.029621752155062662
-1.3560780136894672,0.04635572635007066
-1.3065314775465338,0.06598945058609104
-1.2569849414036003,0.088845119312125
-1.207438405260667,0.12662241845753502
-1.1578918691177336,0.16562808393976158
-1.1083453329748,0.20793624252425266
-1.0587987968318666,0.2611386009156034
-1.0092522606889334,0.308460910612677
-0.9597057245459999,0.37410802959670403
-0.9101591884030664,0.4350027804579611
-0.8606126522601331,0.5058050106260121
-0.8110661161171997,0.5654915323035119
-0.7615195799742662,0.6345821044612411
-0.7119730438313329,0.7047802200374155
-0.6624265076883995,0.7732062661440761
-0.612879971545466,0.8275363051069304
-0.5633334354025327,0.8744357345896947
-0.5137868992595993,0.9162203271945547
-0.46424036311666583,0.9477349717375003
-0.41469382697373247,0.9682144564021535
-0.3651472908307991,0.9665632098510172
-0.31560075468786564,0.9600589094118023
-0.26605421854493216,0.9355721312876989
-0.2165076824019987,0.90558791037751
-0.16696114625906544,0.8544596787516143
-0.11741461011613219,0.79722988974774
-0.06786807397319872,0.7344019721924748
-0.018321537830265244,0.660639580524226
0.03122499831266823,0.5824470151822084
0.0807715344556017,0.5120475280754113
0.13031807059853495,0.43822472494797865
0.1798646067414682,0.37277897749457345
0.22941114288440168,0.300406049387643
0.27895767902733515,0.25090892715980906
0.3285042151702686,0.19893493510527718
0.3780507513132021,0.1609159901231167
0.42759728745613557,0.12658214415140928
0.4771438235990688,0.10485415599688103
0.5266903597420021,0.08274356193416176
0.5762368958849355,0.06639219364734274
0.625783432027869,0.05396757020772779
0.6753299681708025,0.044664205492813525
0.724876504313736,0.036589207114716936
0.7744230404566692,0.029541203542812457
0.8239695765996025,0.02317786317503533
0.8735161127425359,0.019251118327831256
0.9230626488854694,0.015706979388816298
0.9726091850284029,0.012203114755926508
1.0221557211713364,0.010753239735420387
1.0717022573142698,0.008437467133223114
1.121248793457203,0.007269512255593249
1.1707953296001363,0.005598128551398629
1.2203418657430698,0.004792642428895229
1.2698884018860033,0.004410036520706114
1.3194349380289367,0.0035038646328897894
1.3689814741718702,0.0025775555920108796
1.4185280103148035,0.0026379670511986583
1.4680745464577367,0.0018123437756326496
1.5176210826006702,0.0014901493266312896
1.5671676187436037,0.0013290521021306098
1.6167141548865371,0.001067269112317005
1.6662606910294706,0.0008860347347537398
1.715807227172404,0.0006645260510653049
1.7653537633153373,0.00048329167350204423
1.8149002994582708,0.00044301736737686594
1.8644468356012043,0.00040274306125170353
1.9139933717441373,0.000342331602063948
1.9635399078870708,0.00018123437756326335
2.0130864440300043,0.00024164583675102212
2.0626329801729377,0.0001208229183755089
2.112179516315871,0.00012082291837551106
2.1617260524588047,0.00016109722450067854
2.211272588601738,0.00020137153062585176
2.260819124744671,0.00012082291837551106
2.3103656608876046,0.00018123437756326335
2.359912197030538,0.00012082291837551106
2.4094587331734716,2.0137153062584817e-05
2.459005269316405,0.0
2.508551805459338,2.013715306258518e-05
2.5580983416022716,2.0137153062584817e-05
2.607644877745205,2.013715306258518e-05
2.6571914138881385,4.0274306125169634e-05
2.706737950031072,2.0137153062585356e-05
