log_A_evap_MT,probability density
-1.9267206480881964,3.557707243987591e-05
-1.8986765984193898,3.557707243987563e-05
-1.8706325487505833,0.0002490395070791314
-1.8425884990817765,0.0004625019417183832
-1.8145444494129697,0.0007115414487975182
-1.786500399744163,0.0012096204629557716
-1.7584563500753565,0.0018855848393134235
-1.7304123004065497,0.0029173199400698248
-1.7023682507377431,0.005123098431342092
-1.6743242010689363,0.007364453995054256
-1.6462801514001297,0.01035292808000389
-1.618236101731323,0.015653911873545402
-1.5901920520625163,0.02020777714584936
-1.5621480023937098,0.02849723502434061
-1.534103952724903,0.03778285093114822
-1.5060599030560964,0.046143462954518696
-1.4780158533872896,0.05863101538091504
-1.449971803718483,0.07496089163081855
-1.4219277540496762,0.09459943561763005
-1.3938837043808696,0.11028892456361446
-1.365839654712063,0.1306034329267845
-1.3377956050432562,0.15604103972129577
-1.3097515553744496,0.17834786414109655
-1.2817075057056428,0.19997872418454093
-1.2536634560368363,0.22413555637121826
-1.2256194063680295,0.25622607571198636
-1.1975753566992229,0.2888146740669104
-1.1695313070304163,0.3105878424001168
-1.1414872573616095,0.3432475948999228
-1.113443207692803,0.3696457826503078
-1.0853991580239961,0.40187861028083516
-1.0573551083551895,0.4299844975083403
-1.0293110586863827,0.4597980842129563
-1.0012670090175761,0.4865164656152993
-0.9732229593487693,0.5273233677038388
-0.9451789096799628,0.5477090302118875
-0.9171348600111561,0.577985118858224
-0.8890908103423494,0.6005054057126609
-0.8610467606735427,0.6258007042174173
-0.833002711004736,0.6360113240076567
-0.8049586613359293,0.6681729974933096
-0.7769146116671227,0.6926144462595043
-0.748870561998316,0.7120039507392311
-0.7208265123295093,0.7254165070490699
-0.6927824626607026,0.7438810076453597
-0.664738412991896,0.7602108838952686
-0.6366943633230893,0.7871783048046883
-0.6086503136542826,0.8015870191428442
-0.580606263985476,0.8122245638023671
-0.5525622143166693,0.8247832703736367
-0.5245181646478626,0.8515728059208699
-0.4964741149790559,0.8558776316860881
-0.4684300653102492,0.8628863149567504
-0.44038601564144253,0.8761921400492572
-0.41234196597263584,0.8781133019610173
-0.38429791630382926,0.8795719619310522
-0.35625386663502256,0.8810306219010802
-0.3282098169662159,0.8656969036795006
-0.3001657672974092,0.8732748201091873
-0.2721217176286025,0.8532449283255441
-0.2440776679597958,0.8442439289982488
-0.2160336182909891,0.8143947652211996
-0.1879895686221824,0.8019783669396765
-0.15994551895337572,0.774690752378298
-0.13190146928456914,0.7391136799384221
-0.10385741961576245,0.7046394967441767
-0.07581336994695576,0.6799134313984687
-0.04776932027814906,0.6357622845005775
-0.01972527060934237,0.5988688603804313
0.00831877905946432,0.5609792782319589
0.03636282872827101,0.5224848858520177
0.0644068783970777,0.4779779682297291
0.09245092806588429,0.43660183298216065
0.12049497773469087,0.39298434217086625
0.14853902740349767,0.3519995547201295
0.17658307707230447,0.31300708332602584
0.20462712674111105,0.2765050070027178
0.23267117640991763,0.24726065345713566
0.26071522607872444,0.21001145861258586
0.28875927574753124,0.17873921193793518
0.3168033254163378,0.1433044477878213
0.3448473750851444,0.11982357997750112
0.3728914247539512,0.09353212344443304
0.4009354744227578,0.0756012789347369
0.42897952409156437,0.05895120903287392
0.45702357376037117,0.04550307565060094
0.485067623429178,0.02956454719753665
0.5131116730979846,0.021132781029286462
0.5411557227667911,0.015333718221586398
0.5691997724355979,0.009214461761927788
0.5972438221044045,0.00476732770694341
0.6252878717732111,0.0027750116503102995
0.6533319214420179,0.0013163516802753984
0.6813759711108247,0.0009250038834367664
0.7094200207796313,0.00028461657951900956
0.7374640704484379,0.0001067312173196269
0.7655081201172447,3.557707243987563e-05
0.7935521697860513,3.5577072439876195e-05
0.8215962194548578,0.0
0.8496402691236645,3.557707243987591e-05
