log_A_GasCooler,probability density
-0.44329515353758187,2.3245610845518334e-05
-0.4003741396220897,0.0
-0.3574531257065974,2.3245610845518334e-05
-0.3145321117911052,6.973683253655499e-05
-0.2716110978756129,0.0
-0.22869008396012067,2.3245610845518334e-05
-0.18576907004462842,2.3245610845518334e-05
-0.14284805612913618,4.649122169103667e-05
-0.09992704221364393,0.00011622805422759168
-0.057006028298151684,6.973683253655499e-05
-0.014085014382659439,0.0002557017193007017
0.028835999532832807,0.0005346490494469217
0.07175701344832508,0.0007671051579021041
0.11467802736381733,0.001603947148340767
0.15759904127930952,0.0021385961977876894
0.20052005519480176,0.003882017011201557
0.24344106911029406,0.005299999272778173
0.2863620830257863,0.008693858456223868
0.3292830969412785,0.013157015738563394
0.37220411085677074,0.018178067681195315
0.41512512477226304,0.028592101339987512
0.4580461386877553,0.042144292462924796
0.5009671526032475,0.06069428991764845
0.5438881665187397,0.08447454981261353
0.586809180434232,0.11460086146840524
0.6297301943497243,0.15532717166975332
0.6726512082652165,0.20583988403706566
0.7155722221807087,0.25953724509021187
0.758493236096201,0.33389995418502494
0.8014142500116932,0.39938283993685203
0.8443352639271854,0.4871815121003726
0.8872562778426777,0.5640315015556562
0.93017729175817,0.642648157435199
0.9730983056736623,0.7303538471553397
1.0160193195891545,0.7989051535387772
1.0589403335046468,0.8587626014659828
1.1018613474201389,0.9230832066755319
1.1447823613356312,0.9579283773329688
1.1877033752511235,0.9904024956841528
1.2306243891666155,1.0107424051739815
1.273545403082108,1.0079296862616738
1.3164664169976001,1.019157316300059
1.3593874309130924,1.0031643360383475
1.4023084448285847,0.9768038133395247
1.4452294587440768,0.9475608348958626
1.4881504726595691,0.908973120892307
1.5310714865750614,0.8631792675266267
1.5739925004905537,0.8044841001417016
1.6169135144060458,0.7640832284921906
1.659834528321538,0.7025520965840961
1.7027555422370304,0.6352328075754821
1.7456765561525227,0.5839762356611078
1.788597570068015,0.5170521220368663
1.831518583983507,0.46161134017030486
1.8744395978989994,0.39949906799107554
1.9173606118144917,0.3547977583351477
1.9602816257299838,0.2994267133011228
2.003202639645476,0.2614666307903885
2.0461236535609686,0.21490567226681784
2.0890446674764602,0.18284997491084792
2.1319656813919527,0.14570348877970798
2.1748866953074453,0.1181109487060791
2.2178077092229374,0.09428419758942175
2.2607287231384294,0.07740788411557636
2.303649737053922,0.060392096976656866
2.346570750969414,0.04667718657780052
2.389491764884906,0.03563552142617974
2.4324127788003986,0.02682543491572798
2.475333792715891,0.02017719021390999
2.518254806631383,0.016574120532854637
2.5611758205468753,0.011971489585441865
2.604096834462368,0.00827543746100456
2.6470178483778595,0.006415788593363085
2.689938862293352,0.004928069499249855
2.7328598762088445,0.0036030696810553558
2.775780890124336,0.0024872803604704713
2.8187019040398287,0.002115350586942155
2.861622917955321,0.0013249998181945502
2.9045439318708133,0.0006973683253655456
2.9474649457863054,0.0008135963795931449
2.990385959701798,0.0005114034386014053
3.03330697361729,0.0004649122169103637
3.076227987532782,0.00034868416268277636
3.1191490014482746,0.00020921049760966366
3.162070015363767,0.00018596488676414738
3.2049910292792587,9.298244338207369e-05
3.2479120431947512,6.973683253655455e-05
3.2908330571102438,4.6491221691036845e-05
3.3337540710257354,2.3245610845518422e-05
3.376675084941228,4.649122169103637e-05
3.4195960988567204,0.0
3.462517112772212,0.0
3.5054381266877046,2.3245610845518185e-05
3.548359140603197,0.0
3.591280154518689,0.0
3.6342011684341813,0.0
3.677122182349674,0.0
3.720043196265166,0.0
3.762964210180658,0.0
3.8058852240961505,2.3245610845518185e-05
