name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.387228,0.391516  
phi,0.167034,0.182474  
beta,0.102031,0.162385  
h_evaporation,0.041675,0.084186  
Q,0.068974,0.075826  
T5_prime,0.047343,0.056650  
T1_prime,0.000824,0.033157  
h_single_phase,0.018656,0.032109  
f_single_phase,0.014180,0.025590  
eta_is,0.018834,0.021553  
f_condensation,0.000717,0.011492  
T3_prime,0.004019,0.010914  
f_evaporation,0.001414,0.008707  
gamma,0.000355,0.007839  
h_condensation,0.000320,0.007234  
h_supercritical,0.000412,0.007167  
f_supercritical,0.001395,0.005789  
